mdomid	ogsid
LOC101891178_XP_005182761.1	25905.2
LOC101896529_XP_005184163.1	20582
LOC101894271_XP_005185071.1	19636
LOC101896966_XP_005191848.1	13390
LOC101891530_XP_005184133.1	13048
LOC101896815_XP_005180717.1	16190
LOC101894605_XP_005186895.1	6404
LOC101899161_XP_005176950.1	9303
LOC101893990_XP_005184741.1	25186
LOC101899581_XP_005183425.1	17614
LOC101890527_XP_005178047.1	21985
LOC101897349_XP_005185180.1	13717
LOC101888344_XP_005178379.1	19682
LOC101891491_XP_005190693.1	6254
LOC101889400_XP_005178295.1	12953
LOC101892852_XP_005183714.1	11848
LOC101895562_XP_005186494.1	2496
LOC101899824_XP_005189228.1	1879
LOC101889863_XP_005181462.1	25214
LOC101894561_XP_005186488.1	2496
LOC101901582_XP_005182379.1	19691.1
LOC101893348_XP_005179374.1	6454.1
LOC101894059_XP_005189585.1	5241
LOC101892995_XP_005175855.1	25939
LOC101890847_XP_005187624.1	9313
LOC101898447_XP_005188465.1	19684.2
LOC101890071_XP_005175714.1	13648
LOC101900942_XP_005175249.1	11674
LOC101890618_XP_005189799.1	20533
LOC101889539_XP_005184389.1	26436
LOC101889469_XP_005179716.1	7079
LOC101890991_XP_005178396.1	3587
LOC101894777_XP_005189826.1	19617
LOC101895250_XP_005182106.1	442
LOC101900094_XP_005184936.1	19556
LOC101890289_XP_005176002.1	1449
LOC101887723_XP_005177778.1	13199
LOC101890330_XP_005186539.1	17614
LOC101900878_XP_005191949.1	14389.1.1
LOC101893396_XP_005175448.1	6862
LOC101887594_XP_005188907.1	10057
LOC101891955_XP_005191429.1	26985
LOC101895157_XP_005188705.1	23595
LOC101890890_XP_005184565.1	19183
LOC101889412_XP_005182573.1	1668
LOC101896617_XP_005175961.1	4029
LOC101888092_XP_005188575.1	23134
LOC101901516_XP_005179702.1	7079
LOC101888717_XP_005186367.1	13537.1
LOC101891495_XP_005191597.1	6500
LOC101889893_XP_005190926.1	8329
LOC101890691_XP_005175649.1	4256
LOC101891248_XP_005187801.1	24725
LOC101898419_XP_005178883.1	24934
LOC101897508_XP_005182621.1	18760
LOC101895057_XP_005175795.1	22840
LOC101895669_XP_005184838.1	12858
LOC101890310_XP_005181035.1	8961
LOC101892091_XP_005179815.1	24475.1
LOC101901030_XP_005185926.1	14204
LOC101896492_XP_005174908.1	4045
LOC101898486_XP_005181767.1	17378
LOC101899968_XP_005180736.1	8223
LOC101900990_XP_005191399.1	3080.2.1
LOC101889091_XP_005190347.1	24250
LOC101898957_XP_005185015.1	10470
LOC101901741_XP_005180213.1	11084
LOC101888626_XP_005176796.1	3216
LOC101892899_XP_005180610.1	7027.1
LOC101899966_XP_005180116.1	23129
LOC101889297_XP_005179968.1	15838
LOC101900710_XP_005178365.1	13005
LOC101894902_XP_005177107.1	24782
LOC101897767_XP_005187666.1	9665
LOC101889313_XP_005186687.1	15505
LOC101900865_XP_005188030.1	4324
LOC101892045_XP_005181729.1	23740.1
LOC101896695_XP_005180985.1	19407
LOC101892901_XP_005181136.1	18927
LOC101893006_XP_005179019.1	17451
LOC101897270_XP_005178003.1	25632
LOC101897813_XP_005184850.1	17231
LOC101897719_XP_005175231.1	1800
LOC101890828_XP_005182074.1	12794
LOC101895978_XP_005190884.1	10766
LOC101889046_XP_005177951.1	21759
LOC101888438_XP_005187697.1	17614
LOC101888677_XP_005191246.1	6443
LOC101899269_XP_005175479.1	493
LOC101891846_XP_005191519.1	21484
LOC101892928_XP_005189821.1	12459.2
LOC101893705_XP_005184580.1	26552
LOC101894880_XP_005186405.1	20565
LOC101893727_XP_005191825.1	20802
LOC101889484_XP_005185131.1	25553
PASA1_gene_29_PASA1_model_30	9103
LOC101893663_XP_005188523.1	23446
LOC101900263_XP_005183429.1	17614
LOC101898562_XP_005188724.1	26436
LOC101898105_XP_005190732.1	21723
LOC101898211_XP_005188104.1	20432
LOC101893409_XP_005179201.1	4938
LOC101890592_XP_005181290.1	4757
LOC101901543_XP_005189943.1	25144
LOC101893327_XP_005189338.1	23195
LOC101891475_XP_005186470.1	2600
LOC101901570_XP_005179611.1	19713
LOC101901549_XP_005190911.1	18271
LOC101896964_XP_005191550.1	1859
LOC101896728_XP_005191126.1	26400
LOC101888422_XP_005182747.1	11035
LOC101897077_XP_005174818.1	6027
LOC101897588_XP_005186421.1	18232.1
LOC101893797_XP_005180431.1	3954
LOC101896343_XP_005182791.1	952
LOC101897808_XP_005183162.1	20005
LOC101901688_XP_005181786.1	24969
LOC101897222_XP_005182355.1	22123.1
LOC101890975_XP_005191738.1	11331
LOC101888505_XP_005191586.1	26345
LOC101893893_XP_005191826.1	14300
LOC101892708_XP_005175127.1	24661
LOC101900640_XP_005175748.1	10279
LOC101888386_XP_005190846.1	9788
LOC101900697_XP_005191481.1	582
LOC101891925_XP_005183126.1	25033
LOC101900549_XP_005182209.1	2214
LOC101891650_XP_005184971.1	20527.2
LOC101898302_XP_005179234.1	8863
LOC101889436_XP_005188497.1	8855
LOC101901482_XP_005187271.1	27092
LOC101887906_XP_005184621.1	9710
LOC101896918_XP_005179225.1	15712
LOC101897316_XP_005190315.1	8405
LOC101889504_XP_005191504.1	7343
LOC101901454_XP_005178108.1	1929.2
LOC101887552_XP_005177058.1	3350
LOC101900575_XP_005189620.1	25787
LOC101891656_XP_005186128.1	20852
LOC101892541_XP_005176466.1	14255
LOC101893435_XP_005187225.1	3286
LOC101889532_XP_005183202.1	26436
LOC101900282_XP_005188649.1	16877
LOC101891213_XP_005177630.1	24411
LOC101898914_XP_005191562.1	13291
LOC101898686_XP_005190009.1	4874
LOC101892607_XP_005179647.1	23519
LOC101900069_XP_005177322.1	6000
LOC101899814_XP_005186927.1	4614
LOC101891204_XP_005190857.1	13951.2
LOC101895375_XP_005184156.1	23328
LOC101889515_XP_005177445.1	18921
LOC101897724_XP_005176224.1	11820
LOC101894817_XP_005184659.1	7743
LOC101898944_XP_005180911.1	7527
LOC101892761_XP_005191749.1	8841
LOC101894617_XP_005189739.1	17921
LOC101889846_XP_005176803.1	16823.2
LOC101901815_XP_005187438.1	23016
LOC101891503_XP_005176372.1	14231
LOC101896550_XP_005191125.1	7658
LOC101897513_XP_005184677.1	555
LOC101888931_XP_005178292.1	24759
LOC101895814_XP_005175872.1	16456.2
LOC101887530_XP_005190271.1	8157.2
LOC101890432_XP_005184484.1	3622
LOC101891444_XP_005178660.1	20633.1
LOC101890243_XP_005180323.1	27234.1
LOC101895735_XP_005185669.1	18904
LOC101888950_XP_005185218.1	2971
LOC101899671_XP_005178533.1	19205
LOC101887719_XP_005176350.1	13967
LOC101899691_XP_005183667.1	16728
LOC101894293_XP_005190452.1	13485
LOC101892912_XP_005185657.1	19792
LOC101897186_XP_005188880.1	14501
LOC101892245_XP_005190288.1	8995
LOC101889093_XP_005190850.1	16872
LOC101900036_XP_005184864.1	15569
LOC101887275_XP_005179613.1	26652
LOC101888129_XP_005182653.1	26180
LOC101888506_XP_005192043.1	13775
LOC101896415_XP_005187746.1	12398
LOC101894828_XP_005188703.1	1639
LOC101889511_XP_005175643.1	4874
LOC101889281_XP_005176178.1	12589
LOC101893731_XP_005175450.1	9558
LOC101898710_XP_005182030.1	6067
LOC101890041_XP_005184391.1	26436
LOC101888869_XP_005176976.1	10189
LOC101889795_XP_005178388.1	14815
LOC101890644_XP_005179633.1	13263
LOC101894853_XP_005179028.1	18938.1
LOC101899468_XP_005180823.1	16663
LOC101896465_XP_005184843.1	10964
LOC101898083_XP_005183911.1	3109.1
LOC101889028_XP_005190590.1	27418
LOC101889397_XP_005177263.1	16666
LOC101900088_XP_005184093.1	10835
LOC101893616_XP_005191754.1	7501
LOC101900393_XP_005186351.1	11034
LOC101898806_XP_005174830.1	21465
LOC101898623_XP_005189927.1	21823
LOC101897461_XP_005182534.1	16916.1
LOC101899756_XP_005187347.1	4034
LOC101892498_XP_005183712.1	11301
LOC101898787_XP_005185014.1	22739
LOC101896600_XP_005189358.1	24026.1
LOC101897632_XP_005183328.1	19524
LOC101889142_XP_005187789.1	10766
LOC101894177_XP_005188526.1	5085
LOC101890848_XP_005187971.1	24922.1
LOC101898513_XP_005189053.1	9759
LOC101895804_XP_005191038.1	4874
PASA1_gene_12_PASA1_model_12	16800
LOC101895122_XP_005176837.1	9444
LOC101887791_XP_005181708.1	23051
LOC101897451_XP_005180015.1	10805
LOC101897867_XP_005187336.1	18853
LOC101889719_XP_005189568.1	16793.1
LOC101894152_XP_005180969.1	15273
LOC101901274_XP_005189237.1	18459
LOC101896887_XP_005185505.1	12481
LOC101893105_XP_005190222.1	9401.2
LOC101888702_XP_005182061.1	13223
LOC101901107_XP_005189475.1	24907
LOC101894914_XP_005181409.1	19765
LOC101893010_XP_005180161.1	2542
LOC101891302_XP_005187124.1	20328
LOC101888104_XP_005175100.1	54
LOC101900130_XP_005177765.1	8240
LOC101899401_XP_005178445.1	7695
LOC101890156_XP_005186204.1	11780
LOC101900045_XP_005186749.1	12342
LOC101889840_XP_005175267.1	9362.1
LOC101888188_XP_005183273.1	17021
LOC101896405_XP_005185840.1	19682
LOC101897064_XP_005186822.1	9020
LOC101887491_XP_005177608.1	12072
LOC101890608_XP_005186782.1	11425
LOC101894134_XP_005175862.1	7308
LOC101890225_XP_005192207.1	4480
LOC101889861_XP_005181115.1	23889
LOC101894663_XP_005186574.1	12277
LOC101893603_XP_005187900.1	775
LOC101895141_XP_005183053.1	19369
LOC101896119_XP_005181669.1	5943
LOC101891730_XP_005191743.1	15229
LOC101900042_XP_005186178.1	9955
LOC101898278_XP_005188970.1	25523
LOC101891920_XP_005180604.1	8257
LOC101887700_XP_005189782.1	5830
LOC101900546_XP_005181697.1	26621
LOC101889752_XP_005182232.1	17156
LOC101893726_XP_005191680.1	8505
LOC101901354_XP_005180037.1	25569
LOC101896295_XP_005185909.1	16269
LOC101889040_XP_005175578.1	21823
LOC101893312_XP_005183963.1	20957.2
LOC101895822_XP_005178073.1	24888
LOC101895303_XP_005180439.1	26749
LOC101897205_XP_005175388.1	21554
LOC101897716_XP_005192245.1	2755
LOC101893869_XP_005184827.1	14567
LOC101901668_XP_005176164.1	6355
LOC101899874_XP_005186348.1	27163
LOC101889303_XP_005184028.1	402
LOC101891807_XP_005181297.1	13098
LOC101887600_XP_005190029.1	11022
LOC101900992_XP_005174933.1	26759
LOC101894339_XP_005186144.1	5332.2
LOC101893831_XP_005190873.1	23048
LOC101890258_XP_005185226.1	1996
LOC101891325_XP_005176371.1	14671
LOC101899851_XP_005180202.1	16793.1
LOC101898268_XP_005185684.1	23259
LOC101899357_XP_005182899.1	16540
LOC101892060_XP_005187978.1	15944.2
LOC101887503_XP_005182561.1	5286
LOC101890743_XP_005175718.1	4243
LOC101898774_XP_005179937.1	26269
LOC101898293_XP_005177131.1	24716
LOC101889862_XP_005181285.1	23515
LOC101900620_XP_005187771.1	5720
LOC101887387_XP_005178461.1	23079
LOC101901627_XP_005181097.1	23094
LOC101891538_XP_005187461.1	11666
LOC101901063_XP_005176432.1	24884
LOC101899489_XP_005187590.1	12826
LOC101894877_XP_005186064.1	6862
LOC101897341_XP_005181676.1	5815
LOC101900919_XP_005187096.1	21675
LOC101899546_XP_005187174.1	11356
LOC101889098_XP_005174775.1	11271
LOC101900996_XP_005175697.1	12463.2
LOC101889100_XP_005174948.1	16793.1
LOC101901745_XP_005181178.1	20148
LOC101900795_XP_005185360.1	23660
LOC101900359_XP_005177047.1	22018
LOC101900530_XP_005177048.1	6230
LOC101887847_XP_005184197.1	24662
LOC101899681_XP_005181346.1	21554
LOC101895532_XP_005178949.1	2556
LOC101889517_XP_005177620.1	7418
LOC101891372_XP_005189720.1	4874
LOC101900347_XP_005190486.1	20170.2
LOC101897126_XP_005188963.1	21107
LOC101898067_XP_005177915.1	12844
LOC101901502_XP_005175566.1	11058
LOC101894959_XP_005175458.1	20967
LOC101891556_XP_005191742.1	18819
LOC101894565_XP_005188785.1	16467
LOC101894818_XP_005184833.1	6867
LOC101888040_XP_005191409.1	3050.2
LOC101890115_XP_005190514.1	20527.2
LOC101899395_XP_005176600.1	19099
LOC101898234_XP_005175312.1	106
LOC101890249_XP_005181893.1	25852
LOC101891035_XP_005191975.1	23639
LOC101897802_XP_005181426.1	22044
LOC101896421_XP_005189750.1	25723.1
LOC101892275_XP_005183797.1	6032
LOC101894665_XP_005187318.1	1084
LOC101890705_XP_005180597.1	14528
LOC101893349_XP_005179991.1	10860
LOC101896149_XP_005176215.1	5714.1.1
LOC101888473_XP_005180848.1	26449
LOC101894958_XP_005175293.1	17120
LOC101887756_XP_005188130.1	6635
LOC101899663_XP_005175086.1	2544
LOC101888835_XP_005185803.1	4153
LOC101900124_XP_005175558.1	7438
LOC101888103_XP_005191960.1	2024
LOC101896217_XP_005180270.1	18074
LOC101892322_XP_005181905.1	4119
LOC101897678_XP_005180813.1	383
LOC101888685_XP_005175340.1	22977
LOC101897537_XP_005191464.1	2072
LOC101898856_XP_005190822.1	17129
LOC101888920_XP_005175105.1	11074
LOC101890539_XP_005183371.1	21790
LOC101891518_XP_005179548.1	11665
LOC101900100_XP_005187349.1	2496
LOC101888596_XP_005185126.1	2199
LOC101901448_XP_005175330.1	11848
LOC101896865_XP_005177665.1	10501.2
LOC101892834_XP_005178668.1	7362
LOC101895284_XP_005191689.1	16885
LOC101893546_XP_005189027.1	12622
LOC101901787_XP_005178031.1	10423
LOC101896779_XP_005188184.1	4571.2
LOC101900374_XP_005181865.1	24215
LOC101898351_XP_005176416.1	16050
LOC101895116_XP_005174978.1	1238
LOC101887605_XP_005191720.1	13777
LOC101899404_XP_005179505.1	26971
LOC101896090_XP_005188180.1	9579
LOC101892016_XP_005190779.1	18877
LOC101901528_XP_005183265.1	8909
LOC101892611_XP_005180779.1	8656
LOC101890055_XP_005189408.1	22906
LOC101892853_XP_005184050.1	7027.1
LOC101894264_XP_005181826.1	12922
LOC101899642_XP_005185692.1	5092
LOC101895401_XP_005191765.1	26759
LOC101893711_XP_005186713.1	2204.1
LOC101888380_XP_005188665.1	15545
LOC101887636_XP_005184465.1	669
LOC101889884_XP_005187965.1	3087
LOC101892408_XP_005189020.1	2902
LOC101887982_XP_005190196.1	1419
LOC101896426_XP_005191042.1	4874
LOC101901238_XP_005178543.1	7180
LOC101899931_XP_005187508.1	14504
LOC101891745_XP_005179641.1	12677
LOC101895046_XP_005188082.1	9401.1
LOC101896986_XP_005180633.1	17305
LOC101897646_XP_005187753.1	13467
LOC101895559_XP_005185668.1	24296
LOC101892372_XP_005177550.1	6435
LOC101891634_XP_005180419.1	14897
LOC101888550_XP_005189953.1	16253
LOC101894066_XP_005191918.1	14356.1.2.2
LOC101889198_XP_005188224.1	20404
LOC101895043_XP_005186491.1	2496
LOC101898888_XP_005185602.1	13132
LOC101895414_XP_005178421.1	6072
LOC101889255_XP_005186534.1	11896
LOC101901479_XP_005185858.1	26466
LOC101889278_XP_005175107.1	12158
LOC101890104_XP_005187117.1	3770
LOC101889353_XP_005180760.1	5425
LOC101892589_XP_005190942.1	125
LOC101893882_XP_005189029.1	9037
LOC101894138_XP_005177891.1	25857.2
LOC101896566_XP_005179839.1	1833
LOC101889733_XP_005175190.1	3272
LOC101901419_XP_005183350.1	17024
LOC101898455_XP_005191053.1	10912.1
LOC101893270_XP_005188250.1	11848
LOC101894701_XP_005181059.1	11828
LOC101897423_XP_005187578.1	627
LOC101898198_XP_005184440.1	2975
LOC101896368_XP_005190238.1	19369
LOC101892718_XP_005178059.1	21018
LOC101894348_XP_005189344.1	19346
LOC101899275_XP_005176771.1	3966
LOC101896868_XP_005178602.1	22268.1
LOC101901820_XP_005189779.1	16793.1
LOC101897990_XP_005190096.1	23355
LOC101893217_XP_005187309.1	22997
LOC101900138_XP_005180117.1	17576
LOC101895560_XP_005186237.1	8672
LOC101891036_XP_005192135.1	5812.1
LOC101892116_XP_005186389.1	1118
LOC101900067_XP_005176426.1	23643
LOC101891819_XP_005183708.1	11848
LOC101900237_XP_005192023.1	15605.1
LOC101894358_XP_005191613.1	23504
LOC101900053_XP_005189697.1	5739
LOC101897597_XP_005189452.1	12587.2
LOC101900904_XP_005182733.1	927
LOC101898618_XP_005187585.1	3981
LOC101899764_XP_005189465.1	21554
LOC101891085_XP_005191260.1	21337
LOC101887224_XP_005181875.1	26558
LOC101901589_XP_005184700.1	23635
LOC101889783_XP_005191815.1	2541
LOC101887943_XP_005178818.1	19982
LOC101892521_XP_005189660.1	8939.2
LOC101900913_XP_005184869.1	2681
LOC101889518_XP_005177704.1	22680
LOC101895936_XP_005175540.1	27418
LOC101890363_XP_005180765.1	9807
LOC101887298_XP_005186760.1	10766
LOC101891185_XP_005184725.1	11763
LOC101895213_XP_005186492.1	2496
LOC101897550_XP_005175883.1	11132
LOC101898013_XP_005181244.1	7045
LOC101889647_XP_005185875.1	6696
LOC101889233_XP_005181373.1	16777
LOC101887378_XP_005176348.1	2521
LOC101893073_XP_005181050.1	20897
LOC101896327_XP_005177573.1	19055
LOC101895208_XP_005185497.1	22355
LOC101890373_XP_005184393.1	26436
LOC101889141_XP_005187531.1	14951
LOC101887448_XP_005181363.1	17246
LOC101888515_XP_005177258.1	10800
LOC101897623_XP_005180637.1	8095
LOC101887556_XP_005178195.1	26094
LOC101896066_XP_005182879.1	20356
LOC101894729_XP_005192081.1	18256
LOC101901536_XP_005187185.1	22739
LOC101892166_XP_005184137.1	15438
LOC101897114_XP_005185677.1	25212
LOC101888684_XP_005192268.1	18638
LOC101901222_XP_005190909.1	13415
LOC101895956_XP_005183644.1	6183
LOC101898719_XP_005184684.1	3926
LOC101898223_XP_005190559.1	3080.2.2
LOC101894635_XP_005175291.1	17120
LOC101900171_XP_005190904.1	1236
LOC101900001_XP_005175004.1	23637
LOC101891331_XP_005177797.1	5090
LOC101899051_XP_005177835.1	20894
LOC101894391_XP_005186315.1	22051
LOC101890721_XP_005187037.1	5137.1
LOC101894119_XP_005189116.1	19676
LOC101892239_XP_005189575.1	5840
LOC101896168_XP_005182349.1	17188
LOC101893689_XP_005180165.1	2166.1
LOC101901241_XP_005178901.1	5551
LOC101901574_XP_005180662.1	23043
LOC101895419_XP_005179664.1	5698
LOC101896162_XP_005180007.1	23563
LOC101892252_XP_005175124.1	88
LOC101894826_XP_005187995.1	5999
LOC101897487_XP_005190641.1	23506
LOC101898726_XP_005186001.1	2017
LOC101889182_XP_005182485.1	25452
LOC101889201_XP_005189084.1	2088
LOC101898472_XP_005178959.1	13016
LOC101892648_XP_005176017.1	6987
LOC101900631_XP_005191397.1	19022
LOC101893202_XP_005183135.1	11537
LOC101891004_XP_005182076.1	6012
LOC101888745_XP_005175993.1	2902
LOC101888556_XP_005190998.1	11823
LOC101896788_XP_005190552.1	6245
LOC101899140_XP_005187674.1	826
LOC101892972_XP_005185063.1	21958
LOC101894860_XP_005181317.1	11989
LOC101901028_XP_005185280.1	7607
LOC101890062_XP_005191254.1	24508
LOC101896425_XP_005190550.1	15306
LOC101894978_XP_005182871.1	7469
LOC101894492_XP_005182339.1	9458
LOC101897941_XP_005191211.1	10606
LOC101896730_XP_005192090.1	25869
LOC101901650_XP_005188820.1	13872
LOC101896051_XP_005178337.1	26864
LOC101888570_XP_005176355.1	25965
LOC101895266_XP_005187651.1	12466
LOC101899076_XP_005187424.1	11116
LOC101899482_XP_005185018.1	10470
LOC101893007_XP_005179109.1	6882
LOC101889393_XP_005175765.1	14590
LOC101896501_XP_005176932.1	14084
LOC101899403_XP_005178798.1	15716
LOC101900972_XP_005186101.1	22396.1
LOC101897160_XP_005179926.1	17785
LOC101893370_XP_005184578.1	7046
LOC101890121_XP_005174867.1	5474
LOC101892441_XP_005181815.1	26707
LOC101889894_XP_005191253.1	671
LOC101891460_XP_005181900.1	8157.1
LOC101896594_XP_005187831.1	1620
LOC101889337_XP_005175711.1	23664.1
LOC101893133_XP_005180427.1	11610
LOC101899112_XP_005178887.1	11608
LOC101898976_XP_005190737.1	26885
LOC101894822_XP_005187319.1	13443
LOC101900404_XP_005190186.1	10559
LOC101888947_XP_005184712.1	13231
LOC101892380_XP_005179286.1	7705
LOC101887237_XP_005186107.1	21940
LOC101899608_XP_005191310.1	10241
LOC101894782_XP_005190878.1	1039
LOC101895196_XP_005181832.1	8305
LOC101894620_XP_005190301.1	10170.1.1
LOC101889379_XP_005189315.1	19514
LOC101888839_XP_005187446.1	8108.1
LOC101893287_XP_005191752.1	23409
LOC101889748_XP_005180407.1	13461
LOC101895172_XP_005175377.1	6006
LOC101894315_XP_005178326.1	2865
LOC101891423_XP_005187802.1	22111
LOC101897410_XP_005184075.1	19689.1.1
LOC101900221_XP_005188733.1	4889
LOC101893482_XP_005184411.1	22472
LOC101900509_XP_005188118.1	216
LOC101887933_XP_005175705.1	13522.1.1.1
LOC101892442_XP_005182327.1	13084
LOC101893336_XP_005177003.1	7583
LOC101888414_XP_005179169.1	3803
LOC101897267_XP_005177578.1	156
LOC101889128_XP_005184799.1	20034
LOC101900845_XP_005182554.1	15552
LOC101896277_XP_005179669.1	19369
LOC101890968_XP_005190353.1	11917
LOC101898228_XP_005191940.1	13131
LOC101901235_XP_005177246.1	12042.1
LOC101901364_XP_005184459.1	11197
LOC101896491_XP_005192161.1	19337
LOC101896412_XP_005187156.1	12997
LOC101891487_XP_005189654.1	7492
LOC101895119_XP_005175671.1	26693
LOC101887808_XP_005186022.1	16525
LOC101901410_XP_005180389.1	4178
LOC101888918_XP_005174859.1	10420
LOC101899716_XP_005190182.1	1623
LOC101892883_XP_005175047.1	21031
LOC101900401_XP_005189469.1	20391.1
LOC101898214_XP_005189139.1	1007
LOC101892400_XP_005186795.1	25994
LOC101887360_XP_005189780.1	14445
LOC101901328_XP_005189862.1	526
LOC101891959_XP_005175358.1	56
LOC101893089_XP_005186799.1	3190
LOC101900808_XP_005189773.1	26586
LOC101889243_XP_005183692.1	21554
LOC101898331_XP_005187498.1	1513
LOC101892444_XP_005183220.1	5647
LOC101899360_XP_005183338.1	26338
LOC101901079_XP_005181526.1	20907
LOC101895960_XP_005186155.1	17637
LOC101894737_XP_005176660.1	16283
LOC101898301_XP_005178958.1	9428
LOC101893032_XP_005186642.1	12147
LOC101890069_XP_005175112.1	24980
LOC101898102_XP_005189282.1	15937
LOC101896731_XP_005192240.1	3017
LOC101889586_XP_005184959.1	22300
LOC101898182_XP_005180372.1	26176
LOC101897930_XP_005188460.1	17790
LOC101890427_XP_005183025.1	12659
LOC101894568_XP_005191366.1	16510
LOC101899816_XP_005187095.1	3793
LOC101895806_XP_005191691.1	19369
LOC101890451_XP_005190135.1	4874
LOC101894776_XP_005189740.1	426
LOC101896751_XP_005180899.1	15138
LOC101892190_XP_005190780.1	11681
LOC101897894_XP_005176590.1	19099
LOC101896493_XP_005174985.1	24559
LOC101900304_XP_005177681.1	22577
LOC101894070_XP_005175529.1	8817
LOC101889117_XP_005179967.1	2133
LOC101887567_XP_005180481.1	2809
LOC101889258_XP_005187616.1	21380
LOC101897486_XP_005190470.1	24294
LOC101896155_XP_005177485.1	11782
LOC101891496_XP_005191667.1	67
LOC101898461_XP_005175549.1	11092
LOC101892233_XP_005188599.1	10317
LOC101895629_XP_005190545.1	761.2.2
LOC101893345_XP_005178759.1	25392
LOC101896914_XP_005178516.1	3474
LOC101900629_XP_005190983.1	15554.1
LOC101887683_XP_005185120.1	9149
LOC101897856_XP_005184593.1	6354
LOC101893215_XP_005186710.1	4299.1.1
LOC101893126_XP_005177642.1	17896
LOC101889793_XP_005177788.1	11419.2
LOC101887507_XP_005184107.1	23311
LOC101900874_XP_005190334.1	25643
LOC101891527_XP_005183376.1	21790
LOC101890211_XP_005189320.1	17024
LOC101887474_XP_005190583.1	10283
LOC101888121_XP_005180582.1	5529
LOC101893410_XP_005179560.1	25617
LOC101893137_XP_005181398.1	18062
LOC101893712_XP_005187312.1	8149
LOC101898027_XP_005185769.1	15105
LOC101890591_XP_005181199.1	23769
LOC101890384_XP_005187968.1	19347
LOC101899736_XP_005179419.1	18793
LOC101893096_XP_005188249.1	11848
LOC101896895_XP_005186985.1	9059
LOC101891588_XP_005184399.1	26436
LOC101897429_XP_005189531.1	21743
LOC101894787_XP_005191994.1	26040
LOC101894637_XP_005176834.1	5306
LOC101892438_XP_005180960.1	4876
LOC101890887_XP_005184038.1	22051
LOC101900518_XP_005190906.1	20018
LOC101900029_XP_005182039.1	3505
LOC101897165_XP_005182023.1	16851.1
LOC101896225_XP_005183152.1	19009
LOC101897361_XP_005188364.1	10170.2
LOC101897866_XP_005186737.1	20896
LOC101889007_XP_005183363.1	17813
LOC101900973_XP_005186519.1	24611
LOC101899969_XP_005180826.1	17398
LOC101901012_XP_005180571.1	974
LOC101895618_XP_005188178.1	9579
LOC101893816_XP_005185407.1	1399
LOC101898799_XP_005188973.1	12390
LOC101888575_XP_005178119.1	5055
LOC101901486_XP_005187947.1	19124.1
