mdom	type	dmel
LOC101887256_XP_005191490.1	1:1	FBgn0037467_FBpp0293859
LOC101887258_XP_005191800.1	n:1	FBgn0262720_FBpp0296983
LOC101887260_XP_005191955.1	n:1	FBgn0035044_FBpp0072230
LOC101887261_XP_005174763.1	1:1	FBgn0003731_FBpp0071571
LOC101887262_XP_005174849.1	1:1	FBgn0015477_FBpp0087699
LOC101887263_XP_005175095.1	n:1	FBgn0259834_FBpp0310712
LOC101887264_XP_005175254.1	1:1	FBgn0066303_FBpp0311905
LOC101887266_XP_005176788.1	n:1	FBgn0035510_FBpp0073110
LOC101887267_XP_005177056.1	1:1	FBgn0037084_FBpp0087203
LOC101887268_XP_005178547.1	1:1	FBgn0038526_FBpp0311401
LOC101887269_XP_005178720.1	1:1	FBgn0038865_FBpp0083431
LOC101887271_XP_005179166.1	n:1	FBgn0264556_FBpp0081038
LOC101887272_XP_005179336.1	1:1	FBgn0039879_FBpp0085205
LOC101887273_XP_005179430.1	1:1	FBgn0263873_FBpp0302887
LOC101887274_XP_005179522.1	n:1	FBgn0266019_FBpp0294057
LOC101887275_XP_005179613.1	1:1	FBgn0030395_FBpp0073500
LOC101887276_XP_005179790.1	1:1	FBgn0032787_FBpp0304597
LOC101887277_XP_005180214.1	1:1	FBgn0000228_FBpp0302745
LOC101887278_XP_005181099.1	1:1	FBgn0037632_FBpp0081401
LOC101887279_XP_005181179.1	1:1	FBgn0036489_FBpp0075398
LOC101887280_XP_005181268.1	1:1	FBgn0027084_FBpp0071302
LOC101887282_XP_005181705.1	1:1	FBgn0036299_FBpp0075698
LOC101887283_XP_005181963.1	1:1	FBgn0035677_FBpp0304373
LOC101887284_XP_005182381.1	1:1	FBgn0041097_FBpp0077587
LOC101887285_XP_005182474.1	1:1	FBgn0036314_FBpp0075676
LOC101887287_XP_005183439.1	n:1	FBgn0030162_FBpp0309783
LOC101887289_XP_005184016.1	1:1	FBgn0053208_FBpp0297564
LOC101887290_XP_005184463.1	1:1	FBgn0031106_FBpp0077022
LOC101887291_XP_005184544.1	1:1	FBgn0032167_FBpp0079489
LOC101887292_XP_005184702.1	1:1	FBgn0000629_FBpp0306192
LOC101887293_XP_005184875.1	n:n	FBgn0051091_FBpp0301062,FBgn0051089_FBpp0084316
LOC101887295_XP_005185622.1	1:1	FBgn0039848_FBpp0085171
LOC101887297_XP_005186019.1	n:n	FBgn0052271_FBpp0072967,FBgn0035070_FBpp0072287
LOC101887299_XP_005186852.1	n:1	FBgn0032636_FBpp0080533
LOC101887302_XP_005188213.1	1:1	FBgn0032053_FBpp0079304
LOC101887303_XP_005189073.1	n:1	FBgn0032225_FBpp0079589
LOC101887304_XP_005189160.1	1:1	FBgn0038106_FBpp0082163
LOC101887305_XP_005189303.1	n:1	FBgn0051612_FBpp0290221
LOC101887307_XP_005190193.1	n:1	FBgn0000182_FBpp0080362
LOC101887310_XP_005191577.1	1:1	FBgn0262870_FBpp0305769
LOC101887312_XP_005192114.1	n:1	FBgn0032512_FBpp0080050
LOC101887313_XP_005192191.1	1:1	FBgn0028343_FBpp0290628
LOC101887314_XP_005175333.1	n:n	FBgn0039326_FBpp0084225,FBgn0045761_FBpp0112264,FBgn0039324_FBpp0084227,FBgn0039325_FBpp0084226,FBgn0039323_FBpp0288380
LOC101887315_XP_005175413.1	1:1	FBgn0037744_FBpp0081609
LOC101887317_XP_005176071.1	1:1	FBgn0003867_FBpp0083563
LOC101887319_XP_005176615.1	1:1	FBgn0036678_FBpp0075063
LOC101887321_XP_005177154.1	1:1	FBgn0052267_FBpp0073001
LOC101887322_XP_005177251.1	1:1	FBgn0032057_FBpp0079354
LOC101887323_XP_005177334.1	n:1	FBgn0016034_FBpp0088574
LOC101887324_XP_005177431.1	1:1	FBgn0026439_FBpp0292879
LOC101887325_XP_005177607.1	1:1	FBgn0029992_FBpp0071072
LOC101887326_XP_005177852.1	1:1	FBgn0031762_FBpp0078859
LOC101887327_XP_005178032.1	1:1	FBgn0001169_FBpp0083324
LOC101887329_XP_005178634.1	1:1	FBgn0035632_FBpp0076826
LOC101887330_XP_005178816.1	1:1	FBgn0033166_FBpp0088079
LOC101887331_XP_005178982.1	1:1	FBgn0023512_FBpp0089217
LOC101887332_XP_005180748.1	n:1	FBgn0027584_FBpp0307203
LOC101887333_XP_005182298.1	1:1	FBgn0035583_FBpp0073209
LOC101887334_XP_005182560.1	1:1	FBgn0051694_FBpp0077369
LOC101887335_XP_005182648.1	1:1	FBgn0040074_FBpp0075134
LOC101887336_XP_005183191.1	1:1	FBgn0004655_FBpp0310572
LOC101887337_XP_005183268.1	1:1	FBgn0034371_FBpp0291076
LOC101887338_XP_005183593.1	1:1	FBgn0034417_FBpp0085778
LOC101887339_XP_005183681.1	1:1	FBgn0052813_FBpp0303349
LOC101887340_XP_005183771.1	1:1	FBgn0002174_FBpp0088955
LOC101887341_XP_005184788.1	1:1	FBgn0264339_FBpp0304311
LOC101887342_XP_005184947.1	1:1	FBgn0030869_FBpp0301993
LOC101887343_XP_005185118.1	1:1	FBgn0025352_FBpp0072135
LOC101887344_XP_005185208.1	1:1	FBgn0038049_FBpp0082063
LOC101887345_XP_005185536.1	1:1	FBgn0032895_FBpp0080955
LOC101887346_XP_005186186.1	1:1	FBgn0260742_FBpp0112135
LOC101887348_XP_005186448.1	1:1	FBgn0031150_FBpp0089240
LOC101887349_XP_005186524.1	1:1	FBgn0260862_FBpp0072503
LOC101887350_XP_005187017.1	1:1	FBgn0040296_FBpp0301079
LOC101887351_XP_005187188.1	n:1	FBgn0002629_FBpp0084353
LOC101887352_XP_005187274.1	1:1	FBgn0036891_FBpp0074713
LOC101887354_XP_005187439.1	1:1	FBgn0010638_FBpp0086627
LOC101887355_XP_005187604.1	1:1	FBgn0028695_FBpp0074662
LOC101887356_XP_005188303.1	1:1	FBgn0036581_FBpp0305737
LOC101887357_XP_005188485.1	1:1	FBgn0031973_FBpp0079171
LOC101887358_XP_005188660.1	1:1	FBgn0032031_FBpp0079327
LOC101887359_XP_005189479.1	1:1	FBgn0029859_FBpp0070887
LOC101887361_XP_005189866.1	n:1	FBgn0014454_FBpp0079123
LOC101887362_XP_005190417.1	n:1	FBgn0028950_FBpp0310294
LOC101887363_XP_005190669.1	n:1	FBgn0036017_FBpp0293143
LOC101887364_XP_005190750.1	1:1	FBgn0035449_FBpp0073002
LOC101887365_XP_005190843.1	1:1	FBgn0011828_FBpp0089216
LOC101887366_XP_005190991.1	1:1	FBgn0038371_FBpp0082644
LOC101887367_XP_005191072.1	n:1	FBgn0085343_FBpp0111424
LOC101887369_XP_005191405.1	1:1	FBgn0259714_FBpp0289244
LOC101887372_XP_005175491.1	n:n	FBgn0259185_FBpp0288947,FBgn0259187_FBpp0291494
LOC101887373_XP_005175569.1	n:1	FBgn0034598_FBpp0112013
LOC101887377_XP_005176255.1	1:1	FBgn0032447_FBpp0309442
LOC101887378_XP_005176348.1	1:1	FBgn0027108_FBpp0291074
LOC101887379_XP_005176439.1	1:1	FBgn0039430_FBpp0084388
LOC101887380_XP_005176877.1	n:1	FBgn0022981_FBpp0293856
LOC101887381_XP_005176967.1	1:1	FBgn0026077_FBpp0078268
LOC101887382_XP_005177521.1	1:1	FBgn0035922_FBpp0076295
LOC101887384_XP_005178112.1	1:1	FBgn0037713_FBpp0081590
LOC101887386_XP_005178283.1	1:1	FBgn0034821_FBpp0071889
LOC101887387_XP_005178461.1	1:1	FBgn0034307_FBpp0085924
LOC101887388_XP_005179255.1	1:1	FBgn0036789_FBpp0312429
LOC101887389_XP_005179705.1	1:1	FBgn0039756_FBpp0084937
LOC101887390_XP_005179956.1	n:n	FBgn0039613_FBpp0084699,FBgn0027578_FBpp0307566
LOC101887392_XP_005180128.1	1:1	FBgn0031876_FBpp0078990
LOC101887393_XP_005180393.1	1:1	FBgn0029948_FBpp0071013
LOC101887394_XP_005180480.1	1:1	FBgn0030367_FBpp0073473
LOC101887395_XP_005180665.1	1:1	FBgn0025807_FBpp0111830
LOC101887396_XP_005181615.1	n:n	FBgn0032491_FBpp0271956,FBgn0032490_FBpp0306794
LOC101887397_XP_005181876.1	1:1	FBgn0038160_FBpp0310954
LOC101887399_XP_005182147.1	1:1	FBgn0034422_FBpp0085693
LOC101887400_XP_005182917.1	1:1	FBgn0032348_FBpp0079789
LOC101887402_XP_005183096.1	1:1	FBgn0031869_FBpp0304605
LOC101887404_XP_005185287.1	1:1	FBgn0034994_FBpp0072181
LOC101887405_XP_005185706.1	1:1	FBgn0028939_FBpp0310277
LOC101887406_XP_005185862.1	1:1	FBgn0005596_FBpp0303324
LOC101887407_XP_005185932.1	1:1	FBgn0042085_FBpp0085442
LOC101887409_XP_005186274.1	n:n	FBgn0051910_FBpp0078934,FBgn0050393_FBpp0071546,FBgn0050391_FBpp0071547
LOC101887410_XP_005187101.1	1:1	FBgn0033848_FBpp0086791
LOC101887411_XP_005187521.1	1:1	FBgn0261800_FBpp0079113
LOC101887413_XP_005187861.1	1:1	FBgn0260960_FBpp0075115
LOC101887415_XP_005188037.1	1:1	FBgn0261994_FBpp0292829
LOC101887416_XP_005188396.1	1:1	FBgn0001308_FBpp0086328
LOC101887417_XP_005188572.1	1:1	FBgn0028886_FBpp0080247
LOC101887419_XP_005188989.1	1:1	FBgn0000552_FBpp0081186
LOC101887420_XP_005189241.1	1:1	FBgn0034704_FBpp0071681
LOC101887421_XP_005189392.1	1:1	FBgn0039676_FBpp0084832
LOC101887422_XP_005189946.1	1:1	FBgn0003065_FBpp0085218
LOC101887424_XP_005190119.1	1:1	FBgn0035140_FBpp0072449
LOC101887426_XP_005190498.1	1:1	FBgn0015838_FBpp0303474
LOC101887427_XP_005190914.1	1:1	FBgn0031948_FBpp0079119
LOC101887428_XP_005191155.1	1:1	FBgn0031663_FBpp0078684
LOC101887429_XP_005191719.1	1:1	FBgn0030086_FBpp0071226
LOC101887430_XP_005191801.1	n:1	FBgn0053772_FBpp0292731
LOC101887431_XP_005191956.1	1:1	FBgn0030257_FBpp0073246
LOC101887433_XP_005175255.1	1:1	FBgn0005564_FBpp0111766
LOC101887435_XP_005176789.1	1:1	FBgn0035511_FBpp0073109
LOC101887436_XP_005178548.1	1:1	FBgn0038531_FBpp0288412
LOC101887437_XP_005178721.1	1:1	FBgn0264357_FBpp0083423
LOC101887438_XP_005179072.1	1:1	FBgn0085482_FBpp0288793
LOC101887440_XP_005179337.1	1:1	FBgn0083979_FBpp0112397
LOC101887441_XP_005179614.1	1:1	FBgn0033679_FBpp0087129
LOC101887442_XP_005179791.1	1:1	FBgn0040321_FBpp0076237
LOC101887443_XP_005180578.1	n:n	FBgn0000046_FBpp0312019,FBgn0000044_FBpp0071448
LOC101887444_XP_005180842.1	1:1	FBgn0053993_FBpp0099403
LOC101887445_XP_005181100.1	1:1	FBgn0037635_FBpp0301107
LOC101887446_XP_005181180.1	1:1	FBgn0037007_FBpp0077874
LOC101887447_XP_005181269.1	1:1	FBgn0040931_FBpp0071278
LOC101887448_XP_005181363.1	1:1	FBgn0051064_FBpp0308356
LOC101887449_XP_005181531.1	1:1	FBgn0036101_FBpp0089001
LOC101887450_XP_005181706.1	1:1	FBgn0004926_FBpp0075700
LOC101887451_XP_005181789.1	1:1	FBgn0035388_FBpp0311278
LOC101887453_XP_005182475.1	1:1	FBgn0004449_FBpp0303192
LOC101887454_XP_005183354.1	n:n	FBgn0034553_FBpp0071488,FBgn0034552_FBpp0071489
LOC101887455_XP_005183440.1	n:1	FBgn0030162_FBpp0309783
LOC101887457_XP_005184017.1	1:1	FBgn0039175_FBpp0084021
LOC101887458_XP_005184291.1	1:1	FBgn0001218_FBpp0311376
LOC101887459_XP_005184464.1	1:1	FBgn0027334_FBpp0076990
LOC101887460_XP_005184876.1	n:n	FBgn0051091_FBpp0301062,FBgn0051089_FBpp0084316
LOC101887461_XP_005185368.1	1:1	FBgn0034094_FBpp0086274
LOC101887462_XP_005185456.1	1:1	FBgn0010411_FBpp0085586
LOC101887463_XP_005185623.1	1:1	FBgn0051365_FBpp0083798
LOC101887464_XP_005185795.1	1:1	FBgn0039403_FBpp0084348
LOC101887465_XP_005186020.1	1:1	FBgn0040551_FBpp0307209
LOC101887466_XP_005186853.1	1:1	FBgn0041246_FBpp0079787
LOC101887467_XP_005186941.1	1:n	FBgn0033555_FBpp0087321,FBgn0010198_FBpp0073626
LOC101887468_XP_005187780.1	n:1	FBgn0003983_FBpp0080099
LOC101887469_XP_005188214.1	1:1	FBgn0259152_FBpp0290493
LOC101887470_XP_005189074.1	n:1	FBgn0030316_FBpp0073362
LOC101887471_XP_005189304.1	n:1	FBgn0263395_FBpp0085692
LOC101887472_XP_005189558.1	1:1	FBgn0004102_FBpp0304126
LOC101887474_XP_005190583.1	1:1	FBgn0038579_FBpp0083035
LOC101887475_XP_005191326.1	n:1	FBgn0025373_FBpp0087266
LOC101887477_XP_005192115.1	n:1	FBgn0032512_FBpp0080050
LOC101887478_XP_005192192.1	n:1	FBgn0052554_FBpp0074241
LOC101887481_XP_005175414.1	1:1	FBgn0266720_FBpp0081641
LOC101887483_XP_005176072.1	1:1	FBgn0013759_FBpp0303394
LOC101887486_XP_005176700.1	1:1	FBgn0038967_FBpp0290925
LOC101887487_XP_005177157.1	1:1	FBgn0026418_FBpp0292999
LOC101887488_XP_005177252.1	n:1	FBgn0037125_FBpp0078087
LOC101887489_XP_005177336.1	1:1	FBgn0030421_FBpp0073522
LOC101887491_XP_005177608.1	1:1	FBgn0027588_FBpp0070058
LOC101887492_XP_005177692.1	1:1	FBgn0037046_FBpp0077982
LOC101887493_XP_005177853.1	1:n	FBgn0032085_FBpp0079362,FBgn0032086_FBpp0079363
LOC101887494_XP_005178033.1	1:1	FBgn0051201_FBpp0110134
LOC101887496_XP_005178635.1	1:1	FBgn0035631_FBpp0076804
LOC101887497_XP_005178907.1	n:1	FBgn0002564_FBpp0072365
LOC101887498_XP_005178983.1	1:1	FBgn0029837_FBpp0303596
LOC101887499_XP_005180749.1	n:1	FBgn0027584_FBpp0307203
LOC101887500_XP_005180930.1	1:1	FBgn0032224_FBpp0301800
LOC101887501_XP_005182219.1	1:1	FBgn0050157_FBpp0085517
LOC101887502_XP_005182299.1	1:1	FBgn0027085_FBpp0073204
LOC101887503_XP_005182561.1	1:1	FBgn0031478_FBpp0077314
LOC101887504_XP_005182649.1	1:1	FBgn0036612_FBpp0110166
LOC101887505_XP_005183269.1	1:1	FBgn0034217_FBpp0086073
LOC101887506_XP_005183594.1	1:1	FBgn0039874_FBpp0085217
LOC101887507_XP_005184107.1	1:1	FBgn0025463_FBpp0073572
LOC101887508_XP_005184195.1	1:1	FBgn0026738_FBpp0075358
LOC101887509_XP_005184377.1	1:1	FBgn0039890_FBpp0300567
LOC101887510_XP_005184789.1	1:1	FBgn0031611_FBpp0077133
LOC101887511_XP_005185119.1	1:1	FBgn0025336_FBpp0309955
LOC101887512_XP_005185209.1	1:1	FBgn0086687_FBpp0082098
LOC101887513_XP_005185537.1	n:n	FBgn0032900_FBpp0297992,FBgn0032899_FBpp0305224,FBgn0032897_FBpp0080956
LOC101887515_XP_005186525.1	1:1	FBgn0035155_FBpp0303111
LOC101887516_XP_005187018.1	n:1	FBgn0003415_FBpp0111743
LOC101887517_XP_005187189.1	n:1	FBgn0002629_FBpp0084353
LOC101887518_XP_005187275.1	1:1	FBgn0003499_FBpp0303083
LOC101887519_XP_005187361.1	1:1	FBgn0022224_FBpp0085529
LOC101887520_XP_005187440.1	1:1	FBgn0027529_FBpp0085592
LOC101887521_XP_005187605.1	1:1	FBgn0036918_FBpp0303214
LOC101887522_XP_005187951.1	1:1	FBgn0030763_FBpp0074063
LOC101887523_XP_005188304.1	1:1	FBgn0030341_FBpp0073441
LOC101887524_XP_005188486.1	1:1	FBgn0031972_FBpp0079172
LOC101887525_XP_005188661.1	1:1	FBgn0033372_FBpp0301832
LOC101887526_XP_005189480.1	1:1	FBgn0263855_FBpp0085368
LOC101887527_XP_005189630.1	1:1	FBgn0262869_FBpp0297308
LOC101887529_XP_005189867.1	n:1	FBgn0014454_FBpp0079123
LOC101887530_XP_005190271.1	n:n	FBgn0037591_FBpp0081382,FBgn0037590_FBpp0081383,FBgn0037594_FBpp0081361,FBgn0036009_FBpp0076104
LOC101887531_XP_005190340.1	1:1	FBgn0261112_FBpp0303606
LOC101887532_XP_005190418.1	n:1	FBgn0028950_FBpp0310294
LOC101887533_XP_005190670.1	1:1	FBgn0038391_FBpp0082672
LOC101887534_XP_005190751.1	1:1	FBgn0035965_FBpp0076264
LOC101887535_XP_005190992.1	1:1	FBgn0039704_FBpp0084851
LOC101887536_XP_005191073.1	n:1	FBgn0026778_FBpp0077427
LOC101887538_XP_005191406.1	n:1	FBgn0031390_FBpp0290874
LOC101887539_XP_005191492.1	1:1	FBgn0037466_FBpp0081148
LOC101887540_XP_005174765.1	n:1	FBgn0010385_FBpp0087518
LOC101887541_XP_005174940.1	n:1	FBgn0030796_FBpp0074110
LOC101887542_XP_005175177.1	n:1	FBgn0028974_FBpp0074178
LOC101887544_XP_005175570.1	n:1	FBgn0052654_FBpp0309104
LOC101887545_XP_005175633.1	1:1	FBgn0030718_FBpp0309363
LOC101887547_XP_005175832.1	n:1	FBgn0030594_FBpp0310035
LOC101887548_XP_005175988.1	1:1	FBgn0001978_FBpp0080265
LOC101887549_XP_005176256.1	1:1	FBgn0032398_FBpp0079892
LOC101887551_XP_005176878.1	n:1	FBgn0022981_FBpp0293856
LOC101887552_XP_005177058.1	1:1	FBgn0033582_FBpp0303485
LOC101887554_XP_005177777.1	1:1	FBgn0032295_FBpp0079702
LOC101887555_XP_005178113.1	1:1	FBgn0027950_FBpp0306716
LOC101887558_XP_005178462.1	1:1	FBgn0034308_FBpp0311543
LOC101887560_XP_005179523.1	1:1	FBgn0025837_FBpp0297938
LOC101887561_XP_005179706.1	1:1	FBgn0039754_FBpp0311990
LOC101887562_XP_005179870.1	1:1	FBgn0041205_FBpp0296952
LOC101887563_XP_005179957.1	1:1	FBgn0000667_FBpp0302778
LOC101887564_XP_005180040.1	1:n	FBgn0032003_FBpp0079215,FBgn0032002_FBpp0304688
LOC101887566_XP_005180394.1	1:1	FBgn0031861_FBpp0290045
LOC101887567_XP_005180481.1	1:1	FBgn0000382_FBpp0070363
LOC101887568_XP_005180668.1	1:1	FBgn0014075_FBpp0074831
LOC101887569_XP_005181616.1	n:n	FBgn0032491_FBpp0271956,FBgn0032490_FBpp0306794
LOC101887570_XP_005181877.1	1:1	FBgn0085253_FBpp0111332
LOC101887571_XP_005181965.1	1:1	FBgn0061492_FBpp0290663
LOC101887572_XP_005182054.1	1:1	FBgn0033987_FBpp0086540
LOC101887573_XP_005182148.1	n:n	FBgn0036249_FBpp0075725,FBgn0083952_FBpp0110113
LOC101887574_XP_005182382.1	1:1	FBgn0035173_FBpp0072490
LOC101887575_XP_005182918.1	n:1	FBgn0040211_FBpp0079790
LOC101887577_XP_005183097.1	1:1	FBgn0032350_FBpp0079809
LOC101887580_XP_005184704.1	1:1	FBgn0001179_FBpp0113091
LOC101887582_XP_005185707.1	1:1	FBgn0003255_FBpp0080183
LOC101887583_XP_005185933.1	1:1	FBgn0037831_FBpp0290525
LOC101887584_XP_005186109.1	1:1	FBgn0010314_FBpp0079399
LOC101887585_XP_005186275.1	n:n	FBgn0051910_FBpp0078934,FBgn0050393_FBpp0071546,FBgn0050391_FBpp0071547
LOC101887586_XP_005187102.1	1:1	FBgn0033846_FBpp0290602
LOC101887588_XP_005187692.1	1:1	FBgn0040367_FBpp0070198
LOC101887589_XP_005187862.1	1:1	FBgn0035852_FBpp0076446
LOC101887590_XP_005188038.1	1:1	FBgn0039193_FBpp0292615
LOC101887591_XP_005188129.1	1:1	FBgn0031041_FBpp0099685
LOC101887592_XP_005188573.1	n:1	FBgn0030239_FBpp0073235
LOC101887593_XP_005188744.1	n:1	FBgn0024995_FBpp0271787
LOC101887594_XP_005188907.1	n:1	FBgn0000810_FBpp0070380
LOC101887595_XP_005188990.1	n:1	FBgn0004777_FBpp0081187
LOC101887596_XP_005189161.1	1:1	FBgn0003447_FBpp0290893
LOC101887597_XP_005189242.1	1:1	FBgn0013954_FBpp0085703
LOC101887598_XP_005189393.1	1:1	FBgn0039677_FBpp0084815
LOC101887600_XP_005190029.1	1:1	FBgn0039631_FBpp0084733
LOC101887601_XP_005190120.1	1:1	FBgn0035141_FBpp0072463
LOC101887602_XP_005190499.1	1:1	FBgn0033377_FBpp0087711
LOC101887603_XP_005190915.1	n:n	FBgn0032669_FBpp0080601,FBgn0032670_FBpp0080602,FBgn0032668_FBpp0080591
LOC101887604_XP_005191156.1	1:1	FBgn0036988_FBpp0302735
LOC101887605_XP_005191720.1	1:1	FBgn0000927_FBpp0070463
LOC101887606_XP_005191802.1	n:1	FBgn0000064_FBpp0297612
LOC101887607_XP_005191878.1	n:1	FBgn0031306_FBpp0304560
LOC101887608_XP_005191957.1	n:1	FBgn0036254_FBpp0075756
LOC101887609_XP_005175097.1	1:1	FBgn0085410_FBpp0111531
LOC101887610_XP_005175755.1	1:1	FBgn0037834_FBpp0081780
LOC101887611_XP_005176167.1	1:1	FBgn0065035_FBpp0089414
LOC101887612_XP_005176790.1	1:1	FBgn0035512_FBpp0073108
LOC101887614_XP_005178722.1	1:1	FBgn0052557_FBpp0074240
LOC101887615_XP_005179073.1	1:1	FBgn0263605_FBpp0305742
LOC101887616_XP_005179338.1	1:1	FBgn0042213_FBpp0308773
LOC101887617_XP_005179615.1	1:1	FBgn0024732_FBpp0303479
LOC101887618_XP_005179792.1	1:1	FBgn0038327_FBpp0082549
LOC101887619_XP_005180579.1	1:1	FBgn0041711_FBpp0082225
LOC101887620_XP_005180843.1	1:1	FBgn0035603_FBpp0076858
LOC101887621_XP_005181016.1	1:1	FBgn0261705_FBpp0292301
LOC101887622_XP_005181101.1	1:1	FBgn0038301_FBpp0082593
LOC101887623_XP_005181270.1	1:1	FBgn0061200_FBpp0309144
LOC101887624_XP_005181532.1	1:1	FBgn0035707_FBpp0076685
LOC101887625_XP_005181707.1	1:1	FBgn0020388_FBpp0075701
LOC101887626_XP_005181790.1	1:1	FBgn0263603_FBpp0302719
LOC101887627_XP_005182476.1	1:1	FBgn0260461_FBpp0074706
LOC101887628_XP_005182742.1	1:1	FBgn0011660_FBpp0086520
LOC101887629_XP_005182828.1	1:1	FBgn0053180_FBpp0292664
LOC101887630_XP_005183355.1	n:n	FBgn0034553_FBpp0071488,FBgn0034552_FBpp0071489
LOC101887631_XP_005183441.1	1:1	FBgn0030161_FBpp0309784
LOC101887632_XP_005183682.1	1:1	FBgn0265185_FBpp0308250
LOC101887633_XP_005183773.1	1:1	FBgn0011297_FBpp0072004
LOC101887635_XP_005184018.1	1:1	FBgn0037563_FBpp0304809
LOC101887636_XP_005184465.1	1:n	FBgn0032968_FBpp0085284,FBgn0037455_FBpp0088689,FBgn0030451_FBpp0310939,FBgn0039577_FBpp0290886
LOC101887637_XP_005184877.1	1:1	FBgn0086690_FBpp0297121
LOC101887638_XP_005185370.1	1:1	FBgn0034093_FBpp0310506
LOC101887639_XP_005185457.1	1:1	FBgn0021825_FBpp0087722
LOC101887641_XP_005185796.1	1:1	FBgn0004118_FBpp0084061
LOC101887642_XP_005186021.1	1:1	FBgn0034151_FBpp0086231
LOC101887643_XP_005186854.1	1:1	FBgn0032339_FBpp0079785
LOC101887644_XP_005186942.1	1:1	FBgn0040309_FBpp0308757
LOC101887645_XP_005187781.1	n:1	FBgn0003983_FBpp0080099
LOC101887646_XP_005188215.1	1:1	FBgn0039293_FBpp0084183
LOC101887647_XP_005189075.1	n:1	FBgn0030316_FBpp0073362
LOC101887648_XP_005189305.1	1:1	FBgn0031745_FBpp0309555
LOC101887649_XP_005190584.1	n:1	FBgn0030162_FBpp0309783
LOC101887650_XP_005191327.1	1:1	FBgn0030260_FBpp0073250
LOC101887652_XP_005192116.1	1:1	FBgn0083950_FBpp0110105
LOC101887653_XP_005192193.1	1:1	FBgn0030872_FBpp0074238
