dmelid	ogsid
FBgn0002354_FBpp0082171	15430
FBgn0030033_FBpp0071121	4847
FBgn0033931_FBpp0086684	3202
FBgn0261387_FBpp0110579	21605
FBgn0262790_FBpp0312416	21404
FBgn0032340_FBpp0079818	15178
FBgn0038837_FBpp0083391	11626.1.2
FBgn0039818_FBpp0085101	13306
FBgn0036893_FBpp0074714	7109
FBgn0086901_FBpp0111544	24180
FBgn0260996_FBpp0291013	1852
FBgn0053223_FBpp0310011	22424
FBgn0034351_FBpp0085875	24847
FBgn0028552_FBpp0072096	10302
FBgn0051080_FBpp0084404	4874
FBgn0003882_FBpp0291542	23275
FBgn0037164_FBpp0078156	16943
FBgn0039209_FBpp0110092	6725
FBgn0026753_FBpp0083214	4368
FBgn0019957_FBpp0307181	17924
FBgn0040985_FBpp0311571	16646
FBgn0033382_FBpp0087661	17154
FBgn0260454_FBpp0100168	4358
FBgn0053669_FBpp0291611	16251
FBgn0024236_FBpp0303834	20196
FBgn0028514_FBpp0289839	12470
FBgn0064123_FBpp0076940	11946
FBgn0002932_FBpp0081481	21058
FBgn0010431_FBpp0076340	24278
FBgn0033969_FBpp0086594	1147
FBgn0031858_FBpp0078965	8465
FBgn0037612_FBpp0293880	6275
FBgn0038577_FBpp0083036	6129
FBgn0052570_FBpp0074100	20366
FBgn0030054_FBpp0071172	362
FBgn0040355_FBpp0070521	2610
FBgn0042630_FBpp0303149	10767
FBgn0036066_FBpp0076045	4299.1.1
FBgn0086368_FBpp0070134	5373
FBgn0030239_FBpp0073235	13877
FBgn0085321_FBpp0111401	6065
FBgn0034292_FBpp0085990	11457
FBgn0036590_FBpp0075223	17869
FBgn0038132_FBpp0082244	16353
FBgn0020764_FBpp0072060	9149
FBgn0031876_FBpp0078990	16349
FBgn0031613_FBpp0077134	1327
FBgn0034081_FBpp0311708	7396
FBgn0038492_FBpp0306505	3480
FBgn0003884_FBpp0081153	5127.2
FBgn0038676_FBpp0271809	18381
FBgn0052072_FBpp0075961	16805
FBgn0035444_FBpp0312150	6282
FBgn0050499_FBpp0088028	20157
FBgn0032378_FBpp0305616	20552
FBgn0033741_FBpp0087045	3321
FBgn0035430_FBpp0072917	10133
FBgn0038930_FBpp0083580	19510
FBgn0002023_FBpp0302972	12759
FBgn0024273_FBpp0307744	19127
FBgn0262358_FBpp0293180	14699
FBgn0030592_FBpp0073797	3981
FBgn0035890_FBpp0076337	7658
FBgn0036812_FBpp0074855	17000
FBgn0267044_FBpp0311900	5689
FBgn0038879_FBpp0083458	19067
FBgn0023526_FBpp0305178	19713
FBgn0036052_FBpp0289912	6162
FBgn0035548_FBpp0288664	19488
FBgn0033192_FBpp0307926	18938.1
FBgn0053648_FBpp0310281	26759
FBgn0030742_FBpp0074015	22320
FBgn0030930_FBpp0311917	15567
FBgn0033516_FBpp0087412	27088
FBgn0002283_FBpp0298337	20663
FBgn0028857_FBpp0289840	12154
FBgn0035996_FBpp0076204	12147
FBgn0031492_FBpp0077333	18010
FBgn0031753_FBpp0078781	15320
FBgn0028538_FBpp0080114	6891
FBgn0039875_FBpp0303146	12683
FBgn0052576_FBpp0100008	19822
FBgn0015609_FBpp0099721	26831.2
FBgn0036080_FBpp0076026	13001
FBgn0037460_FBpp0081199	429
FBgn0036126_FBpp0075963	17329
FBgn0262742_FBpp0111715	1114
FBgn0028292_FBpp0311994	4820
FBgn0034440_FBpp0302004	25905.2
FBgn0024187_FBpp0076483	24732
FBgn0044323_FBpp0297142	5138
FBgn0036105_FBpp0075998	3272
FBgn0035405_FBpp0072891	22935
FBgn0033368_FBpp0087743	1498
FBgn0035709_FBpp0076672	20921
FBgn0085223_FBpp0111302	13413
FBgn0038438_FBpp0082758	3482
FBgn0052656_FBpp0309609	18111
FBgn0041627_FBpp0080322	1197
FBgn0040064_FBpp0079472	9808
FBgn0010246_FBpp0072567	16643
FBgn0033932_FBpp0086614	23324.2.2
FBgn0030963_FBpp0074410	23067
FBgn0032839_FBpp0080882	13537.1
FBgn0047000_FBpp0312529	11124
FBgn0043530_FBpp0086551	10915
FBgn0032618_FBpp0309156	1142
FBgn0262360_FBpp0293183	9943
FBgn0034664_FBpp0071653	24224.1.1
FBgn0260985_FBpp0073120	7374
FBgn0000442_FBpp0077706	15185.2
FBgn0086704_FBpp0085143	25900
FBgn0053145_FBpp0087154	67
FBgn0005536_FBpp0300535	26973
FBgn0039200_FBpp0084002	4324
FBgn0053861_FBpp0091107	6330.1.1
FBgn0051436_FBpp0084205	11848
FBgn0067311_FBpp0100172	20431
FBgn0000996_FBpp0086519	1588
FBgn0029720_FBpp0289695	15023
FBgn0039022_FBpp0083712	6319
FBgn0039789_FBpp0085041	25645.1
FBgn0002719_FBpp0082129	15131
FBgn0032024_FBpp0079225	12054
FBgn0085256_FBpp0111335	24296
FBgn0034990_FBpp0099523	2204.1
FBgn0010282_FBpp0081216	13962
FBgn0038390_FBpp0082667	24825
FBgn0267033_FBpp0311880	16638
FBgn0035033_FBpp0072222	14311
FBgn0052196_FBpp0271909	13528
FBgn0033543_FBpp0311717	1449
FBgn0086907_FBpp0307140	21984
FBgn0020445_FBpp0088917	19012
FBgn0260466_FBpp0099666	15758
FBgn0035416_FBpp0072906	23247
FBgn0032168_FBpp0079488	25227
FBgn0027621_FBpp0074485	26167
FBgn0261583_FBpp0292025	9206
FBgn0032503_FBpp0080042	13321
FBgn0020307_FBpp0071689	16195
FBgn0010328_FBpp0111770	16046
FBgn0030918_FBpp0074332	17793
FBgn0032271_FBpp0303791	2204.2
FBgn0085479_FBpp0111668	6566
FBgn0264364_FBpp0304529	21089
FBgn0031381_FBpp0077492	17607
FBgn0039734_FBpp0084917	6689
FBgn0010407_FBpp0079568	279
FBgn0031821_FBpp0308832	9757
FBgn0034484_FBpp0085623	17885
FBgn0001323_FBpp0312390	7015
FBgn0083965_FBpp0110170	17614
FBgn0045064_FBpp0303611	9779
FBgn0036621_FBpp0303600	23051
FBgn0051909_FBpp0289687	8890
FBgn0038239_FBpp0082414	27280
FBgn0032487_FBpp0080062	10315
FBgn0020379_FBpp0308019	4048
FBgn0003285_FBpp0070537	9666.1
FBgn0035170_FBpp0072491	23850
FBgn0032649_FBpp0080544	1691
FBgn0260460_FBpp0075138	3034
FBgn0026060_FBpp0070849	24236
FBgn0036290_FBpp0311505	20170.2
FBgn0260644_FBpp0290171	15835
FBgn0262814_FBpp0310923	17710
FBgn0031868_FBpp0078973	26408
FBgn0002121_FBpp0297545	23373
FBgn0027524_FBpp0081650	6336
FBgn0038944_FBpp0083634	18051
FBgn0051163_FBpp0303407	8354
FBgn0036249_FBpp0075725	20551
FBgn0053489_FBpp0088510	13618
FBgn0029524_FBpp0310106	11759
FBgn0039588_FBpp0084662	11859
FBgn0036585_FBpp0292441	14197
FBgn0031540_FBpp0077258	8560.2
FBgn0038197_FBpp0293589	6894
FBgn0052707_FBpp0071222	9026
FBgn0263346_FBpp0301012	25573
FBgn0011225_FBpp0306894	2451
FBgn0035737_FBpp0076618	16793.1
FBgn0004888_FBpp0292215	22187
FBgn0261111_FBpp0076545	22300
FBgn0030519_FBpp0304108	12289
FBgn0052187_FBpp0074935	9742
FBgn0039531_FBpp0084569	8953
FBgn0011742_FBpp0302793	1785.2
FBgn0011737_FBpp0304607	12321
FBgn0036828_FBpp0312391	22214
FBgn0004055_FBpp0072304	13069
FBgn0050105_FBpp0086057	23016
FBgn0266717_FBpp0304070	17078
FBgn0051450_FBpp0081380	4973
FBgn0260746_FBpp0081961	22693.2
FBgn0004172_FBpp0081103	3102
FBgn0036926_FBpp0074669	23664.1
FBgn0039690_FBpp0303328	26899
FBgn0030010_FBpp0071108	21408
FBgn0032934_FBpp0081017	18971
FBgn0035756_FBpp0305560	6240
FBgn0263848_FBpp0302860	22922
FBgn0005659_FBpp0084594	27382
FBgn0037731_FBpp0081562	27238
FBgn0000244_FBpp0081597	469
FBgn0032524_FBpp0080097	6637
FBgn0036996_FBpp0077854	2204.1
FBgn0033915_FBpp0086698	19176
FBgn0038893_FBpp0083515	27288
FBgn0038886_FBpp0306935	9718
FBgn0053490_FBpp0089011	13618
FBgn0042178_FBpp0075072	14361
FBgn0031343_FBpp0077604	9811
FBgn0052055_FBpp0076033	25346
FBgn0011236_FBpp0072038	1189
FBgn0001216_FBpp0075504	761.2.1.1.2
FBgn0033341_FBpp0087765	17544
FBgn0038002_FBpp0082090	17028
FBgn0261285_FBpp0303077	15353
FBgn0264305_FBpp0303909	8651
FBgn0034527_FBpp0085539	21759
FBgn0041236_FBpp0071886	8033
FBgn0050460_FBpp0086161	4119
FBgn0040726_FBpp0099910	22523
FBgn0052857_FBpp0070051	26356
FBgn0050021_FBpp0087292	14815
FBgn0051151_FBpp0302573	6487
FBgn0036519_FBpp0075344	23547
FBgn0036118_FBpp0075932	20719
FBgn0015766_FBpp0076839	5154
FBgn0050466_FBpp0309023	23015
FBgn0013732_FBpp0307644	5682
FBgn0250848_FBpp0075508	12643
FBgn0039324_FBpp0084227	11848
FBgn0085345_FBpp0111426	61
FBgn0039398_FBpp0084322	1760
FBgn0266458_FBpp0310849	8330
FBgn0030891_FBpp0308623	13579
FBgn0040718_FBpp0077532	3926
FBgn0013799_FBpp0074651	24550
FBgn0029795_FBpp0070772	24224.2
FBgn0261290_FBpp0091039	18502
FBgn0265266_FBpp0297242	16021
FBgn0015765_FBpp0289799	3080.2.2
FBgn0034627_FBpp0071534	6041
FBgn0034713_FBpp0071687	14819
FBgn0083961_FBpp0110136	7552
FBgn0020513_FBpp0073538	15900
FBgn0037565_FBpp0297718	12885
FBgn0039118_FBpp0083852	23086
FBgn0027509_FBpp0077502	14954
FBgn0086778_FBpp0291049	19831.2
FBgn0031452_FBpp0077396	4179
FBgn0042098_FBpp0071658	23943
FBgn0028645_FBpp0289842	5137.1
FBgn0261952_FBpp0289806	26045
FBgn0030066_FBpp0071211	20318
FBgn0085693_FBpp0112865	1566
FBgn0039560_FBpp0307021	14789
FBgn0015621_FBpp0077676	2263
FBgn0262100_FBpp0292988	21488
FBgn0035663_FBpp0076747	22049
FBgn0040372_FBpp0305207	22780
FBgn0036009_FBpp0076104	8157.2
FBgn0051876_FBpp0079492	5522
FBgn0032815_FBpp0080857	19300
FBgn0033770_FBpp0086962	16294
FBgn0039343_FBpp0084254	12447
FBgn0032087_FBpp0079366	12105
FBgn0034721_FBpp0071730	1301
FBgn0053626_FBpp0288447	5961
FBgn0030159_FBpp0071325	14780
FBgn0261060_FBpp0291152	11533
FBgn0052751_FBpp0309511	10860
FBgn0019830_FBpp0077414	20395.1.1.1
FBgn0035568_FBpp0073222	23585
FBgn0033868_FBpp0086775	19944
FBgn0028484_FBpp0073067	14505
FBgn0033395_FBpp0087672	26436
FBgn0031451_FBpp0077420	25598
FBgn0053860_FBpp0091106	20001.1.2
FBgn0040634_FBpp0077904	9918
FBgn0035907_FBpp0076376	23602
FBgn0013684_FBpp0100182	26768
FBgn0261984_FBpp0112160	22415
FBgn0033708_FBpp0087080	1644.1
FBgn0042086_FBpp0085509	8498
FBgn0038952_FBpp0083612	10890
FBgn0000370_FBpp0304323	3492
FBgn0019940_FBpp0082600	14994
FBgn0033690_FBpp0087120	10139
FBgn0026418_FBpp0292999	5630
FBgn0036571_FBpp0291126	491
FBgn0266364_FBpp0310542	2792.1.1
FBgn0264598_FBpp0305709	10090.1
FBgn0027070_FBpp0080657	3737
FBgn0001316_FBpp0305983	5748
FBgn0027330_FBpp0071217	27278
FBgn0003495_FBpp0084507	12487
FBgn0003655_FBpp0070884	22749
FBgn0039833_FBpp0085132	5840
FBgn0034300_FBpp0303029	320
FBgn0028342_FBpp0305117	23831
FBgn0052133_FBpp0075526	20389
FBgn0038630_FBpp0083054	10647
FBgn0039580_FBpp0084666	25958
FBgn0028887_FBpp0080237	2587
FBgn0052248_FBpp0292129	7376
FBgn0003353_FBpp0072078	9.2
FBgn0032631_FBpp0291600	25143
FBgn0051248_FBpp0306730	16930
FBgn0002673_FBpp0303863	934
FBgn0029737_FBpp0070691	23488
FBgn0262479_FBpp0293357	21344
FBgn0265137_FBpp0085523	9685
FBgn0039510_FBpp0271700	26648.1.1.1.1.1.1.1
FBgn0005427_FBpp0300529	4001
FBgn0038662_FBpp0083137	17737
FBgn0036589_FBpp0075220	2496
FBgn0053247_FBpp0289373	6269
FBgn0051913_FBpp0078769	5555
FBgn0023496_FBpp0309221	2204.2
FBgn0013681_FBpp0100181	11348
FBgn0045487_FBpp0080515	8033
FBgn0032915_FBpp0113107	11113
FBgn0022344_FBpp0082803	17147
FBgn0038680_FBpp0083144	9672.2
FBgn0000355_FBpp0076299	15412
FBgn0085245_FBpp0308263	4654
FBgn0263035_FBpp0297769	25457
FBgn0000057_FBpp0309249	12161
FBgn0264562_FBpp0305535	13740
FBgn0030316_FBpp0073362	1007
FBgn0052483_FBpp0072504	5049
FBgn0264695_FBpp0298830	12693.1
FBgn0052581_FBpp0073969	6132
FBgn0266488_FBpp0310884	2448
FBgn0011336_FBpp0084161	13005
FBgn0000588_FBpp0079907	18658
FBgn0259683_FBpp0307914	4927
FBgn0037894_FBpp0081862	25822
FBgn0051115_FBpp0288492	19898
FBgn0051128_FBpp0084022	19475
FBgn0031871_FBpp0078994	1933
FBgn0036640_FBpp0088484	26175
FBgn0050411_FBpp0071925	13251
FBgn0028497_FBpp0071938	21039
FBgn0030817_FBpp0306536	12589
FBgn0035497_FBpp0073127	5993
FBgn0250868_FBpp0288746	8676
FBgn0001986_FBpp0080319	21096
FBgn0043536_FBpp0289082	17158
FBgn0267698_FBpp0306610	9401.2
FBgn0039052_FBpp0083745	23775
FBgn0032304_FBpp0079729	20328
FBgn0034728_FBpp0290882	17298
FBgn0085253_FBpp0111332	8867
FBgn0027844_FBpp0080116	24756.1.2.1
FBgn0003074_FBpp0087762	9423
FBgn0053109_FBpp0082361	786
FBgn0034759_FBpp0301553	5975
FBgn0010422_FBpp0304751	23331
FBgn0015521_FBpp0077308	19840
FBgn0033778_FBpp0086928	10292
FBgn0037809_FBpp0081708	22643
FBgn0083950_FBpp0110105	17433.2
FBgn0003996_FBpp0070468	20795
FBgn0027093_FBpp0073965	258
FBgn0028862_FBpp0080267	21589.1
FBgn0031373_FBpp0312486	10766
FBgn0263271_FBpp0300746	11345
FBgn0067903_FBpp0100134	7415
FBgn0035388_FBpp0311278	17633
FBgn0085432_FBpp0111569	4270
FBgn0035936_FBpp0076235	27151
FBgn0031657_FBpp0078633	8203
FBgn0053814_FBpp0091060	1587.1.1.1
FBgn0036155_FBpp0075911	19919
FBgn0029885_FBpp0070952	20251
FBgn0029968_FBpp0071044	26896.2
FBgn0262560_FBpp0086314	24102
FBgn0034035_FBpp0086475	19555
FBgn0013764_FBpp0072101	27231
FBgn0004181_FBpp0072356	1261
FBgn0038916_FBpp0083549	381
FBgn0032059_FBpp0079352	345
FBgn0034911_FBpp0290385	19364.2
FBgn0031436_FBpp0307167	13013
FBgn0023479_FBpp0311236	22247
FBgn0260635_FBpp0305793	3310
FBgn0266757_FBpp0271797	4923.1
FBgn0029587_FBpp0300639	22640
FBgn0037755_FBpp0112126	14923
FBgn0036643_FBpp0075124	8511
FBgn0031422_FBpp0077448	12943
FBgn0037602_FBpp0081367	16374.2
FBgn0013276_FBpp0081956	761.2.2
FBgn0053958_FBpp0099611	12891
FBgn0264361_FBpp0304534	20994
FBgn0032256_FBpp0307932	15975
FBgn0031470_FBpp0077373	10642
FBgn0052266_FBpp0073006	2496
FBgn0262036_FBpp0292931	22426
FBgn0040069_FBpp0070844	10860
FBgn0041164_FBpp0100102	27433
FBgn0259247_FBpp0307245	14466
FBgn0042198_FBpp0085601	10834
FBgn0036725_FBpp0305842	2081
FBgn0030594_FBpp0310035	7252.1
FBgn0260007_FBpp0289734	7175
FBgn0050377_FBpp0308266	4722
FBgn0031292_FBpp0311698	9940
FBgn0013987_FBpp0300801	18412
FBgn0037183_FBpp0078190	18146
FBgn0260776_FBpp0290548	9962
FBgn0039792_FBpp0085034	24742
FBgn0039623_FBpp0084711	9868
FBgn0030940_FBpp0074389	6889
FBgn0030492_FBpp0073613	980
FBgn0031197_FBpp0077053	15988
FBgn0053635_FBpp0090982	14145
FBgn0033350_FBpp0087734	4970
FBgn0039402_FBpp0084340	23991
FBgn0044046_FBpp0070552	23136
FBgn0034965_FBpp0288405	16531
FBgn0035730_FBpp0076641	10491
FBgn0035036_FBpp0072245	4335
FBgn0001168_FBpp0099504	3919
FBgn0265083_FBpp0310820	20768
FBgn0039154_FBpp0083933	4849
FBgn0038349_FBpp0082605	27441
FBgn0003257_FBpp0083440	11417
FBgn0038946_FBpp0302621	19125
FBgn0250832_FBpp0088975	4718
FBgn0036309_FBpp0075680	27242
FBgn0037879_FBpp0311931	15460.1
FBgn0086357_FBpp0078896	13750
FBgn0250849_FBpp0076642	4926
FBgn0051739_FBpp0080475	7260
FBgn0050403_FBpp0113015	1160
FBgn0031774_FBpp0309824	11226
FBgn0034205_FBpp0086142	26824
FBgn0053514_FBpp0073145	21823
FBgn0035607_FBpp0305790	5251
FBgn0036991_FBpp0077852	25472
FBgn0263249_FBpp0300405	11370
FBgn0266449_FBpp0309826	9861
FBgn0036995_FBpp0077881	9594
FBgn0028379_FBpp0076406	9070
FBgn0050338_FBpp0087616	2940
FBgn0051014_FBpp0085048	7379.1
FBgn0262007_FBpp0292840	4299.1.1
FBgn0039797_FBpp0085061	22855
FBgn0038739_FBpp0306422	20493
FBgn0031693_FBpp0078701	26436
FBgn0002525_FBpp0312110	2390
FBgn0265630_FBpp0309425	2587
FBgn0036124_FBpp0075937	24584
FBgn0035975_FBpp0076164	11677.2
FBgn0036236_FBpp0075780	9903
FBgn0034938_FBpp0072117	709
FBgn0016081_FBpp0297352	15742
FBgn0020907_FBpp0082806	15465
FBgn0030545_FBpp0073716	12204
FBgn0015925_FBpp0088810	357
FBgn0032293_FBpp0079701	8800
FBgn0015575_FBpp0081074	2905.2
FBgn0032452_FBpp0079987	7295
FBgn0032096_FBpp0079371	8157.1
FBgn0037431_FBpp0081206	11000
FBgn0040296_FBpp0301079	6906
FBgn0028847_FBpp0080156	25962
FBgn0034718_FBpp0071760	3110
FBgn0034869_FBpp0071965	11320
FBgn0033893_FBpp0086725	10318
FBgn0036406_FBpp0075522	20671
FBgn0020765_FBpp0076729	16793.1
FBgn0015221_FBpp0304478	10305
FBgn0033076_FBpp0297100	12906
FBgn0032804_FBpp0080793	24957
FBgn0025111_FBpp0073282	15130.2
FBgn0031996_FBpp0079207	19446
FBgn0034329_FBpp0085843	22011
FBgn0261561_FBpp0307487	27457
FBgn0033209_FBpp0087998	24215
FBgn0052110_FBpp0075663	19373
FBgn0053281_FBpp0077272	4299.1.1
FBgn0037184_FBpp0078189	5556
FBgn0261588_FBpp0308446	11189
FBgn0001123_FBpp0290625	11116
FBgn0029503_FBpp0083939	9483
FBgn0027588_FBpp0070058	12072
FBgn0037964_FBpp0081952	21011
FBgn0263236_FBpp0084769	19689.1.1
FBgn0032221_FBpp0111946	17758
FBgn0052532_FBpp0309366	692
FBgn0038072_FBpp0112137	17560
FBgn0033124_FBpp0085511	8498
FBgn0038148_FBpp0082224	3755
FBgn0035813_FBpp0297621	19377
FBgn0011596_FBpp0083791	12558
FBgn0051131_FBpp0289667	16077
FBgn0038224_FBpp0292847	9622
FBgn0029580_FBpp0070244	20622.1
FBgn0036489_FBpp0075398	23193
FBgn0025595_FBpp0089220	24942
FBgn0260451_FBpp0110283	17257
FBgn0039802_FBpp0085065	13050
FBgn0261506_FBpp0307375	25633
FBgn0033656_FBpp0087169	16998
FBgn0032846_FBpp0304005	19253
FBgn0260868_FBpp0290781	27454
FBgn0032840_FBpp0080859	20470
FBgn0051901_FBpp0079227	12826
FBgn0051874_FBpp0079554	16671
FBgn0051200_FBpp0083337	15506
FBgn0039160_FBpp0083961	21783
FBgn0085220_FBpp0309077	14616
FBgn0038682_FBpp0083165	14008
FBgn0000927_FBpp0070463	13777
FBgn0261574_FBpp0304968	26831.1.1
FBgn0038741_FBpp0083267	22387
FBgn0037317_FBpp0099852	14955
FBgn0022987_FBpp0303881	13779
FBgn0086362_FBpp0303112	25169
FBgn0032078_FBpp0079390	25275
FBgn0028475_FBpp0083858	17076
FBgn0043470_FBpp0087222	16255
FBgn0037876_FBpp0112133	7985
FBgn0005322_FBpp0310207	3266
FBgn0005632_FBpp0085202	13732
FBgn0085440_FBpp0309261	10341.2
FBgn0032636_FBpp0080533	5186
FBgn0038089_FBpp0082151	429
FBgn0030304_FBpp0073352	7027.1
FBgn0002783_FBpp0082692	2998
FBgn0002431_FBpp0308671	12281.1
FBgn0038355_FBpp0082621	12825
FBgn0032908_FBpp0297173	20661.1
FBgn0082831_FBpp0293286	7620
FBgn0023097_FBpp0303076	13793
FBgn0013953_FBpp0293017	25645.2
FBgn0003396_FBpp0303470	20207.1
FBgn0024244_FBpp0311097	23616
FBgn0034495_FBpp0085589	23834
FBgn0039518_FBpp0084552	21550
FBgn0053233_FBpp0271698	6577
FBgn0038774_FBpp0083275	1951
FBgn0039504_FBpp0084527	2916
FBgn0038183_FBpp0082298	22263
FBgn0036294_FBpp0304890	21845
FBgn0028422_FBpp0083346	11626.1.1.1
FBgn0039804_FBpp0307397	8168
FBgn0266647_FBpp0311903	6346
FBgn0031090_FBpp0292350	11306
FBgn0004861_FBpp0070416	14348
FBgn0035336_FBpp0072768	12918.1
FBgn0035816_FBpp0312405	5312
FBgn0261361_FBpp0291489	12566
FBgn0035632_FBpp0076826	7775
FBgn0031117_FBpp0289447	10912.1
FBgn0039107_FBpp0083837	3082
FBgn0260870_FBpp0290779	10262
FBgn0004862_FBpp0083486	10585
FBgn0036411_FBpp0303211	4678
FBgn0259994_FBpp0289692	11241
FBgn0267365_FBpp0079651	5562
FBgn0038405_FBpp0310843	19895
FBgn0029999_FBpp0308752	6026
FBgn0039565_FBpp0084633	3025
FBgn0265784_FBpp0302023	17375
FBgn0259707_FBpp0289237	1169
FBgn0002772_FBpp0084565	2212
FBgn0050259_FBpp0071832	18388.1
FBgn0004656_FBpp0305499	17809.1.2
FBgn0061362_FBpp0085563	14727
FBgn0053309_FBpp0080236	14908
FBgn0030551_FBpp0073743	3251
FBgn0013343_FBpp0292260	23740.2
FBgn0035761_FBpp0076595	14448
FBgn0266099_FBpp0310151	11337
FBgn0031895_FBpp0292074	19395
FBgn0028858_FBpp0310297	3178.1
FBgn0036493_FBpp0110181	10467
FBgn0034563_FBpp0289790	5272
FBgn0011769_FBpp0076226	26572
FBgn0004629_FBpp0082439	4255
FBgn0030804_FBpp0074117	22052
FBgn0039204_FBpp0084028	19205
FBgn0261286_FBpp0082727	13526
FBgn0085208_FBpp0310946	26259
FBgn0037039_FBpp0305481	25956
FBgn0033133_FBpp0088102	21514
FBgn0034654_FBpp0071587	4176
FBgn0010411_FBpp0085586	20060
FBgn0037807_FBpp0307980	10152
FBgn0250840_FBpp0087440	19756
FBgn0030296_FBpp0290073	3319
FBgn0030417_FBpp0073518	20217
FBgn0029596_FBpp0070324	12326
FBgn0030477_FBpp0073599	23706
FBgn0003984_FBpp0076790	18694
FBgn0032034_FBpp0079268	20850
FBgn0010333_FBpp0304252	12118
FBgn0014859_FBpp0080927	595
FBgn0036928_FBpp0304965	10891
FBgn0003656_FBpp0071077	6606
FBgn0031626_FBpp0077110	18635
FBgn0036479_FBpp0075390	9245
FBgn0069969_FBpp0291544	25839
FBgn0032371_FBpp0079837	18319
FBgn0037008_FBpp0077873	21177
FBgn0033421_FBpp0301736	18803.1
FBgn0028999_FBpp0072489	852
FBgn0083978_FBpp0110281	26027
FBgn0039626_FBpp0084787	24562
FBgn0035691_FBpp0076707	24507
FBgn0033943_FBpp0308999	3912
FBgn0011725_FBpp0083954	8448
FBgn0052208_FBpp0271914	9710
FBgn0034399_FBpp0085800	22512
FBgn0039568_FBpp0084629	24326
FBgn0023489_FBpp0077730	27485
FBgn0039867_FBpp0085224	9432
FBgn0037837_FBpp0307691	14538
FBgn0032072_FBpp0079340	12547
FBgn0037608_FBpp0081384	25192
FBgn0030829_FBpp0074168	15013
FBgn0085478_FBpp0303736	13833
FBgn0260456_FBpp0072239	21616
FBgn0085209_FBpp0289325	20675
FBgn0036349_FBpp0075576	21237
FBgn0037737_FBpp0112122	19698
FBgn0260990_FBpp0084843	12221
FBgn0260941_FBpp0290277	14071
FBgn0001108_FBpp0075498	12936
FBgn0041337_FBpp0077428	26436
FBgn0030451_FBpp0310939	669
FBgn0263601_FBpp0075275	17671
FBgn0036135_FBpp0075941	4572
FBgn0030897_FBpp0099625	23664.2.1
FBgn0029133_FBpp0302766	17239
FBgn0038613_FBpp0083073	16916.1
FBgn0040080_FBpp0084559	699
FBgn0001174_FBpp0113046	26345
