#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0126826          -          BGBP                 -           2.1e-124  415.3   0.0  2.6e-124  415.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(18749699..18749896,18749974..18751136,18751283..18751400); ID=FBpp0126826; name=Dana\GF23634-PA; parent=FBgn0100628,FBtr0128334; dbxref=FlyBase:FBpp0126826,FlyBase_Annotation_IDs:GF23634-PA,GB_protein:EDV41021,REFSEQ:XP_001958215,FlyMine:FBpp0126826; MD5=a3c029eee1d316ddb0f028be43ed3a92; length=492; release=r1.3; species=Dana; 
FBpp0114326          -          CLIPA                -            2.2e-93  312.2   0.5   2.6e-93  312.0   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(17283541..17284350,17284408..17284635); ID=FBpp0114326; name=Dana\GF11134-PA; parent=FBgn0088174,FBtr0115834; dbxref=FlyBase:FBpp0114326,FlyBase_Annotation_IDs:GF11134-PA,GB_protein:EDV37988,REFSEQ:XP_001961166,FlyMine:FBpp0114326; MD5=f8abd3d24593cdff14ced7aa2aa5c008; length=345; release=r1.3; species=Dana; 
FBpp0127075          -          CLIPA                -              8e-93  310.4  15.0   7.1e-92  307.3  15.0   2.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(14580938..14581260,14581324..14581601,14581668..14582583,14582650..14583552,14583614..14583769,14583841..14584143,14584212..14584361,14586935..14586944); ID=FBpp0127075; name=Dana\GF23883-PA; parent=FBgn0100877,FBtr0128583; dbxref=FlyBase:FBpp0127075,FlyBase_Annotation_IDs:GF23883-PA,GB_protein:EDV40533,REFSEQ:XP_001957727,FlyMine:FBpp0127075; MD5=b54dd7ec7884976aaa028ea00af67f83; length=1012; release=r1.3; species=Dana; 
FBpp0116283          -          CLIPA                -            1.3e-91  306.4   5.4   1.7e-91  306.1   5.4   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(8472655..8472846,8472912..8473763); ID=FBpp0116283; name=Dana\GF13091-PA; parent=FBgn0090124,FBtr0117791; dbxref=FlyBase:FBpp0116283,FlyBase_Annotation_IDs:GF13091-PA,GB_protein:EDV36704,REFSEQ:XP_001959882,FlyMine:FBpp0116283; MD5=87b5170c0b3810cc8e0cc7c892585c52; length=347; release=r1.3; species=Dana; 
FBpp0116922          -          CLIPA                -            4.6e-89  298.1   0.2   5.7e-89  297.7   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(17307697..17307906,17310739..17311680); ID=FBpp0116922; name=Dana\GF13730-PA; parent=FBgn0090757,FBtr0118430; dbxref=FlyBase:FBpp0116922,FlyBase_Annotation_IDs:GF13730-PA,GB_protein:EDV37991,REFSEQ:XP_001961169,FlyMine:FBpp0116922; MD5=f6b10753cf39944d718dbfc234346718; length=383; release=r1.3; species=Dana; 
FBpp0115912          -          CLIPA                -            1.8e-75  253.4   0.0   2.1e-75  253.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(3594986..3595175,3596851..3597030,3599150..3599668,3599883..3600060,3600120..3600498,3600560..3600778); ID=FBpp0115912; name=Dana\GF12720-PA; parent=FBgn0089754,FBtr0117420; dbxref=FlyBase:FBpp0115912,FlyBase_Annotation_IDs:GF12720-PA,GB_protein:EDV35937,REFSEQ:XP_001959115,FlyMine:FBpp0115912; MD5=8c7daa0ae1472ce995667d60e41bc30b; length=554; release=r1.3; species=Dana; 
FBpp0123021          -          CLIPA                -            6.4e-73  245.0   0.0   7.7e-73  244.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:8543124..8543774; ID=FBpp0123021; name=Dana\GF19829-PA; parent=FBgn0096836,FBtr0124529; dbxref=FlyBase:FBpp0123021,FlyBase_Annotation_IDs:GF19829-PA,GB_protein:EDV36715,REFSEQ:XP_001959893,FlyMine:FBpp0123021; MD5=b545a23c1c961c30d2d24b69d3bdc238; length=216; release=r1.3; species=Dana; 
FBpp0115915          -          CLIPA                -            1.8e-69  233.7   0.0   2.1e-69  233.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(3613562..3613725,3613782..3613934,3613997..3614268,3614328..3614491); ID=FBpp0115915; name=Dana\GF12723-PA; parent=FBgn0089757,FBtr0117423; dbxref=FlyBase:FBpp0115915,FlyBase_Annotation_IDs:GF12723-PA,GB_protein:EDV35939,REFSEQ:XP_001959117,FlyMine:FBpp0115915; MD5=be1931566bed75a89e10ae73080f257c; length=250; release=r1.3; species=Dana; 
FBpp0119348          -          CLIPA                -            5.4e-69  232.1   0.0   6.3e-69  231.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(21602614..21602748,21602813..21602962,21603162..21603459,21603565..21603754,21604062..21604506,21605306..21605637,21605709..21605896,21605960..21606595,21607342..21607398,21624513..21624646,21636699..21636815,21637285..21637369,21639325..21639452); ID=FBpp0119348; name=Dana\GF16156-PA; parent=FBgn0093178,FBtr0120856; dbxref=FlyBase:FBpp0119348,FlyBase_Annotation_IDs:GF16156-PA,GB_protein:EDV44176,REFSEQ:XP_001955615,FlyMine:FBpp0119348; MD5=011936aa7513b8c9580433019ba7a4f8; length=964; release=r1.3; species=Dana; 
FBpp0124863          -          CLIPA                -            9.3e-69  231.4   0.0   1.2e-68  231.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12943:complement(2012006..2012857,2012912..2013115); ID=FBpp0124863; name=Dana\GF21671-PA; parent=FBgn0098671,FBtr0126371; dbxref=FlyBase:FBpp0124863,FlyBase_Annotation_IDs:GF21671-PA,GB_protein:EDV33150,REFSEQ:XP_001965016,FlyMine:FBpp0124863; MD5=d286f56fd3e21637fe1b0a04ab61b899; length=351; release=r1.3; species=Dana; 
FBpp0121968          -          CLIPA                -            3.6e-68  229.4   0.0   6.8e-38  130.0   0.0   2.1   2   0   0   2   2   2   2 type=protein; loc=scaffold_13340:join(20416817..20417023,20417089..20417260,20417326..20418192,20419954..20421146); ID=FBpp0121968; name=Dana\GF18776-PA; parent=FBgn0095793,FBtr0123476; dbxref=FlyBase:FBpp0121968,FlyBase_Annotation_IDs:GF18776-PA,GB_protein:EDV44016,REFSEQ:XP_001955455,FlyMine:FBpp0121968; MD5=c0747f7c4e55931e8dd7d70f4f3978f3; length=812; release=r1.3; species=Dana; 
FBpp0126903          -          CLIPA                -            5.3e-67  225.6   0.3   6.8e-67  225.3   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(17288867..17289139,17289198..17289777,17289841..17289977,17290039..17290193,17290256..17290343); ID=FBpp0126903; name=Dana\GF23711-PA; parent=FBgn0100705,FBtr0128411; dbxref=FlyBase:FBpp0126903,FlyBase_Annotation_IDs:GF23711-PA,GB_protein:EDV40858,REFSEQ:XP_001958052,FlyMine:FBpp0126903; MD5=3e7c665acbb68d4e3f9e9418969aca8d; length=410; release=r1.3; species=Dana; 
FBpp0113749          -          CLIPA                -            2.2e-66  223.5   0.0   3.4e-66  223.0   0.0   1.2   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:join(14565174..14565282,14566441..14566610,14566689..14566980,14567111..14567504,14567564..14567639,14567697..14568224); ID=FBpp0113749; name=Dana\GF10557-PA; parent=FBgn0087598,FBtr0115257; dbxref=FlyBase:FBpp0113749,FlyBase_Annotation_IDs:GF10557-PA,GB_protein:EDV40530,REFSEQ:XP_001957724,FlyMine:FBpp0113749; MD5=9e9f307803e3552e3ec6247a128abe08; length=522; release=r1.3; species=Dana; 
FBpp0126296          -          CLIPA                -            1.9e-63  213.9   0.0     2e-63  213.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12943:join(1899667..1900538,1900593..1900728,1900779..1901075,1901144..1901299); ID=FBpp0126296; name=Dana\GF23104-PA; parent=FBgn0100098,FBtr0127804; dbxref=FlyBase:FBpp0126296,FlyBase_Annotation_IDs:GF23104-PA,GB_protein:EDV33134,REFSEQ:XP_001965000,FlyMine:FBpp0126296; MD5=4a8fc0e415216fcac4677752093c9f5d; length=486; release=r1.3; species=Dana; 
FBpp0119881          -          CLIPA                -              9e-63  211.7   0.1   5.7e-25   87.6   0.0   4.9   2   2   2   4   4   4   3 type=protein; loc=scaffold_13340:complement(13022569..13023288,13023919..13024245,13025953..13026638,13027224..13027946,13040529..13040544); ID=FBpp0119881; name=Dana\GF16689-PA; parent=FBgn0093710,FBtr0121389; dbxref=FlyBase:FBpp0119881,FlyBase_Annotation_IDs:GF16689-PA,GB_protein:EDV43104,REFSEQ:XP_001954543,FlyMine:FBpp0119881; MD5=914c52dc46f08d443eef6960fc8fa2a2; length=823; release=r1.3; species=Dana; 
FBpp0113750          -          CLIPA                -            2.9e-62  210.0   0.0   3.4e-62  209.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(14570159..14570382,14570440..14570515,14570575..14571102); ID=FBpp0113750; name=Dana\GF10558-PA; parent=FBgn0087599,FBtr0115258; dbxref=FlyBase:FBpp0113750,FlyBase_Annotation_IDs:GF10558-PA,GB_protein:EDV40531,REFSEQ:XP_001957725,FlyMine:FBpp0113750; MD5=9c2e60a4cf325dfd4ed6a5c515d4b059; length=275; release=r1.3; species=Dana; 
FBpp0115916          -          CLIPA                -            3.3e-62  209.9   0.0   5.7e-62  209.1   0.0   1.4   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(3624061..3624271,3632685..3633676,3633809..3636617,3637003..3637189,3637255..3637439,3637510..3637625,3637694..3637813,3637879..3638043); ID=FBpp0115916; name=Dana\GF12724-PA; parent=FBgn0089758,FBtr0117424; dbxref=FlyBase:FBpp0115916,FlyBase_Annotation_IDs:GF12724-PA,GB_protein:EDV35940,REFSEQ:XP_001959118,FlyMine:FBpp0115916; MD5=194d96cfe0add2a710605c361deb82fb; length=1594; release=r1.3; species=Dana; 
FBpp0124546          -          CLIPA                -            7.1e-62  208.8   1.5     9e-62  208.4   1.5   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12943:complement(3198905..3199258,3199324..3199715,3199795..3199996); ID=FBpp0124546; name=Dana\GF21354-PA; parent=FBgn0098356,FBtr0126054; dbxref=FlyBase:FBpp0124546,FlyBase_Annotation_IDs:GF21354-PA,GB_protein:EDV33339,REFSEQ:XP_001965205,FlyMine:FBpp0124546; MD5=9ee75f3efffad2bb7ffd846b9174e1cf; length=315; release=r1.3; species=Dana; 
FBpp0116465          -          CLIPA                -            3.2e-61  206.6   0.4     4e-61  206.3   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(11130215..11130937,11130993..11131322); ID=FBpp0116465; name=Dana\GF13273-PA; parent=FBgn0090305,FBtr0117973; dbxref=FlyBase:FBpp0116465,FlyBase_Annotation_IDs:GF13273-PA,GB_protein:EDV37083,REFSEQ:XP_001960261,FlyMine:FBpp0116465; MD5=0e32dd779f170f837909bcccbc414321; length=350; release=r1.3; species=Dana; 
FBpp0115910          -          CLIPA                -              2e-60  204.0   0.0   3.1e-60  203.4   0.0   1.3   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(3583421..3584802,3584866..3584996,3585290..3585520,3586315..3586426,3586489..3586742,3586807..3587100,3587164..3587279); ID=FBpp0115910; name=Dana\GF12718-PA; parent=FBgn0089752,FBtr0117418; dbxref=FlyBase:FBpp0115910,FlyBase_Annotation_IDs:GF12718-PA,GB_protein:EDV35934,REFSEQ:XP_001959112,FlyMine:FBpp0115910; MD5=36de885522efe09d0752f7a7a521a4cf; length=839; release=r1.3; species=Dana; 
FBpp0120804          -          CLIPA                -            3.6e-60  203.2   0.0   4.4e-60  202.9   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(2077172..2077177,2077256..2078712,2078776..2078886,2078946..2079258,2079318..2079417,2079482..2079540); ID=FBpp0120804; name=Dana\GF17612-PA; parent=FBgn0094630,FBtr0122312; dbxref=FlyBase:FBpp0120804,FlyBase_Annotation_IDs:GF17612-PA,GB_protein:EDV41716,REFSEQ:XP_001953133,FlyMine:FBpp0120804; MD5=02203ae70c6ae2308019392e9fa2d3c4; length=681; release=r1.3; species=Dana; 
FBpp0114808          -          CLIPA                -            7.3e-60  202.2   0.0   7.8e-60  202.1   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(11071035..11071352,11071421..11072242); ID=FBpp0114808; name=Dana\GF11616-PA; parent=FBgn0088656,FBtr0116316; dbxref=FlyBase:FBpp0114808,FlyBase_Annotation_IDs:GF11616-PA,GB_protein:EDV37074,REFSEQ:XP_001960252,FlyMine:FBpp0114808; MD5=ee000241cb870f7bb2b8966bd40c638d; length=379; release=r1.3; species=Dana; 
FBpp0123116          -          CLIPA                -            8.3e-60  202.0   0.0   9.4e-60  201.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(6750139..6750454,6750570..6750925); ID=FBpp0123116; name=Dana\GF19924-PA; parent=FBgn0096931,FBtr0124624; dbxref=FlyBase:FBpp0123116,FlyBase_Annotation_IDs:GF19924-PA,GB_protein:EDV42247,REFSEQ:XP_001953686,FlyMine:FBpp0123116; MD5=ce8ecf6c640688423fde94b9d41d9ba9; length=223; release=r1.3; species=Dana; 
FBpp0114809          -          CLIPA                -            1.2e-58  198.2   1.1   1.7e-58  197.6   1.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(11069484..11070548); ID=FBpp0114809; name=Dana\GF11617-PA; parent=FBgn0088657,FBtr0116317; dbxref=FlyBase:FBpp0114809,FlyBase_Annotation_IDs:GF11617-PA,GB_protein:EDV37073,REFSEQ:XP_001960251,FlyMine:FBpp0114809; MD5=d8290c3b9792b520c44789d5162b7a08; length=354; release=r1.3; species=Dana; 
FBpp0113748          -          CLIPA                -            1.3e-58  198.0   0.0   1.5e-58  197.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(14560649..14561237,14561464..14561621,14561978..14562569,14562632..14562843,14562900..14562971,14563213..14563353); ID=FBpp0113748; name=Dana\GF10556-PA; parent=FBgn0087597,FBtr0115256; dbxref=FlyBase:FBpp0113748,FlyBase_Annotation_IDs:GF10556-PA,GB_protein:EDV40529,REFSEQ:XP_001957723,FlyMine:FBpp0113748; MD5=0c3c21d3e4ab81c1a5d2cfe9ad5baf6a; length=587; release=r1.3; species=Dana; 
FBpp0128380          -          CLIPA                -            1.7e-58  197.7   0.0   1.9e-58  197.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(4428318..4428673,4430716..4431487); ID=FBpp0128380; name=Dana\GF25188-PA; parent=FBgn0102180,FBtr0129888; dbxref=FlyBase:FBpp0128380,FlyBase_Annotation_IDs:GF25188-PA,GB_protein:EDV39209,REFSEQ:XP_001956403,FlyMine:FBpp0128380; MD5=3f3f2305959f3f312478d66f58d44f74; length=375; release=r1.3; species=Dana; 
FBpp0119381          -          CLIPA                -            5.6e-58  196.0   0.9   7.7e-58  195.5   0.9   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(21107450..21107844,21108081..21108379,21108448..21108544,21108666..21109116); ID=FBpp0119381; name=Dana\GF16189-PA; parent=FBgn0093211,FBtr0120889; dbxref=FlyBase:FBpp0119381,FlyBase_Annotation_IDs:GF16189-PA,GB_protein:EDV44118,REFSEQ:XP_001955557,FlyMine:FBpp0119381; MD5=4669105c3a552ebd0e2b6e5dee7471ee; length=413; release=r1.3; species=Dana; 
FBpp0127209          -          CLIPA                -            6.3e-58  195.8   2.7   1.2e-57  194.9   2.8   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(12519647..12519886,12519943..12520159,12520218..12520332,12520397..12520872,12520936..12521679,12522078..12522385,12524356..12524418); ID=FBpp0127209; name=Dana\GF24017-PA; parent=FBgn0101011,FBtr0128717; dbxref=FlyBase:FBpp0127209,FlyBase_Annotation_IDs:GF24017-PA,GB_protein:EDV40277,REFSEQ:XP_001957471,FlyMine:FBpp0127209; MD5=aae4c55d03a73ad259592791ec0bbf47; length=720; release=r1.3; species=Dana; 
FBpp0115911          -          CLIPA                -            7.5e-58  195.5   0.1   8.8e-58  195.3   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(3589990..3590044,3590108..3590397,3590518..3591037,3591160..3591267,3593396..3593494,3593561..3593628); ID=FBpp0115911; name=Dana\GF12719-PA; parent=FBgn0089753,FBtr0117419; dbxref=FlyBase:FBpp0115911,FlyBase_Annotation_IDs:GF12719-PA,GB_protein:EDV35936,REFSEQ:XP_001959114,FlyMine:FBpp0115911; MD5=74ea8bf63f2620c4cd5ce95f2cbc99ba; length=379; release=r1.3; species=Dana; 
FBpp0120874          -          CLIPA                -            4.8e-57  192.9   0.2   5.8e-57  192.6   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(3326142..3326235,3326697..3327086,3327163..3327271,3327339..3327625,3327683..3327987); ID=FBpp0120874; name=Dana\GF17682-PA; parent=FBgn0094700,FBtr0122382; dbxref=FlyBase:FBpp0120874,FlyBase_Annotation_IDs:GF17682-PA,GB_protein:EDV41857,REFSEQ:XP_001953274,FlyMine:FBpp0120874; MD5=60322287cf03c64fbbc65ea905e81824; length=394; release=r1.3; species=Dana; 
FBpp0116376          -          CLIPA                -            1.7e-56  191.1   7.1   2.5e-56  190.6   7.1   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(9963588..9963682,9963763..9964000,9964933..9965562,9965617..9966592,9966653..9966822,9966880..9967209,9967273..9967370,9967434..9967834,9967891..9968217,9968274..9968457,9968514..9968673,9968743..9968869,9968964..9969109,9969178..9969489); ID=FBpp0116376; name=Dana\GF13184-PA; parent=FBgn0090217,FBtr0117884; dbxref=FlyBase:FBpp0116376,FlyBase_Annotation_IDs:GF13184-PA,GB_protein:EDV36895,REFSEQ:XP_001960073,FlyMine:FBpp0116376; MD5=333649fc70c37f2a9ced576383972738; length=1397; release=r1.3; species=Dana; 
FBpp0114046          -          CLIPA                -            7.9e-54  182.3   6.9   8.3e-54  182.3   3.9   2.1   1   1   1   2   2   1   1 type=protein; loc=scaffold_13337:join(19478340..19478387,19478678..19479215,19479267..19479458,19479638..19479883,19479938..19480420,19480488..19481030,19481163..19481408,19481469..19481936,19481995..19483422,19483484..19483951,19484011..19486092,19486149..19486540,19486610..19486765,19486824..19487592,19487653..19487745,19487865..19487948,19488016..19488152); ID=FBpp0114046; name=Dana\GF10854-PA; parent=FBgn0087894,FBtr0115554; dbxref=FlyBase:FBpp0114046,FlyBase_Annotation_IDs:GF10854-PA,GB_protein:EDV41113,REFSEQ:XP_001958307,FlyMine:FBpp0114046; MD5=f40749f6e20a28a751df00c8ebe03552; length=2790; release=r1.3; species=Dana; 
FBpp0128388          -          CLIPA                -            2.1e-53  181.0   0.0   2.4e-53  180.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(4571977..4572373,4572756..4573324,4573397..4573570); ID=FBpp0128388; name=Dana\GF25196-PA; parent=FBgn0102188,FBtr0129896; dbxref=FlyBase:FBpp0128388,FlyBase_Annotation_IDs:GF25196-PA,GB_protein:EDV39222,REFSEQ:XP_001956416,FlyMine:FBpp0128388; MD5=0f5d17dbd26f36cac11ba11f2e89430f; length=379; release=r1.3; species=Dana; 
FBpp0126390          -          CLIPA                -            9.1e-53  178.9   0.2   1.4e-52  178.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_12911:join(2667728..2667788,2667988..2668374,2668445..2669175); ID=FBpp0126390; name=Dana\GF23198-PA; parent=FBgn0100192,FBtr0127898; dbxref=FlyBase:FBpp0126390,FlyBase_Annotation_IDs:GF23198-PA,GB_protein:EDV30269,REFSEQ:XP_001964473,FlyMine:FBpp0126390; MD5=75f9eeb6fd8d3e8ab0f6249e5cac264e; length=392; release=r1.3; species=Dana; 
FBpp0116746          -          CLIPA                -            1.7e-52  178.0   0.2   2.4e-52  177.4   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:join(15118732..15118996,15119075..15119285,15119344..15119959); ID=FBpp0116746; name=Dana\GF13554-PA; parent=FBgn0090583,FBtr0118254; dbxref=FlyBase:FBpp0116746,FlyBase_Annotation_IDs:GF13554-PA,GB_protein:EDV37633,REFSEQ:XP_001960811,FlyMine:FBpp0116746; MD5=f2f563e0c54d2256468ce1c56c8574b9; length=363; release=r1.3; species=Dana; 
FBpp0122886          -          CLIPA                -            9.2e-52  175.6   0.0   3.7e-51  173.6   0.0   1.7   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:494474..495202; ID=FBpp0122886; name=Dana\GF19694-PA; parent=FBgn0096701,FBtr0124394; dbxref=FlyBase:FBpp0122886,FlyBase_Annotation_IDs:GF19694-PA,GB_protein:EDV30668,REFSEQ:XP_001961447,FlyMine:FBpp0122886; MD5=c4f4a9fe8d51fa523de08a86997ab0cb; length=242; release=r1.3; species=Dana; 
