#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0074817          -          BGBP                 -           2.5e-135  452.4   0.0    3e-135  452.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(18676006..18676123,18676296..18677080,18677145..18677522,18677579..18677776); ID=FBpp0074817; name=GNBP1-PA; parent=FBgn0040323,FBtr0075050; dbxref=FlyBase:FBpp0074817,FlyBase_Annotation_IDs:CG6895-PA,GB_protein:AAF49244.1,REFSEQ:NP_524142,GB_protein:AAF49244,FlyMine:FBpp0074817,modMine:FBpp0074817; MD5=3319c8f13047af04e61708ace37337a8; length=492; release=r6.02; species=Dmel; 
FBpp0305572          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0305572; name=CG40160-PH; parent=FBgn0058160,FBtr0333380; dbxref=REFSEQ:NP_001263165,GB_protein:ELP57410,FlyBase:FBpp0305572,FlyBase_Annotation_IDs:CG40160-PH; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
FBpp0087804          -          CLIPA                -           1.7e-103  346.4   0.5  3.8e-102  342.0   0.5   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(8694780..8695235,8693835..8694713)); ID=FBpp0087804; name=CG8586-PA; parent=FBgn0033320,FBtr0088725; dbxref=FlyBase:FBpp0087804,FlyBase_Annotation_IDs:CG8586-PA,GB_protein:AAF59059.1,REFSEQ:NP_610402,GB_protein:AAF59059,FlyMine:FBpp0087804,modMine:FBpp0087804; MD5=8f031ccec61fcf6c28e1477f276d1718; length=444; release=r6.02; species=Dmel; 
FBpp0308442          -          CLIPA                -           1.7e-103  346.4   0.5  3.8e-102  342.0   0.5   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(8694780..8695235,8693835..8694713)); ID=FBpp0308442; name=CG8586-PB; parent=FBgn0033320,FBtr0339344; dbxref=GB_protein:AHN56002,REFSEQ:NP_001286204,FlyBase:FBpp0308442,FlyBase_Annotation_IDs:CG8586-PB; MD5=8f031ccec61fcf6c28e1477f276d1718; length=444; release=r6.02; species=Dmel; 
FBpp0308443          -          CLIPA                -           1.7e-103  346.4   0.5  3.8e-102  342.0   0.5   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(8694780..8695235,8693835..8694713)); ID=FBpp0308443; name=CG8586-PC; parent=FBgn0033320,FBtr0339345; dbxref=GB_protein:AHN56003,REFSEQ:NP_001286205,FlyBase:FBpp0308443,FlyBase_Annotation_IDs:CG8586-PC; MD5=8f031ccec61fcf6c28e1477f276d1718; length=444; release=r6.02; species=Dmel; 
FBpp0073064          -          CLIPA                -            1.1e-98  330.7   0.0   1.4e-98  330.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(4093239..4093316,4093383..4094273); ID=FBpp0073064; name=CG14990-PA; parent=FBgn0035496,FBtr0073208; dbxref=GB_protein:AAF47836.2,GB_protein:AAF47836.1,FlyBase:FBpp0073064,FlyBase_Annotation_IDs:CG14990-PA,REFSEQ:NP_647856,GB_protein:AAF47836,FlyMine:FBpp0073064,modMine:FBpp0073064; MD5=f48b83dec050385013deeb52f52bdd8f; length=322; release=r6.02; species=Dmel; 
FBpp0289839          -          CLIPA                -            3.6e-96  322.4   0.0   5.1e-96  321.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:join(15923410..15923619,15923681..15926203); ID=FBpp0289839; name=CG4793-PD; parent=FBgn0028514,FBtr0300612; dbxref=REFSEQ:NP_723941,GB_protein:AAN10922,FlyBase:FBpp0289839,FlyBase_Annotation_IDs:CG4793-PD,FlyMine:FBpp0289839,modMine:FBpp0289839; MD5=b66b1c2932cd4d09f504cc7e450eaba5; length=910; release=r6.02; species=Dmel; 
FBpp0289585          -          CLIPA                -            5.2e-94  315.3   0.0   6.9e-94  314.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(2847009..2847197,2846084..2846938)); ID=FBpp0289585; name=CG3117-PB; parent=FBgn0031471,FBtr0300356; dbxref=REFSEQ:NP_608722,GB_protein:AAF51194,FlyBase:FBpp0289585,FlyBase_Annotation_IDs:CG3117-PB,FlyMine:FBpp0289585,modMine:FBpp0289585; MD5=6bd7a7518098917d63fd948a5324adde; length=347; release=r6.02; species=Dmel; 
FBpp0073116          -          CLIPA                -            6.5e-93  311.7  16.4   7.2e-92  308.3  16.4   2.5   1   1   0   1   1   1   1 type=protein; loc=3L:complement(join(4165465..4165588,4165243..4165392,4164885..4165181,4164644..4164799,4163670..4164584,4162713..4163613,4162377..4162654,4161995..4162317)); ID=FBpp0073116; name=mas-PB; parent=FBgn0011653,FBtr0073260; dbxref=GB_protein:AAF47850.1,FlyBase:FBpp0073116,FlyBase_Annotation_IDs:CG15002-PB,REFSEQ:NP_523919,GB_protein:AAF47850,FlyMine:FBpp0073116,modMine:FBpp0073116; MD5=0d07167277d051c71261403f3d6e97d1; length=1047; release=r6.02; species=Dmel; 
FBpp0304905          -          CLIPA                -            8.7e-93  311.3  16.9   1.1e-91  307.7  17.0   2.5   1   1   0   1   1   1   1 type=protein; loc=3L:complement(join(4165465..4165588,4165243..4165392,4164885..4165181,4164644..4164796,4163670..4164584,4162713..4163613,4162377..4162654,4161995..4162317)); ID=FBpp0304905; name=mas-PC; parent=FBgn0011653,FBtr0332659; dbxref=REFSEQ:NP_001261408,GB_protein:AGB94103,FlyBase:FBpp0304905,FlyBase_Annotation_IDs:CG15002-PC; MD5=6c6c798b30fcb6df1c03e1eea4cf7a9b; length=1046; release=r6.02; species=Dmel; 
FBpp0080316          -          CLIPA                -            1.4e-92  310.5   0.0     2e-92  310.1   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:join(15670239..15670322,15670423..15671223); ID=FBpp0080316; name=CG18478-PA; parent=FBgn0028517,FBtr0080757; dbxref=FlyBase:FBpp0080316,FlyBase_Annotation_IDs:CG18478-PA,GB_protein:AAG22434.1,REFSEQ:NP_609764,GB_protein:AAG22434,FlyMine:FBpp0080316,modMine:FBpp0080316; MD5=c1f3f6f5477878299bb22e67bc319be6; length=294; release=r6.02; species=Dmel; 
FBpp0080318          -          CLIPA                -            1.4e-92  310.5   0.0     2e-92  310.1   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:join(15705236..15705319,15705420..15706220); ID=FBpp0080318; name=CG31827-PA; parent=FBgn0051827,FBtr0080759; dbxref=FlyBase:FBpp0080318,FlyBase_Annotation_IDs:CG31827-PA,GB_protein:AAN10906.1,REFSEQ:NP_723923,GB_protein:AAN10906; MD5=c1f3f6f5477878299bb22e67bc319be6; length=294; release=r6.02; species=Dmel; 
FBpp0077373          -          CLIPA                -            2.9e-90  303.0   0.1   3.8e-90  302.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(2845526..2845711,2844619..2845464)); ID=FBpp0077373; name=CG18557-PA; parent=FBgn0031470,FBtr0077689; dbxref=FlyBase:FBpp0077373,FlyBase_Annotation_IDs:CG18557-PA,GB_protein:AAF51195.1,REFSEQ:NP_608721,GB_protein:AAF51195,FlyMine:FBpp0077373,modMine:FBpp0077373; MD5=f54e90fdfd5f6739971beb08fd7e7c37; length=343; release=r6.02; species=Dmel; 
FBpp0290409          -          CLIPA                -            1.3e-75  254.9   0.4   1.5e-75  254.7   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(9013019..9013181,9011237..9011416,9008318..9008495,9007871..9008249,9007571..9007786)); ID=FBpp0290409; name=CG8172-PD; parent=FBgn0033362,FBtr0301191; dbxref=REFSEQ:NP_001097236,GB_protein:ABV53734,FlyBase:FBpp0290409,FlyBase_Annotation_IDs:CG8172-PD,FlyMine:FBpp0290409,modMine:FBpp0290409; MD5=85b2bae75aeafab041414b122fc75366; length=371; release=r6.02; species=Dmel; 
FBpp0290124          -          CLIPA                -            1.4e-74  251.5   0.0   1.9e-74  251.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(17457870..17458025,17457756..17457806,17456762..17457694)); ID=FBpp0290124; name=CG18563-PB; parent=FBgn0032639,FBtr0300902; dbxref=FlyBase:FBpp0290124,FlyBase_Annotation_IDs:CG18563-PB,REFSEQ:NP_609841,GB_protein:AAF53615,FlyMine:FBpp0290124,modMine:FBpp0290124; MD5=abc3ef436731e79c1999a55a66052d3f; length=379; release=r6.02; species=Dmel; 
FBpp0290411          -          CLIPA                -            2.1e-74  250.9   0.0   2.3e-74  250.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(9011513..9011723,9011237..9011416,9008703..9009224,9008318..9008495,9007871..9008249,9007571..9007786)); ID=FBpp0290411; name=CG8172-PF; parent=FBgn0033362,FBtr0301193; dbxref=REFSEQ:NP_001097235,GB_protein:ABV53733,FlyBase:FBpp0290411,FlyBase_Annotation_IDs:CG8172-PF,FlyMine:FBpp0290411,modMine:FBpp0290411; MD5=4f5863629350ca038a2c769200f62609; length=561; release=r6.02; species=Dmel; 
FBpp0290410          -          CLIPA                -            2.1e-74  250.9   0.0   2.3e-74  250.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(9013019..9013181,9011237..9011416,9008703..9009224,9008318..9008495,9007871..9008249,9007571..9007786)); ID=FBpp0290410; name=CG8172-PE; parent=FBgn0033362,FBtr0301192; dbxref=REFSEQ:NP_610438,GB_protein:AAF59006,FlyBase:FBpp0290410,FlyBase_Annotation_IDs:CG8172-PE,FlyMine:FBpp0290410,modMine:FBpp0290410; MD5=3784fb24f37be09f7a6e495548c07eff; length=545; release=r6.02; species=Dmel; 
FBpp0082704          -          CLIPA                -            7.2e-69  232.7   0.0   9.1e-69  232.4   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=3R:join(16139847..16139887,16140583..16141182,16141379..16141572,16141665..16141990,16142686..16143115,16143630..16143819,16143895..16144192,16144423..16144572,16144628..16144762); ID=FBpp0082704; name=Sb-PA; parent=FBgn0003319,FBtr0083250; dbxref=FlyBase:FBpp0082704,FlyBase_Annotation_IDs:CG4316-PA,GB_protein:AAF55277.1,REFSEQ:NP_476709,GB_protein:AAF55277,FlyMine:FBpp0082704,modMine:FBpp0082704; MD5=9256aa6d2c526dbc7b633882df6b355b; length=787; release=r6.02; species=Dmel; 
FBpp0310459          -          CLIPA                -            7.2e-69  232.7   0.0   9.1e-69  232.4   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=3R:join(16139847..16139887,16140583..16141182,16141379..16141572,16141665..16141990,16142686..16143115,16143630..16143819,16143895..16144192,16144423..16144572,16144628..16144762); ID=FBpp0310459; name=Sb-PB; parent=FBgn0003319,FBtr0344008; dbxref=GB_protein:AHN57354,REFSEQ:NP_001287355,FlyBase:FBpp0310459,FlyBase_Annotation_IDs:CG4316-PB; MD5=9256aa6d2c526dbc7b633882df6b355b; length=787; release=r6.02; species=Dmel; 
FBpp0080053          -          CLIPA                -            1.6e-68  231.5   0.0     2e-68  231.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(13361268..13361483,13359942..13360793)); ID=FBpp0080053; name=CG9377-PA; parent=FBgn0032507,FBtr0080474; dbxref=FlyBase:FBpp0080053,FlyBase_Annotation_IDs:CG9377-PA,GB_protein:AAF53286.1,REFSEQ:NP_609640,GB_protein:AAF53286,FlyMine:FBpp0080053,modMine:FBpp0080053; MD5=c4dd7b6ad44f0e8899721b4fff3aa81b; length=355; release=r6.02; species=Dmel; 
FBpp0111472          -          CLIPA                -            6.4e-68  229.6   0.2   6.4e-68  229.6   0.2   1.4   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(9001384..9001606,8997771..8997928,8996138..8997707,8995546..8995953,8994312..8994489,8994104..8994256,8993767..8994038,8993542..8993705)); ID=FBpp0111472; name=Np-PA; parent=FBgn0265011,FBtr0112560; dbxref=GB_protein:AAF59007,GB_protein:AAF59008,GB_protein:AAF59008.1,GB_protein:AAF59007.1,FlyBase:FBpp0087750,FlyBase:FBpp0111472,FlyBase:FBpp0087749,FlyBase_Annotation_IDs:CG34350-PA,FlyBase_Annotation_IDs:CG8181-PA,FlyBase_Annotation_IDs:CG11824-PA,REFSEQ:NP_610437,GB_protein:AAF59007,FlyMine:FBpp0111472,modMine:FBpp0111472; MD5=2553ef07e0855213e76480b58a224782; length=1041; release=r6.02; species=Dmel; 
FBpp0300317          -          CLIPA                -            6.4e-68  229.6   0.2   6.4e-68  229.6   0.2   1.4   1   1   0   1   1   1   1 type=protein; loc=2R:complement(join(9001384..9001606,8997771..8997928,8996138..8997707,8995546..8995953,8994312..8994489,8994104..8994256,8993767..8994038,8993542..8993705)); ID=FBpp0300317; name=Np-PB; parent=FBgn0265011,FBtr0307883; dbxref=REFSEQ:NP_001246213,GB_protein:AFH07968,FlyBase:FBpp0300317,FlyBase_Annotation_IDs:CG34350-PB; MD5=2553ef07e0855213e76480b58a224782; length=1041; release=r6.02; species=Dmel; 
FBpp0074713          -          CLIPA                -            5.4e-66  223.3   0.5   6.8e-66  223.0   0.5   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(19606581..19606668,19606833..19606981,19607041..19607177,19607246..19607825,19608003..19608275); ID=FBpp0074713; name=CG9372-PA; parent=FBgn0036891,FBtr0074945; dbxref=FlyBase:FBpp0074713,FlyBase_Annotation_IDs:CG9372-PA,GB_protein:AAF49135.1,REFSEQ:NP_649132,GB_protein:AAF49135,FlyMine:FBpp0074713,modMine:FBpp0074713; MD5=35b1ba4f549ad2e94828dbecb089d030; length=408; release=r6.02; species=Dmel; 
