#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0275484          -          BGBP                 -           2.8e-126  421.7   0.0  3.5e-126  421.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(11579122..11579248,11579310..11580484,11580551..11580748); ID=FBpp0275484; name=Dpse\GA19936-PA; parent=FBgn0079932,FBtr0277046; dbxref=FlyBase:FBpp0275484,FlyBase_Annotation_IDs:GA19936-PA,GB_protein:EAL29729,REFSEQ:XP_001353993,FlyMine:FBpp0275484,modMine:FBpp0275484; MD5=9f0905dd479084674a581a4a75b0c605; length=499; release=r3.2; species=Dpse; 
FBpp0276159          -          CLIPA                -           5.3e-106  353.8   0.2  5.5e-105  350.5   0.2   1.9   1   1   0   1   1   1   1 type=protein; loc=3:complement(13727247..13728125,13728179..13728697); ID=FBpp0276159; name=Dpse\GA21182-PA; parent=FBgn0081170,FBtr0277721; dbxref=FlyBase:FBpp0276159,FlyBase_Annotation_IDs:GA21182-PA,GB_protein:EAL26102,REFSEQ:XP_001361524,FlyMine:FBpp0276159,modMine:FBpp0276159; MD5=a9c5548f455fb9cc9f80177524cfd26a; length=465; release=r3.2; species=Dpse; 
FBpp0287918          -          CLIPA                -           1.1e-104  349.5   0.5  1.6e-104  349.0   0.5   1.1   1   0   0   1   1   1   1 type=protein; loc=4_group4:join(4465759..4465986,4466064..4466946,4466990..4467333); ID=FBpp0287918; name=Dpse\GA29036-PA; parent=FBgn0250394,FBtr0289480; dbxref=FlyBase:FBpp0287918,FlyBase_Annotation_IDs:GA29036-PA,GB_protein:EDY70581,REFSEQ:XP_002133179,FlyMine:FBpp0287918,modMine:FBpp0287918; MD5=b5203f8531c40f4b6e61b7af44c59743; length=484; release=r3.2; species=Dpse; 
FBpp0281314          -          CLIPA                -             4e-104  347.7   0.1  4.7e-104  347.4   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(25103134..25104423); ID=FBpp0281314; name=Dpse\GA26264-PA; parent=FBgn0247638,FBtr0282876; dbxref=FlyBase:FBpp0281314,FlyBase_Annotation_IDs:GA26264-PA,GB_protein:EDY68456,REFSEQ:XP_002137898,FlyMine:FBpp0281314,modMine:FBpp0281314; MD5=88049eb131d9ca4a0635d27220f2775f; length=429; release=r3.2; species=Dpse; 
FBpp0281160          -          CLIPA                -           7.8e-104  346.7   0.1  8.5e-104  346.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(27270869..27271463,27271510..27271766,27271825..27272021,27272081..27272243); ID=FBpp0281160; name=Dpse\GA12199-PA; parent=FBgn0072246,FBtr0282722; dbxref=FlyBase:FBpp0281160,FlyBase_Annotation_IDs:GA12199-PA,GB_protein:EAL28969,REFSEQ:XP_001359817,FlyMine:FBpp0281160,modMine:FBpp0281160; MD5=2ff43d663c3780fc86a39c6e4720e244; length=403; release=r3.2; species=Dpse; 
FBpp0287919          -          CLIPA                -           1.1e-102  342.9   0.8  1.3e-102  342.6   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group4:join(4475633..4475818,4475888..4476709); ID=FBpp0287919; name=Dpse\GA29037-PA; parent=FBgn0250395,FBtr0289481; dbxref=FlyBase:FBpp0287919,FlyBase_Annotation_IDs:GA29037-PA,GB_protein:EDY70583,REFSEQ:XP_002133181,FlyMine:FBpp0287919,modMine:FBpp0287919; MD5=9c1defd4dbfa8cd2352f7d7d0ac57a55; length=335; release=r3.2; species=Dpse; 
FBpp0288185          -          CLIPA                -             8e-101  336.8   0.3  9.2e-101  336.6   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=Unknown_singleton_799:complement(1..808,878..940); ID=FBpp0288185; name=Dpse\GA29220-PA; parent=FBgn0250578,FBtr0289747; dbxref=FlyBase:FBpp0288185,FlyBase_Annotation_IDs:GA29220-PA,GB_protein:EDY71955,REFSEQ:XP_002136483,FlyMine:FBpp0288185,modMine:FBpp0288185; MD5=ea766ae4be02a8636e01830eb354d59a; length=290; release=r3.2; species=Dpse; 
FBpp0286020          -          CLIPA                -            2.3e-93  312.3  16.0   2.4e-92  309.0  16.0   2.5   1   1   0   1   1   1   1 type=protein; loc=XR_group8:complement(8313614..8313936,8313996..8314273,8314341..8315292,8315351..8316313,8316381..8316536,8316603..8316902,8316958..8317107,8317177..8317300); ID=FBpp0286020; name=Dpse\GA13420-PA; parent=FBgn0073456,FBtr0287582; dbxref=FlyBase:FBpp0286020,FlyBase_Annotation_IDs:GA13420-PA,GB_protein:EAL30537,REFSEQ:XP_001353036,FlyMine:FBpp0286020,modMine:FBpp0286020; MD5=6d5d0a5cb9f25c758507b4e110fbd4bb; length=1081; release=r3.2; species=Dpse; 
FBpp0308160          -          CLIPA                -            8.6e-77  257.9   0.8   9.7e-77  257.7   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=3:join(11264113..11264305,11266158..11266337,11269267..11269444,11269514..11269892,11269951..11270166); ID=FBpp0308160; name=Dpse\GA20865-PC; parent=FBgn0080855,FBtr0337248; dbxref=REFSEQ:XP_004444298,GB_protein:ENO01711,FlyBase:FBpp0308160,FlyBase_Annotation_IDs:GA20865-PC; MD5=9a63e58ca12c8a7b8b1fe887b509bb45; length=381; release=r3.2; species=Dpse; 
FBpp0308159          -          CLIPA                -              1e-75  254.4   0.1   1.2e-75  254.1   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3:join(11265820..11266027,11266158..11266337,11268445..11269002,11269267..11269444,11269514..11269892,11269951..11270166); ID=FBpp0308159; name=Dpse\GA20865-PB; parent=FBgn0080855,FBtr0337247; dbxref=REFSEQ:XP_004444297,GB_protein:ENO01710,FlyBase:FBpp0308159,FlyBase_Annotation_IDs:GA20865-PB; MD5=81861223983a36ed468787cc9ae52d81; length=572; release=r3.2; species=Dpse; 
FBpp0278168          -          CLIPA                -            1.1e-75  254.3   0.1   1.3e-75  254.0   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3:join(11264113..11264305,11266158..11266337,11268445..11269002,11269267..11269444,11269514..11269892,11269951..11270166); ID=FBpp0278168; name=Dpse\GA20865-PA; parent=FBgn0080855,FBtr0279730; dbxref=FlyBase:FBpp0278168,FlyBase_Annotation_IDs:GA20865-PA,GB_protein:EAL25859,REFSEQ:XP_001361281,FlyMine:FBpp0278168,modMine:FBpp0278168; MD5=4b437285d5f59c0d9465ed159e74bcaa; length=567; release=r3.2; species=Dpse; 
FBpp0301092          -          CLIPA                -            3.1e-69  233.1   0.0   3.8e-69  232.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2:complement(26116311..26116445,26116515..26116664,26116905..26117202,26117284..26117473,26117542..26118001,26118687..26119006,26119111..26119289,26119348..26119809,26121289..26121335); ID=FBpp0301092; name=Dpse\GA18102-PB; parent=FBgn0078110,FBtr0309084; dbxref=REFSEQ:XP_001359710,GB_protein:EAL28862,FlyBase:FBpp0301092,FlyBase_Annotation_IDs:GA18102-PB; MD5=3edd88ad3a1f8d39a841030e49052ed9; length=746; release=r3.2; species=Dpse; 
FBpp0308161          -          CLIPA                -            2.8e-68  230.0   0.0   4.9e-68  229.2   0.0   1.5   2   0   0   2   2   1   1 type=protein; loc=3:join(11277715..11278003,11281225..11281382,11281456..11283064,11283145..11283594,11284455..11284632,11284707..11284859,11284927..11285198,11285266..11285429); ID=FBpp0308161; name=Dpse\GA24897-PB; parent=FBgn0246282,FBtr0337249; dbxref=REFSEQ:XP_002138648,GB_protein:EDY69206,FlyBase:FBpp0308161,FlyBase_Annotation_IDs:GA24897-PB; MD5=7222ff9079c483254af4829ce3ac577d; length=1090; release=r3.2; species=Dpse; 
FBpp0279352          -          CLIPA                -            5.6e-68  229.0   0.0     7e-68  228.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group1:join(2227758..2227973,2228039..2228893); ID=FBpp0279352; name=Dpse\GA21742-PA; parent=FBgn0081727,FBtr0280914; dbxref=FlyBase:FBpp0279352,FlyBase_Annotation_IDs:GA21742-PA,GB_protein:EAL34410,REFSEQ:XP_001357341,FlyMine:FBpp0279352,modMine:FBpp0279352; MD5=499fdf6795c723040fc669674bfebf21; length=356; release=r3.2; species=Dpse; 
FBpp0287118          -          CLIPA                -            3.6e-66  223.0   0.4   5.9e-66  222.3   0.4   1.4   1   1   0   1   1   1   1 type=protein; loc=XR_group8:join(8300074..8300176,8301385..8301554,8301640..8301901,8301965..8302361,8302421..8302496,8302557..8303084); ID=FBpp0287118; name=Dpse\GA11958-PA; parent=FBgn0072007,FBtr0288680; dbxref=FlyBase:FBpp0287118,FlyBase_Annotation_IDs:GA11958-PA,GB_protein:EAL30534,REFSEQ:XP_001353033,FlyMine:FBpp0287118,modMine:FBpp0287118; MD5=027304adb8cc7bf783a251fbec1da182; length=511; release=r3.2; species=Dpse; 
FBpp0287422          -          CLIPA                -            1.4e-65  221.1   0.0   1.5e-65  221.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group4:complement(4080563..4080718,4080778..4081074,4081483..4081618,4081688..4082840,4085739..4085952); ID=FBpp0287422; name=Dpse\GA16425-PA; parent=FBgn0076440,FBtr0288984; dbxref=FlyBase:FBpp0287422,FlyBase_Annotation_IDs:GA16425-PA,GB_protein:EAL33188,REFSEQ:XP_001356128,FlyMine:FBpp0287422,modMine:FBpp0287422; MD5=6e7c17a4e9303296633db00370bf1acc; length=651; release=r3.2; species=Dpse; 
FBpp0287067          -          CLIPA                -            3.5e-64  216.5   0.3   5.1e-64  216.0   0.3   1.2   1   0   0   1   1   1   1 type=protein; loc=XR_group8:join(7665014..7665107,7665176..7665330,7665383..7665519,7665585..7666164,7666226..7666498); ID=FBpp0287067; name=Dpse\GA21737-PA; parent=FBgn0081722,FBtr0288629; dbxref=FlyBase:FBpp0287067,FlyBase_Annotation_IDs:GA21737-PA,GB_protein:EAL30461,REFSEQ:XP_001352960,FlyMine:FBpp0287067,modMine:FBpp0287067; MD5=781c084e161df5b39931d80140860afe; length=412; release=r3.2; species=Dpse; 
FBpp0300286          -          CLIPA                -            4.3e-62  209.6   0.1   5.4e-62  209.3   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(18155376..18155403,18155519..18155905,18157249..18157604); ID=FBpp0300286; name=Dpse\GA11223-PB; parent=FBgn0071277,FBtr0307775; dbxref=REFSEQ:XP_003736671,GB_protein:EIM52744,FlyBase:FBpp0300286,FlyBase_Annotation_IDs:GA11223-PB; MD5=c65aa795eadc678942bb0f3c03848d1d; length=256; release=r3.2; species=Dpse; 
FBpp0278655          -          CLIPA                -            1.4e-61  208.0   1.5   1.7e-61  207.7   1.5   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group3:complement(11189475..11189828,11189894..11190285,11190348..11190546); ID=FBpp0278655; name=Dpse\GA17401-PA; parent=FBgn0077414,FBtr0280217; dbxref=FlyBase:FBpp0278655,FlyBase_Annotation_IDs:GA17401-PA,GB_protein:EAL34144,REFSEQ:XP_001357078,FlyMine:FBpp0278655,modMine:FBpp0278655; MD5=82218da0a73889093777546e27759d1e; length=314; release=r3.2; species=Dpse; 
FBpp0287911          -          CLIPA                -            1.4e-61  208.0   0.0   1.5e-61  207.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group4:join(4383835..4384020,4384090..4384695); ID=FBpp0287911; name=Dpse\GA29033-PA; parent=FBgn0250391,FBtr0289473; dbxref=FlyBase:FBpp0287911,FlyBase_Annotation_IDs:GA29033-PA,GB_protein:EDY70574,REFSEQ:XP_002133172,FlyMine:FBpp0287911,modMine:FBpp0287911; MD5=baecf19d7e42f38604e21dd5faca8558; length=263; release=r3.2; species=Dpse; 
FBpp0308162          -          CLIPA                -            1.4e-61  208.0   0.0   1.4e-61  208.0   0.0   2.0   3   0   0   3   3   1   1 type=protein; loc=3:join(11293449..11293653,11302308..11305234,11305289..11306633,11307067..11307253,11307332..11307516,11307591..11307706,11307776..11307895,11307973..11308137); ID=FBpp0308162; name=Dpse\GA24898-PB; parent=FBgn0246283,FBtr0337250; dbxref=REFSEQ:XP_002138649,GB_protein:EDY69207,FlyBase:FBpp0308162,FlyBase_Annotation_IDs:GA24898-PB; MD5=718d43cbecdf5b624a0b33933b920fd8; length=1749; release=r3.2; species=Dpse; 
FBpp0278490          -          CLIPA                -            2.1e-61  207.4   0.0   2.5e-61  207.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3:join(15306673..15307344,15307399..15307728); ID=FBpp0278490; name=Dpse\GA21676-PA; parent=FBgn0081661,FBtr0280052; dbxref=FlyBase:FBpp0278490,FlyBase_Annotation_IDs:GA21676-PA,GB_protein:EAL26262,REFSEQ:XP_001361683,FlyMine:FBpp0278490,modMine:FBpp0278490; MD5=086b5a9a0631c8e17c2cd057eb4c4f97; length=333; release=r3.2; species=Dpse; 
FBpp0275062          -          CLIPA                -            3.4e-61  206.7   0.0   2.1e-33  115.4   0.0   2.1   1   1   1   2   2   2   2 type=protein; loc=XR_group6:join(4021982..4022746,4023049..4023687); ID=FBpp0275062; name=Dpse\GA16805-PA; parent=FBgn0076819,FBtr0276624; dbxref=FlyBase:FBpp0275062,FlyBase_Annotation_IDs:GA16805-PA,GB_protein:EAL30976,REFSEQ:XP_001353466,FlyMine:FBpp0275062,modMine:FBpp0275062; MD5=6556eb3553e21864af11e5763af2cdf5; length=467; release=r3.2; species=Dpse; 
FBpp0276431          -          CLIPA                -            5.1e-60  202.8   0.1   6.6e-60  202.5   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(9626842..9626957,9627021..9627314,9627377..9627630,9627696..9627807,9628621..9628851,9629116..9629246,9629324..9630786); ID=FBpp0276431; name=Dpse\GA20863-PA; parent=FBgn0080853,FBtr0277993; dbxref=FlyBase:FBpp0276431,FlyBase_Annotation_IDs:GA20863-PA,GB_protein:EAL25681,REFSEQ:XP_001361105,FlyMine:FBpp0276431,modMine:FBpp0276431; MD5=f3fd6339ee40b0d6341d40e68c37104f; length=866; release=r3.2; species=Dpse; 
FBpp0284959          -          CLIPA                -            6.1e-60  202.6   0.0   7.2e-60  202.3   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=2:join(30019640..30019676,30019739..30021209,30021273..30021383,30021445..30021757,30021817..30021916,30021976..30022034); ID=FBpp0284959; name=Dpse\GA20347-PA; parent=FBgn0080342,FBtr0286521; dbxref=REFSEQ:XP_001360045,GB_protein:EAL29197,FlyBase:FBpp0284959,FlyBase_Annotation_IDs:GA20347-PA,REFSEQ:XP_001360045,REFSEQ:XP_001360045,GB_protein:EAL29197,GB_protein:EAL29197,FlyMine:FBpp0284959,modMine:FBpp0284959; MD5=f8184e49883ea21d79599aeb6328f606; length=696; release=r3.2; species=Dpse; 
FBpp0276049          -          CLIPA                -            5.2e-59  199.5   0.2   5.9e-59  199.3   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(15251103..15251420,15251486..15252295); ID=FBpp0276049; name=Dpse\GA18150-PA; parent=FBgn0078158,FBtr0277611; dbxref=FlyBase:FBpp0276049,FlyBase_Annotation_IDs:GA18150-PA,GB_protein:EAL26257,REFSEQ:XP_001361678,FlyMine:FBpp0276049,modMine:FBpp0276049; MD5=6b0183b83c58ed7f840559e7744169b8; length=375; release=r3.2; species=Dpse; 
FBpp0274865          -          CLIPA                -            1.3e-58  198.2   0.1   1.5e-58  198.0   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(1073285..1073640,1075408..1076179); ID=FBpp0274865; name=Dpse\GA18522-PA; parent=FBgn0078524,FBtr0276427; dbxref=FlyBase:FBpp0274865,FlyBase_Annotation_IDs:GA18522-PA,GB_protein:EAL30710,REFSEQ:XP_001353208,FlyMine:FBpp0274865,modMine:FBpp0274865; MD5=b85b9d1897f8bb54d65ee54c54a96bbf; length=375; release=r3.2; species=Dpse; 
FBpp0307518          -          CLIPA                -            3.7e-58  196.7   8.5   5.3e-58  196.2   8.5   1.2   1   0   0   1   1   1   1 type=protein; loc=3:complement(12299140..12299451,12299511..12299656,12299724..12299850,12299911..12300070,12300164..12300347,12300412..12300738,12300800..12301200,12301401..12301498,12301550..12301879,12301942..12302111,12302172..12303705,12304236..12304470,12304540..12304613); ID=FBpp0307518; name=Dpse\GA15245-PB; parent=FBgn0075269,FBtr0336412; dbxref=REFSEQ:XP_001361394,GB_protein:EAL25972,FlyBase:FBpp0307518,FlyBase_Annotation_IDs:GA15245-PB; MD5=e83847e5f55a61a4e2f554db1e0faaaf; length=1365; release=r3.2; species=Dpse; 
FBpp0284754          -          CLIPA                -            4.9e-58  196.3   1.5   5.9e-58  196.1   1.5   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(27015076..27015145,27015550..27015930,27015989..27016097,27016159..27016445,27016508..27016812); ID=FBpp0284754; name=Dpse\GA15903-PA; parent=FBgn0075919,FBtr0286316; dbxref=FlyBase:FBpp0284754,FlyBase_Annotation_IDs:GA15903-PA,GB_protein:EAL28934,REFSEQ:XP_001359782,FlyMine:FBpp0284754,modMine:FBpp0284754; MD5=4f44dfb4eced4965d8094b791c811764; length=383; release=r3.2; species=Dpse; 
FBpp0284752          -          CLIPA                -            8.1e-58  195.6   1.4   9.7e-58  195.3   1.4   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(26996106..26996175,26996580..26996960,26997019..26997127,26997189..26997475,26997538..26997842); ID=FBpp0284752; name=Dpse\GA27509-PA; parent=FBgn0248874,FBtr0286314; dbxref=FlyBase:FBpp0284752,FlyBase_Annotation_IDs:GA27509-PA,GB_protein:EDY68533,REFSEQ:XP_002137975,FlyMine:FBpp0284752,modMine:FBpp0284752; MD5=9943d8fe8a03e9cfaa152e5027f212a1; length=383; release=r3.2; species=Dpse; 
FBpp0284212          -          CLIPA                -            8.3e-58  195.6   0.0   9.5e-58  195.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(18155590..18155905,18157249..18157604); ID=FBpp0284212; name=Dpse\GA11223-PA; parent=FBgn0071277,FBtr0285774; dbxref=FlyBase:FBpp0284212,FlyBase_Annotation_IDs:GA11223-PA,GB_protein:EAL28244,REFSEQ:XP_001359101,FlyMine:FBpp0284212,modMine:FBpp0284212; MD5=9c86c3f7774f2b8dbcfafa87d7a7cb68; length=223; release=r3.2; species=Dpse; 
FBpp0308147          -          CLIPA                -            3.7e-57  193.4   0.0   4.2e-57  193.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3:complement(9626842..9626957,9627021..9627314,9627377..9627630,9627696..9627807,9629116..9629246,9629324..9630786); ID=FBpp0308147; name=Dpse\GA20863-PB; parent=FBgn0080853,FBtr0337235; dbxref=REFSEQ:XP_004444240,GB_protein:ENO01653,FlyBase:FBpp0308147,FlyBase_Annotation_IDs:GA20863-PB; MD5=1b14fdda0f6e3e41edec9a91718f5d8d; length=789; release=r3.2; species=Dpse; 
FBpp0287117          -          CLIPA                -            3.8e-57  193.4   0.0   4.3e-57  193.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=XR_group8:join(8295611..8296163,8296392..8296561,8296630..8296909,8296998..8297294,8297349..8297560,8297635..8297706,8297960..8298100); ID=FBpp0287117; name=Dpse\GA16795-PA; parent=FBgn0076809,FBtr0288679; dbxref=FlyBase:FBpp0287117,FlyBase_Annotation_IDs:GA16795-PA,GB_protein:EAL30533,REFSEQ:XP_001353032,FlyMine:FBpp0287117,modMine:FBpp0287117; MD5=49e3cbbacd3414d3d75a9cfb1875e7e0; length=574; release=r3.2; species=Dpse; 
FBpp0276432          -          CLIPA                -            7.8e-57  192.4   0.1   9.1e-57  192.2   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(9622773..9622840,9622903..9623001,9623059..9623166,9623244..9623763,9623817..9624133,9624187..9624253); ID=FBpp0276432; name=Dpse\GA12502-PA; parent=FBgn0072548,FBtr0277994; dbxref=FlyBase:FBpp0276432,FlyBase_Annotation_IDs:GA12502-PA,GB_protein:EAL25680,REFSEQ:XP_001361104,FlyMine:FBpp0276432,modMine:FBpp0276432; MD5=a222e36fa94f1882a0e305eb6880d0ff; length=392; release=r3.2; species=Dpse; 
FBpp0283137          -          CLIPA                -              1e-56  192.0   1.3   1.3e-56  191.6   1.3   1.1   1   0   0   1   1   1   1 type=protein; loc=2:join(1440980..1441490,1441553..1441649,1441709..1442007,1442072..1442421); ID=FBpp0283137; name=Dpse\GA21997-PA; parent=FBgn0081982,FBtr0284699; dbxref=FlyBase:FBpp0283137,FlyBase_Annotation_IDs:GA21997-PA,GB_protein:EAL26818,REFSEQ:XP_001357684,FlyMine:FBpp0283137,modMine:FBpp0283137; MD5=202481b452c15bf4f8dfce6386b9a87d; length=418; release=r3.2; species=Dpse; 
