#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0264975          -          BGBP                 -           3.8e-134  447.5   0.0  4.6e-134  447.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(15388350..15388547,15388606..15388983,15389053..15389837,15390021..15390138); ID=FBpp0264975; name=Dyak\GNBP1-PA; parent=FBgn0067448,FBtr0266483; dbxref=FlyBase:FBpp0264975,FlyBase_Annotation_IDs:GE19965-PA,GB_protein:EDW94595,REFSEQ:XP_002094883,FlyMine:FBpp0264975; MD5=812d81afcc516ec569171a72046cb240; length=492; release=r1.3; species=Dyak; 
FBpp0269836          -          CLIPA                -           1.2e-104  349.3   0.1  1.3e-104  349.2   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(8658519..8659107,8659168..8659424,8659481..8659683,8659745..8659913); ID=FBpp0269836; name=Dyak\GE24826-PA; parent=FBgn0241927,FBtr0271344; dbxref=FlyBase:FBpp0269836,FlyBase_Annotation_IDs:GE24826-PA,GB_protein:EDW96568,REFSEQ:XP_002096856,FlyMine:FBpp0269836; MD5=f31357197d4a8ab590ae1785b6d9c7e3; length=405; release=r1.3; species=Dyak; 
FBpp0267839          -          CLIPA                -           1.3e-102  342.7   0.5  7.3e-102  340.2   0.5   1.8   1   1   0   1   1   1   1 type=protein; loc=2L:complement(17243782..17244660,17244721..17245176); ID=FBpp0267839; name=Dyak\GE22829-PA; parent=FBgn0068214,FBtr0269347; dbxref=FlyBase:FBpp0267839,FlyBase_Annotation_IDs:GE22829-PA,GB_protein:EDW89383,REFSEQ:XP_002089671,FlyMine:FBpp0267839; MD5=98f2cd5d3b3428700bf54ff64f685aea; length=444; release=r1.3; species=Dyak; 
FBpp0266110          -          CLIPA                -           7.8e-101  336.8   0.3  1.1e-100  336.3   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(19658479..19659786,19659877..19660089); ID=FBpp0266110; name=Dyak\GE21100-PA; parent=FBgn0238379,FBtr0267618; dbxref=FlyBase:FBpp0266110,FlyBase_Annotation_IDs:GE21100-PA,GB_protein:EDW89728,REFSEQ:XP_002090016,FlyMine:FBpp0266110; MD5=1ec7d18ae56825ae35766eef9b93279b; length=506; release=r1.3; species=Dyak; 
FBpp0258145          -          CLIPA                -              2e-99  332.1   0.1   2.5e-99  331.9   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:join(3646069..3646239,3646321..3647607); ID=FBpp0258145; name=Dyak\GE13135-PA; parent=FBgn0230833,FBtr0259653; dbxref=FlyBase:FBpp0258145,FlyBase_Annotation_IDs:GE13135-PA,GB_protein:EDW90177,REFSEQ:XP_002090465,FlyMine:FBpp0258145; MD5=5d27fa9662e83d95986cd810b2d38321; length=485; release=r1.3; species=Dyak; 
FBpp0264395          -          CLIPA                -            5.6e-99  330.7   0.5   7.2e-99  330.3   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:join(19511829..19512041,19512104..19512991); ID=FBpp0264395; name=Dyak\GE19385-PA; parent=FBgn0236729,FBtr0265903; dbxref=FlyBase:FBpp0264395,FlyBase_Annotation_IDs:GE19385-PA,GB_protein:EDW89715,REFSEQ:XP_002090003,FlyMine:FBpp0264395; MD5=d5ccde4c4a85d8b645c632039a844438; length=366; release=r1.3; species=Dyak; 
FBpp0266421          -          CLIPA                -            4.7e-97  324.4   0.0   5.9e-97  324.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(4663285..4663356,4663417..4664262); ID=FBpp0266421; name=Dyak\GE21411-PA; parent=FBgn0238671,FBtr0267929; dbxref=FlyBase:FBpp0266421,FlyBase_Annotation_IDs:GE21411-PA,GB_protein:EDW93351,REFSEQ:XP_002093639,FlyMine:FBpp0266421; MD5=d5a461b4c0868ecfbf4673b88e73b016; length=305; release=r1.3; species=Dyak; 
FBpp0266220          -          CLIPA                -            1.5e-95  319.4   0.2   2.5e-95  318.7   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:complement(19411776..19413215,19413277..19413489); ID=FBpp0266220; name=Dyak\GE21210-PA; parent=FBgn0238485,FBtr0267728; dbxref=FlyBase:FBpp0266220,FlyBase_Annotation_IDs:GE21210-PA,GB_protein:EDW89702,REFSEQ:XP_002089990,FlyMine:FBpp0266220; MD5=6f9cd00ed2486c0e853cbae58e552081; length=550; release=r1.3; species=Dyak; 
FBpp0265653          -          CLIPA                -            3.4e-93  311.7  16.1     3e-92  308.6  16.1   2.5   1   1   0   1   1   1   1 type=protein; loc=3L:complement(4733452..4733774,4733834..4734111,4734170..4735070,4735128..4735691,4735765..4736154,4736215..4736370,4736540..4736836,4736894..4737043,4737107..4737209); ID=FBpp0265653; name=Dyak\GE20643-PA; parent=FBgn0237948,FBtr0267161; dbxref=FlyBase:FBpp0265653,FlyBase_Annotation_IDs:GE20643-PA,GB_protein:EDW93364,REFSEQ:XP_002093652,FlyMine:FBpp0265653; MD5=13b4b53be2fbc1fe035f6092569754ac; length=1053; release=r1.3; species=Dyak; 
FBpp0260009          -          CLIPA                -            1.6e-90  302.9   0.3   2.1e-90  302.6   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2838069..2838914,2838968..2839135); ID=FBpp0260009; name=Dyak\GE14999-PA; parent=FBgn0232589,FBtr0261517; dbxref=FlyBase:FBpp0260009,FlyBase_Annotation_IDs:GE14999-PA,GB_protein:EDW87452,REFSEQ:XP_002087740,FlyMine:FBpp0260009; MD5=e58c0ac31cecf6b1c63128e79fe5cbaa; length=337; release=r1.3; species=Dyak; 
FBpp0260006          -          CLIPA                -            2.6e-89  299.0   0.0   3.2e-89  298.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2839706..2840527,2840584..2840775); ID=FBpp0260006; name=Dyak\GE14996-PA; parent=FBgn0232586,FBtr0261514; dbxref=FlyBase:FBpp0260006,FlyBase_Annotation_IDs:GE14996-PA,GB_protein:EDW87453,REFSEQ:XP_002087741,FlyMine:FBpp0260006; MD5=e25a78108ef0c5d5f4264f42431b28c4; length=337; release=r1.3; species=Dyak; 
FBpp0270944          -          CLIPA                -            7.1e-89  297.5   0.0   8.1e-89  297.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:9132318..9133526; ID=FBpp0270944; name=Dyak\GE25934-PA; parent=FBgn0242983,FBtr0272452; dbxref=FlyBase:FBpp0270944,FlyBase_Annotation_IDs:GE25934-PA,GB_protein:EDW96622,REFSEQ:XP_002096910,FlyMine:FBpp0270944; MD5=c04d4122aba2e5bbd1b2d22986702ae5; length=402; release=r1.3; species=Dyak; 
FBpp0258144          -          CLIPA                -            3.7e-87  291.9   0.0   4.3e-87  291.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:join(3643725..3643799,3643893..3644840); ID=FBpp0258144; name=Dyak\GE13134-PA; parent=FBgn0230832,FBtr0259652; dbxref=FlyBase:FBpp0258144,FlyBase_Annotation_IDs:GE13134-PA,GB_protein:EDW90176,REFSEQ:XP_002090464,FlyMine:FBpp0258144; MD5=6aff756e8ab5f4848ddc252e4cfb47c5; length=340; release=r1.3; species=Dyak; 
FBpp0267674          -          CLIPA                -            1.2e-74  250.8   0.0   1.3e-74  250.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17556021..17556236,17556327..17556705,17556883..17557060,17557257..17557778,17559718..17559897,17561519..17561681); ID=FBpp0267674; name=Dyak\GE22664-PA; parent=FBgn0239876,FBtr0269182; dbxref=FlyBase:FBpp0267674,FlyBase_Annotation_IDs:GE22664-PA,GB_protein:EDW89434,REFSEQ:XP_002089722,FlyMine:FBpp0267674; MD5=65a74a4583ac6eba2397d2be83ad262c; length=545; release=r1.3; species=Dyak; 
FBpp0267684          -          CLIPA                -            2.2e-69  233.5   0.0   2.6e-69  233.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17542076..17542239,17542309..17542580,17542651..17542803,17542863..17543026); ID=FBpp0267684; name=Dyak\GE22674-PA; parent=FBgn0239884,FBtr0269192; dbxref=FlyBase:FBpp0267684,FlyBase_Annotation_IDs:GE22674-PA,GB_protein:EDW89432,REFSEQ:XP_002089720; MD5=b54740c6ddc150dba769a7d1339f6dc2; length=250; release=r1.3; species=Dyak; 
FBpp0269380          -          CLIPA                -            3.3e-69  232.9   0.0   3.8e-69  232.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(14461217..14461351,14461407..14461556,14461822..14462119,14462203..14462392,14462868..14463300,14464021..14464340,14464433..14464632,14464887..14465522,14466221..14466261); ID=FBpp0269380; name=Dyak\GE24370-PA; parent=FBgn0241491,FBtr0270888; dbxref=FlyBase:FBpp0269380,FlyBase_Annotation_IDs:GE24370-PA,GB_protein:EDW97359,REFSEQ:XP_002097647,FlyMine:FBpp0269380; MD5=6372f702ab2e97f08761fc3b8a1182d1; length=800; release=r1.3; species=Dyak; 
FBpp0256709          -          CLIPA                -            3.1e-68  229.7   0.0   3.8e-68  229.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(9798602..9799453,9799891..9800106); ID=FBpp0256709; name=Dyak\GE11699-PA; parent=FBgn0229493,FBtr0258217; dbxref=FlyBase:FBpp0256709,FlyBase_Annotation_IDs:GE11699-PA,GB_protein:EDW88293,REFSEQ:XP_002088581,FlyMine:FBpp0256709; MD5=49c13559b269bde1f5c381fb1d3b8efc; length=355; release=r1.3; species=Dyak; 
FBpp0264624          -          CLIPA                -            2.9e-66  223.2   0.5   3.6e-66  223.0   0.5   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(20942611..20942883,20943037..20943616,20943665..20943801,20943859..20944007,20944173..20944260); ID=FBpp0264624; name=Dyak\GE19614-PA; parent=FBgn0236953,FBtr0266132; dbxref=FlyBase:FBpp0264624,FlyBase_Annotation_IDs:GE19614-PA,GB_protein:EDW95304,REFSEQ:XP_002095592,FlyMine:FBpp0264624; MD5=e91537c45af5ff7063d395d8559f0b8c; length=408; release=r1.3; species=Dyak; 
FBpp0270945          -          CLIPA                -            6.8e-65  218.8   0.0   7.6e-65  218.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:9134753..9135622; ID=FBpp0270945; name=Dyak\GE25935-PA; parent=FBgn0242984,FBtr0272453; dbxref=FlyBase:FBpp0270945,FlyBase_Annotation_IDs:GE25935-PA,GB_protein:EDW96623,REFSEQ:XP_002096911,FlyMine:FBpp0270945; MD5=c9d5d20aa74c0068383dae715e4710da; length=289; release=r1.3; species=Dyak; 
FBpp0263646          -          CLIPA                -            2.7e-64  216.8   0.0   3.1e-64  216.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:join(9689321..9689531,9692705..9693824,9693881..9694016,9694098..9694394,9694454..9694609); ID=FBpp0263646; name=Dyak\GE18636-PA; parent=FBgn0236040,FBtr0265154; dbxref=FlyBase:FBpp0263646,FlyBase_Annotation_IDs:GE18636-PA,GB_protein:EDW88277,REFSEQ:XP_002088565,FlyMine:FBpp0263646; MD5=a5dc5c84976a1c220441b7368c8e88b1; length=639; release=r1.3; species=Dyak; 
FBpp0266121          -          CLIPA                -            1.4e-63  214.4   0.0   1.7e-63  214.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(19648908..19649435); ID=FBpp0266121; name=Dyak\GE21111-PA; parent=FBgn0238390,FBtr0267629; dbxref=FlyBase:FBpp0266121,FlyBase_Annotation_IDs:GE21111-PA,GB_protein:EDW89727,REFSEQ:XP_002090015,FlyMine:FBpp0266121; MD5=5a77802f87119fee7ad8180630a0d040; length=175; release=r1.3; species=Dyak; 
FBpp0256584          -          CLIPA                -            2.7e-63  213.5   0.2   8.9e-36  123.2   0.4   2.0   1   1   1   2   2   2   2 type=protein; loc=2R:complement(19240068..19240456,19240515..19240666,19242919..19243306,19243362..19243540,19243593..19243635,19243698..19243917); ID=FBpp0256584; name=Dyak\GE11574-PA; parent=FBgn0229374,FBtr0258092; dbxref=FlyBase:FBpp0256584,FlyBase_Annotation_IDs:GE11574-PA,GB_protein:EDW92318,REFSEQ:XP_002092606,FlyMine:FBpp0256584; MD5=9e0452e95410cb87691cba7ed630ade8; length=456; release=r1.3; species=Dyak; 
FBpp0266427          -          CLIPA                -              1e-62  211.6   0.7   1.5e-62  211.0   0.7   1.4   1   1   0   1   1   1   1 type=protein; loc=3L:join(4720166..4720262,4721422..4721591,4721664..4721925,4722327..4722741,4722799..4722874,4722937..4723464); ID=FBpp0266427; name=Dyak\GE21417-PA; parent=FBgn0238677,FBtr0267935; dbxref=FlyBase:FBpp0266427,FlyBase_Annotation_IDs:GE21417-PA,GB_protein:EDW93362,REFSEQ:XP_002093650,FlyMine:FBpp0266427; MD5=ac2abc046c098090161772e59e845d3d; length=515; release=r1.3; species=Dyak; 
FBpp0267694          -          CLIPA                -            4.4e-62  209.5   0.0   8.3e-62  208.6   0.0   1.5   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17519086..17519250,17519312..17519431,17519496..17519611,17519793..17519977,17520046..17520232,17520605..17524639,17533439..17533673); ID=FBpp0267694; name=Dyak\GE22684-PA; parent=FBgn0239893,FBtr0269202; dbxref=FlyBase:FBpp0267694,FlyBase_Annotation_IDs:GE22684-PA,GB_protein:EDW89430,REFSEQ:XP_002089718,FlyMine:FBpp0267694; MD5=2d57865a350d4c844313b2dff0c9cb48; length=1680; release=r1.3; species=Dyak; 
FBpp0263311          -          CLIPA                -            1.9e-61  207.4   1.9   2.5e-61  207.1   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:join(4664401..4664599,4664671..4665062,4665144..4665497); ID=FBpp0263311; name=Dyak\GE18301-PA; parent=FBgn0235726,FBtr0264819; dbxref=FlyBase:FBpp0263311,FlyBase_Annotation_IDs:GE18301-PA,GB_protein:EDW87659,REFSEQ:XP_002087947,FlyMine:FBpp0263311; MD5=7c8fcdd06a5421188c1cca3035e6a337; length=314; release=r1.3; species=Dyak; 
FBpp0257235          -          CLIPA                -              4e-61  206.4   0.1   4.9e-61  206.1   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11436952..11437281,11437335..11438084); ID=FBpp0257235; name=Dyak\GE12225-PA; parent=FBgn0229984,FBtr0258743; dbxref=FlyBase:FBpp0257235,FlyBase_Annotation_IDs:GE12225-PA,GB_protein:EDW91179,REFSEQ:XP_002091467,FlyMine:FBpp0257235; MD5=c990b6505b5517d22facd3695475caa9; length=359; release=r1.3; species=Dyak; 
FBpp0258685          -          CLIPA                -            2.6e-60  203.7   0.4     3e-60  203.5   0.4   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:join(11491892..11492710,11492801..11493118); ID=FBpp0258685; name=Dyak\GE13675-PA; parent=FBgn0231331,FBtr0260193; dbxref=FlyBase:FBpp0258685,FlyBase_Annotation_IDs:GE13675-PA,GB_protein:EDW91186,REFSEQ:XP_002091474,FlyMine:FBpp0258685; MD5=fb6405ae9e4949180eb9e0e66337ab2b; length=378; release=r1.3; species=Dyak; 
FBpp0270630          -          CLIPA                -            2.9e-60  203.6   0.0   3.2e-60  203.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(4265368..4265398,4268379..4268465,4268529..4269981,4270036..4270146,4270200..4270512,4270575..4270674,4270734..4270792); ID=FBpp0270630; name=Dyak\GE25620-PA; parent=FBgn0242682,FBtr0272138; dbxref=FlyBase:FBpp0270630,FlyBase_Annotation_IDs:GE25620-PA,GB_protein:EDW96054,REFSEQ:XP_002096342,FlyMine:FBpp0270630; MD5=b3f050030600b3bdc2ec6d9f76409138; length=717; release=r1.3; species=Dyak; 
FBpp0267666          -          CLIPA                -            3.1e-60  203.5   0.0   4.6e-60  202.9   0.0   1.3   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17567835..17567950,17568018..17568311,17568397..17568650,17568712..17568823,17569574..17569804,17570047..17570177,17570278..17571719); ID=FBpp0267666; name=Dyak\GE22656-PA; parent=FBgn0239869,FBtr0269174; dbxref=FlyBase:FBpp0267666,FlyBase_Annotation_IDs:GE22656-PA,GB_protein:EDW89437,REFSEQ:XP_002089725,FlyMine:FBpp0267666; MD5=11fb2cb5f4bbc59e6dfea9acf2e13377; length=859; release=r1.3; species=Dyak; 
FBpp0258686          -          CLIPA                -            8.1e-59  198.8   0.6   1.1e-58  198.3   0.6   1.2   1   0   0   1   1   1   1 type=protein; loc=2R:11493660..11494754; ID=FBpp0258686; name=Dyak\GE13676-PA; parent=FBgn0231332,FBtr0260194; dbxref=FlyBase:FBpp0258686,FlyBase_Annotation_IDs:GE13676-PA,GB_protein:EDW91187,REFSEQ:XP_002091475,FlyMine:FBpp0258686; MD5=97f0f915bf9c00c04cba34707b53d0fa; length=364; release=r1.3; species=Dyak; 
FBpp0268564          -          CLIPA                -            1.2e-58  198.2   0.0   1.4e-58  198.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(25599176..25599531,25599587..25599902); ID=FBpp0268564; name=Dyak\GE23554-PA; parent=FBgn0240730,FBtr0270072; dbxref=FlyBase:FBpp0268564,FlyBase_Annotation_IDs:GE23554-PA,GB_protein:EDW98830,REFSEQ:XP_002099118,FlyMine:FBpp0268564; MD5=2a0e213205e8e9b9faf076651c13d546; length=223; release=r1.3; species=Dyak; 
FBpp0266426          -          CLIPA                -            1.7e-58  197.8   0.0   1.9e-58  197.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(4714413..4714968,4715204..4715358,4715663..4715945,4716014..4716307,4716366..4716577,4716665..4716736,4716964..4717104); ID=FBpp0266426; name=Dyak\GE21416-PA; parent=FBgn0238676,FBtr0267934; dbxref=FlyBase:FBpp0266426,FlyBase_Annotation_IDs:GE21416-PA,GB_protein:EDW93361,REFSEQ:XP_002093649,FlyMine:FBpp0266426; MD5=c65ed36a2ad86e5bf3bda7aa8f8aefe9; length=570; release=r1.3; species=Dyak; 
FBpp0264143          -          CLIPA                -            4.4e-58  196.4   8.4   6.4e-58  195.9   8.4   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:join(16120654..16120745,16120804..16121047,16122377..16122970,16123025..16123979,16124060..16124229,16124301..16124728,16124793..16125193,16125253..16125579,16125640..16125823,16125884..16126043,16126108..16126234,16126299..16126444,16126507..16126815); ID=FBpp0264143; name=Dyak\GE19133-PA; parent=FBgn0236493,FBtr0265651; dbxref=FlyBase:FBpp0264143,FlyBase_Annotation_IDs:GE19133-PA,GB_protein:EDW89203,REFSEQ:XP_002089491,FlyMine:FBpp0264143; MD5=cc886a94a29ce848a497b863271befca; length=1378; release=r1.3; species=Dyak; 
FBpp0265022          -          CLIPA                -            8.5e-58  195.5   0.1   9.9e-58  195.2   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(14757202..14757973,14759911..14760302); ID=FBpp0265022; name=Dyak\GE20012-PA; parent=FBgn0237337,FBtr0266530; dbxref=FlyBase:FBpp0265022,FlyBase_Annotation_IDs:GE20012-PA,GB_protein:EDW94511,REFSEQ:XP_002094799,FlyMine:FBpp0265022; MD5=df91fbd58fad1542172203a8c0aded11; length=387; release=r1.3; species=Dyak; 
FBpp0267671          -          CLIPA                -              9e-58  195.4   0.2     1e-57  195.2   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17563009..17563076,17563138..17563236,17563687..17563794,17563854..17564373,17564683..17564987,17565041..17565104); ID=FBpp0267671; name=Dyak\GE22661-PA; parent=FBgn0239873,FBtr0269179; dbxref=FlyBase:FBpp0267671,FlyBase_Annotation_IDs:GE22661-PA,GB_protein:EDW89435,REFSEQ:XP_002089723,FlyMine:FBpp0267671; MD5=523567818f6f1b58739dd047a87face4; length=387; release=r1.3; species=Dyak; 
FBpp0268407          -          CLIPA                -            1.2e-57  195.0   0.9   1.6e-57  194.5   0.9   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(27000603..27000970,27001368..27001666,27001729..27001825,27001934..27002450); ID=FBpp0268407; name=Dyak\GE23397-PA; parent=FBgn0240589,FBtr0269915; dbxref=FlyBase:FBpp0268407,FlyBase_Annotation_IDs:GE23397-PA,GB_protein:EDW99086,REFSEQ:XP_002099374,FlyMine:FBpp0268407; MD5=86f3e8679053f3ed68d36f3b077b3670; length=426; release=r1.3; species=Dyak; 
FBpp0260241          -          CLIPA                -            1.7e-57  194.5   0.2   2.3e-57  194.0   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2099721..2100482,2100543..2100617); ID=FBpp0260241; name=Dyak\GE15231-PA; parent=FBgn0232819,FBtr0261749; dbxref=FlyBase:FBpp0260241,FlyBase_Annotation_IDs:GE15231-PA,GB_protein:EDW87326,REFSEQ:XP_002087614,FlyMine:FBpp0260241; MD5=558a8db296e577d9f6fc4e242dda8057; length=278; release=r1.3; species=Dyak; 
