#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0163182          -          BGBP                 -           2.2e-122  408.6   0.0  2.7e-122  408.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(23826094..23826235,23826290..23827120,23827188..23827504,23827826..23828023); ID=FBpp0163182; name=Dmoj\GI13965-PA; parent=FBgn0136719,FBtr0164690; dbxref=FlyBase:FBpp0163182,FlyBase_Annotation_IDs:GI13965-PA,GB_protein:EDW19790,REFSEQ:XP_002009314,FlyMine:FBpp0163182,modMine:FBpp0163182; MD5=82199653471395d43f20968e3baf4d8d; length=495; release=r1.3; species=Dmoj; 
FBpp0171873          -          CLIPA                -              1e-69  234.4   0.0   1.2e-69  234.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(20967661..20967795,20967864..20968013,20968069..20968366,20968484..20968673,20968771..20969149,20969980..20970296,20970391..20970545,20971177..20971742); ID=FBpp0171873; name=Dmoj\GI22656-PA; parent=FBgn0145384,FBtr0173381; dbxref=FlyBase:FBpp0171873,FlyBase_Annotation_IDs:GI22656-PA,GB_protein:EDW15660,REFSEQ:XP_002000199,FlyMine:FBpp0171873,modMine:FBpp0171873; MD5=42529420c59f86240a15e4cefbb32985; length=729; release=r1.3; species=Dmoj; 
FBpp0166429          -          CLIPA                -            5.5e-69  232.1   0.0   6.6e-69  231.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(6386993..6387205,6387260..6388117); ID=FBpp0166429; name=Dmoj\GI17212-PA; parent=FBgn0139956,FBtr0167937; dbxref=FlyBase:FBpp0166429,FlyBase_Annotation_IDs:GI17212-PA,GB_protein:EDW11571,REFSEQ:XP_002002129,FlyMine:FBpp0166429,modMine:FBpp0166429; MD5=0edf9823aee84b65948c0fba7e0c94e6; length=356; release=r1.3; species=Dmoj; 
FBpp0168650          -          CLIPA                -            9.7e-69  231.3   0.0   1.1e-68  231.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5436967..5437130,5437244..5437515,5437597..5437749,5437833..5437996); ID=FBpp0168650; name=Dmoj\GI19433-PA; parent=FBgn0142171,FBtr0170158; dbxref=FlyBase:FBpp0168650,FlyBase_Annotation_IDs:GI19433-PA,GB_protein:EDW08678,REFSEQ:XP_002004743,FlyMine:FBpp0168650,modMine:FBpp0168650; MD5=e5c7fae6f2afe6e508dec55746f96b28; length=250; release=r1.3; species=Dmoj; 
FBpp0166833          -          CLIPA                -            5.3e-67  225.6   0.0   6.5e-67  225.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(15278603..15278605,15283309..15284339,15284396..15284531,15284599..15284895,15284963..15285118); ID=FBpp0166833; name=Dmoj\GI17616-PA; parent=FBgn0140360,FBtr0168341; dbxref=FlyBase:FBpp0166833,FlyBase_Annotation_IDs:GI17616-PA,GB_protein:EDW12311,REFSEQ:XP_002002869,FlyMine:FBpp0166833,modMine:FBpp0166833; MD5=1ffe8de495b9798e03308d5ac3f1e9da; length=540; release=r1.3; species=Dmoj; 
FBpp0168651          -          CLIPA                -            8.4e-62  208.5   0.0   8.4e-62  208.5   0.0   2.6   3   0   0   3   3   1   1 type=protein; loc=scaffold_6496:complement(5405547..5405711,5405765..5405884,5406002..5406117,5406864..5407048,5407106..5407292,5407867..5412126,5424450..5424684); ID=FBpp0168651; name=Dmoj\GI19434-PA; parent=FBgn0142172,FBtr0170159; dbxref=FlyBase:FBpp0168651,FlyBase_Annotation_IDs:GI19434-PA,GB_protein:EDW08677,REFSEQ:XP_002004742,FlyMine:FBpp0168651,modMine:FBpp0168651; MD5=aa96d66beb99dd2df051de3fe6fec25d; length=1755; release=r1.3; species=Dmoj; 
FBpp0161017          -          CLIPA                -            1.8e-61  207.4   0.1   2.1e-61  207.2   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(14179963..14180235,14180304..14180549,14180615..14180948,14181007..14181143,14182294..14182478,14182546..14182633); ID=FBpp0161017; name=Dmoj\GI11800-PA; parent=FBgn0134559,FBtr0162525; dbxref=FlyBase:FBpp0161017,FlyBase_Annotation_IDs:GI11800-PA,GB_protein:EDW18944,REFSEQ:XP_002008468,FlyMine:FBpp0161017,modMine:FBpp0161017; MD5=a4df95f5ba70596fb20824cc1a9b2b47; length=420; release=r1.3; species=Dmoj; 
FBpp0172032          -          CLIPA                -            1.1e-60  204.9   0.3   1.3e-60  204.5   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:complement(20330172..20330525,20330602..20330993,20331067..20331259); ID=FBpp0172032; name=Dmoj\GI22815-PA; parent=FBgn0145542,FBtr0173540; dbxref=FlyBase:FBpp0172032,FlyBase_Annotation_IDs:GI22815-PA,GB_protein:EDW12829,REFSEQ:XP_002003387,FlyMine:FBpp0172032,modMine:FBpp0172032; MD5=4e82267cfd349383f67ddcaf42f4d1b9; length=312; release=r1.3; species=Dmoj; 
FBpp0170077          -          CLIPA                -            3.4e-60  203.2   0.5   3.9e-60  203.0   0.5   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:join(16757544..16758416,16758469..16758786); ID=FBpp0170077; name=Dmoj\GI20860-PA; parent=FBgn0143594,FBtr0171585; dbxref=FlyBase:FBpp0170077,FlyBase_Annotation_IDs:GI20860-PA,GB_protein:EDW10053,REFSEQ:XP_002006118,FlyMine:FBpp0170077,modMine:FBpp0170077; MD5=f7d58bd2231bcc6f04a514303b6842fe; length=396; release=r1.3; species=Dmoj; 
FBpp0168646          -          CLIPA                -            1.4e-59  201.2   0.0   2.4e-59  200.4   0.0   1.4   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5470674..5470745,5470843..5470886,5470950..5471243,5471315..5471568,5471644..5471755,5473337..5473567,5473815..5473945,5474177..5475633); ID=FBpp0168646; name=Dmoj\GI19429-PA; parent=FBgn0142167,FBtr0170154; dbxref=FlyBase:FBpp0168646,FlyBase_Annotation_IDs:GI19429-PA,GB_protein:EDW08683,REFSEQ:XP_002004748,FlyMine:FBpp0168646,modMine:FBpp0168646; MD5=88edb664fb682c6e6d668ec85e9c1335; length=864; release=r1.3; species=Dmoj; 
FBpp0171636          -          CLIPA                -            1.6e-59  201.0   0.0   1.8e-59  200.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(25478738..25478896,25478956..25479268,25479329..25479439,25479900..25481385,25481447..25481524,25484904..25484934); ID=FBpp0171636; name=Dmoj\GI22419-PA; parent=FBgn0145147,FBtr0173144; dbxref=FlyBase:FBpp0171636,FlyBase_Annotation_IDs:GI22419-PA,GB_protein:EDW16089,REFSEQ:XP_002000628,FlyMine:FBpp0171636,modMine:FBpp0171636; MD5=5145a90bd29225a961771cb0bb3294e1; length=725; release=r1.3; species=Dmoj; 
FBpp0170078          -          CLIPA                -            1.7e-59  200.9   0.8   2.2e-59  200.5   0.8   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:16759440..16760519; ID=FBpp0170078; name=Dmoj\GI20861-PA; parent=FBgn0143595,FBtr0171586; dbxref=FlyBase:FBpp0170078,FlyBase_Annotation_IDs:GI20861-PA,GB_protein:EDW10054,REFSEQ:XP_002006119,FlyMine:FBpp0170078,modMine:FBpp0170078; MD5=ab12cff36d9ac719b58cb671125ea4b5; length=359; release=r1.3; species=Dmoj; 
FBpp0165792          -          CLIPA                -            8.2e-59  198.7   0.0     1e-58  198.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(1834602..1834787,1835025..1835096,1835351..1835565,1835983..1836276,1836333..1836660,1836726..1836898,1837074..1837596); ID=FBpp0165792; name=Dmoj\GI16575-PA; parent=FBgn0139323,FBtr0167300; dbxref=FlyBase:FBpp0165792,FlyBase_Annotation_IDs:GI16575-PA,GB_protein:EDW17311,REFSEQ:XP_002012180,FlyMine:FBpp0165792,modMine:FBpp0165792; MD5=bf5dd410bb27dc8edbb2ac2b518ce81e; length=596; release=r1.3; species=Dmoj; 
FBpp0169592          -          CLIPA                -            2.3e-58  197.2   8.2   3.5e-58  196.6   8.2   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:join(9963416..9963498,9963581..9963866,9965093..9965713,9965768..9966946,9967025..9967354,9967406..9967503,9967575..9967975,9968043..9968369,9968430..9968613,9968677..9968836,9968900..9969026,9969114..9969259,9969341..9969676); ID=FBpp0169592; name=Dmoj\GI20375-PA; parent=FBgn0143111,FBtr0171100; dbxref=FlyBase:FBpp0169592,FlyBase_Annotation_IDs:GI20375-PA,GB_protein:EDW09159,REFSEQ:XP_002005224,FlyMine:FBpp0169592,modMine:FBpp0169592; MD5=6eede248a43f623486a5e40109f7852b; length=1425; release=r1.3; species=Dmoj; 
FBpp0165793          -          CLIPA                -            3.4e-58  196.7   0.3   4.9e-58  196.1   0.3   1.2   1   1   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(1827493..1828020,1828395..1828470,1828530..1828929,1829002..1829257,1829334..1829503,1831235..1831313); ID=FBpp0165793; name=Dmoj\GI16576-PA; parent=FBgn0139324,FBtr0167301; dbxref=FlyBase:FBpp0165793,FlyBase_Annotation_IDs:GI16576-PA,GB_protein:EDW17310,REFSEQ:XP_002012179,FlyMine:FBpp0165793,modMine:FBpp0165793; MD5=dbd9764a9e5a4bd5dd749bc74d9364b6; length=502; release=r1.3; species=Dmoj; 
FBpp0163029          -          CLIPA                -            3.4e-58  196.6   0.3   3.9e-58  196.4   0.3   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(19929685..19930046,19933736..19934507); ID=FBpp0163029; name=Dmoj\GI13812-PA; parent=FBgn0136566,FBtr0164537; dbxref=FlyBase:FBpp0163029,FlyBase_Annotation_IDs:GI13812-PA,GB_protein:EDW19492,REFSEQ:XP_002009016,FlyMine:FBpp0163029,modMine:FBpp0163029; MD5=91a4cf18a704113acfd0c03cee3f03f5; length=377; release=r1.3; species=Dmoj; 
FBpp0161543          -          CLIPA                -            2.2e-57  194.0   0.4   2.8e-57  193.6   0.4   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(6068366..6068605,6068664..6068880,6068938..6069519,6069575..6070504,6070578..6070876,6071865..6071927); ID=FBpp0161543; name=Dmoj\GI12326-PA; parent=FBgn0135083,FBtr0163051; dbxref=FlyBase:FBpp0161543,FlyBase_Annotation_IDs:GI12326-PA,GB_protein:EDW18024,REFSEQ:XP_002007548,FlyMine:FBpp0161543,modMine:FBpp0161543; MD5=3ebc9cf56f54d86e2200e2a00197b4f9; length=776; release=r1.3; species=Dmoj; 
FBpp0173177          -          CLIPA                -            3.2e-57  193.4   0.0   3.7e-57  193.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(4082187..4082502,4082594..4082949); ID=FBpp0173177; name=Dmoj\GI23960-PA; parent=FBgn0146684,FBtr0174685; dbxref=FlyBase:FBpp0173177,FlyBase_Annotation_IDs:GI23960-PA,GB_protein:EDW13894,REFSEQ:XP_001998433,FlyMine:FBpp0173177,modMine:FBpp0173177; MD5=cb8f33af11199907b13348d379e0998d; length=223; release=r1.3; species=Dmoj; 
FBpp0173344          -          CLIPA                -            1.5e-56  191.2   0.2   1.8e-56  191.0   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(6854045..6854105,6855237..6855650,6855713..6855821,6855885..6856171,6856757..6857055); ID=FBpp0173344; name=Dmoj\GI24127-PA; parent=FBgn0146850,FBtr0174852; dbxref=FlyBase:FBpp0173344,FlyBase_Annotation_IDs:GI24127-PA,GB_protein:EDW14191,REFSEQ:XP_001998730,FlyMine:FBpp0173344,modMine:FBpp0173344; MD5=9288ef35a09f21d049ee559e13515dc5; length=389; release=r1.3; species=Dmoj; 
FBpp0162816          -          CLIPA                -            1.2e-55  188.3   0.4   1.4e-55  188.0   0.4   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(16332672..16333023,16333092..16333660,16333760..16333933); ID=FBpp0162816; name=Dmoj\GI13599-PA; parent=FBgn0136354,FBtr0164324; dbxref=FlyBase:FBpp0162816,FlyBase_Annotation_IDs:GI13599-PA,GB_protein:EDW19106,REFSEQ:XP_002008630,FlyMine:FBpp0162816,modMine:FBpp0162816; MD5=aa5e3aec43994aea836e6992a7946988; length=364; release=r1.3; species=Dmoj; 
FBpp0173537          -          CLIPA                -            4.8e-55  186.3   0.4   6.3e-55  185.9   0.4   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(10040764..10041388,10041547..10041643,10041703..10042001,10042061..10042383); ID=FBpp0173537; name=Dmoj\GI24320-PA; parent=FBgn0147043,FBtr0175045; dbxref=FlyBase:FBpp0173537,FlyBase_Annotation_IDs:GI24320-PA,GB_protein:EDW14553,REFSEQ:XP_001999092,FlyMine:FBpp0173537,modMine:FBpp0173537; MD5=f1aae4a588b75d925ff08d87a5c90d1d; length=447; release=r1.3; species=Dmoj; 
FBpp0168647          -          CLIPA                -            1.7e-54  184.5   0.1     2e-54  184.2   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5465007..5465173,5465704..5465811,5465877..5466396,5467395..5467681,5467746..5467821); ID=FBpp0168647; name=Dmoj\GI19430-PA; parent=FBgn0142168,FBtr0170155; dbxref=FlyBase:FBpp0168647,FlyBase_Annotation_IDs:GI19430-PA,GB_protein:EDW08681,REFSEQ:XP_002004746,FlyMine:FBpp0168647,modMine:FBpp0168647; MD5=6d2a06305856fd0673b8e05af0dfaea1; length=385; release=r1.3; species=Dmoj; 
FBpp0165234          -          CLIPA                -              4e-53  180.0   3.6     6e-53  179.4   3.3   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_1745:complement(2967..3106,3166..3249,3385..3477,3543..4326,4414..4569,4627..4818); ID=FBpp0165234; name=Dmoj\GI16017-PA; parent=FBgn0138766,FBtr0166742; dbxref=FlyBase:FBpp0165234,FlyBase_Annotation_IDs:GI16017-PA,GB_protein:EDW05270,REFSEQ:XP_002012593,FlyMine:FBpp0165234,modMine:FBpp0165234; MD5=7a364be8d450678f5cc2e0cfe4454cc2; length=482; release=r1.3; species=Dmoj; 
FBpp0165204          -          CLIPA                -              7e-53  179.2   0.5   1.1e-52  178.5   0.5   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:join(16419419..16419506,16419561..16419700,16420206..16421201); ID=FBpp0165204; name=Dmoj\GI15987-PA; parent=FBgn0138736,FBtr0166712; dbxref=FlyBase:FBpp0165204,FlyBase_Annotation_IDs:GI15987-PA,GB_protein:EDW07863,REFSEQ:XP_002010546,FlyMine:FBpp0165204,modMine:FBpp0165204; MD5=b7604fba9babf575bffd330c8a4dde6c; length=407; release=r1.3; species=Dmoj; 
FBpp0160070          -          CLIPA                -            1.3e-52  178.3   0.0   1.9e-52  177.8   0.0   1.2   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:join(34036251..34036383,34036436..34037008,34037064..34037215); ID=FBpp0160070; name=Dmoj\GI10853-PA; parent=FBgn0133616,FBtr0161578; dbxref=FlyBase:FBpp0160070,FlyBase_Annotation_IDs:GI10853-PA,GB_protein:EDW16999,REFSEQ:XP_002001538,FlyMine:FBpp0160070,modMine:FBpp0160070; MD5=3e9357fb7a959e14200f1d8bfb5e83f3; length=285; release=r1.3; species=Dmoj; 
FBpp0174094          -          CLIPA                -            6.5e-52  176.0   0.0   9.6e-52  175.4   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(19534525..19534585,19534857..19535053,19535113..19535302,19535354..19536084); ID=FBpp0174094; name=Dmoj\GI24877-PA; parent=FBgn0147597,FBtr0175602; dbxref=FlyBase:FBpp0174094,FlyBase_Annotation_IDs:GI24877-PA,GB_protein:EDW15516,REFSEQ:XP_002000055,FlyMine:FBpp0174094,modMine:FBpp0174094; MD5=d4b47077f3c098bbdd32b054a4356d7c; length=392; release=r1.3; species=Dmoj; 
FBpp0166992          -          CLIPA                -            8.9e-52  175.6   0.8   1.2e-51  175.1   0.8   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(18246366..18246637,18246699..18247254); ID=FBpp0166992; name=Dmoj\GI17775-PA; parent=FBgn0140516,FBtr0168500; dbxref=FlyBase:FBpp0166992,FlyBase_Annotation_IDs:GI17775-PA,GB_protein:EDW12624,REFSEQ:XP_002003182,FlyMine:FBpp0166992,modMine:FBpp0166992; MD5=8cc6f2aade7bdd6bf89daab93c5f0ab9; length=275; release=r1.3; species=Dmoj; 
FBpp0166067          -          CLIPA                -            1.7e-51  174.7   0.3   1.7e-51  174.7   0.3   2.3   1   1   0   2   2   1   1 type=protein; loc=scaffold_6654:join(2175994..2176456,2176510..2176716,2176869..2177096,2177153..2177617,2177677..2178222,2178274..2178456,2178603..2178830,2178886..2179353,2179415..2180173,2180233..2180706,2180774..2183119,2183513..2183904,2183962..2184117,2184205..2184988,2185054..2185146,2185282..2185365,2185425..2185564); ID=FBpp0166067; name=Dmoj\GI16850-PA; parent=FBgn0139596,FBtr0167575; dbxref=FlyBase:FBpp0166067,FlyBase_Annotation_IDs:GI16850-PA,GB_protein:EDW17350,REFSEQ:XP_002012219,FlyMine:FBpp0166067,modMine:FBpp0166067; MD5=df410c2de7d9f87051da7851ac2e5afd; length=2671; release=r1.3; species=Dmoj; 
FBpp0173406          -          CLIPA                -            6.6e-51  172.7   0.0   7.4e-51  172.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(7579620..7579746,7579863..7580133,7580199..7580784); ID=FBpp0173406; name=Dmoj\GI24189-PA; parent=FBgn0146912,FBtr0174914; dbxref=FlyBase:FBpp0173406,FlyBase_Annotation_IDs:GI24189-PA,GB_protein:EDW14300,REFSEQ:XP_001998839,FlyMine:FBpp0173406,modMine:FBpp0173406; MD5=8bb2773aa3cf0fd0934fd95ac2f2819b; length=327; release=r1.3; species=Dmoj; 
FBpp0171997          -          CLIPA                -            6.8e-51  172.7   0.2   1.2e-50  171.9   0.2   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(18698329..18699065,18699134..18699574,18699731..18699791); ID=FBpp0171997; name=Dmoj\GI22780-PA; parent=FBgn0145507,FBtr0173505; dbxref=FlyBase:FBpp0171997,FlyBase_Annotation_IDs:GI22780-PA,GB_protein:EDW15445,REFSEQ:XP_001999984,FlyMine:FBpp0171997,modMine:FBpp0171997; MD5=fbbeedd402b1cb6c055ab43558e578ce; length=412; release=r1.3; species=Dmoj; 
