id	class	strata	Muscidae	Calyptratae	Schizophora	Cyclorrhapha	Diptera	Endopterygota	Insecta	Arthropoda	Ecdysozoa	Protostomia	Bilateria	Metazoa	Opisthokont
XP_005184192.1	known	Metazoa	1	1	9	1	5	17	3	5	10	3	10	3	0
XP_005174939.1	known	Arthropoda	1	0	8	1	4	14	1	1	0	0	0	0	0
XP_005175055.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	1
XP_005186632.1	known	Metazoa	1	1	8	1	4	17	3	4	2	4	11	3	0
XP_005190506.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	4	11	4	3
XP_005182023.1	known	Opisthokont	1	1	9	0	3	7	0	1	0	0	1	1	1
XP_005181976.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	10	4	4
XP_005181330.1	known	Opisthokont	1	1	9	0	5	17	3	5	10	5	11	4	3
XP_005183419.1	known	Metazoa	1	1	9	0	5	15	2	3	0	3	11	2	0
XP_005189149.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005181952.1	known	Protostomia	1	1	8	0	5	16	3	4	9	5	0	0	0
XP_005179319.1	known	Metazoa	1	1	9	0	2	2	0	0	0	0	1	1	0
XP_005191349.1	known	Opisthokont	1	1	9	1	5	17	3	4	9	4	11	4	4
XP_005185379.1	known	Metazoa	1	1	9	1	4	16	3	3	2	2	0	2	0
XP_005188109.1	known	Metazoa	1	1	9	0	5	16	3	4	3	3	10	2	0
XP_005179026.1	known	Metazoa	1	0	9	1	4	16	3	4	9	4	10	2	0
XP_005183774.1	known	Arthropoda	1	1	1	0	0	0	0	1	0	0	0	0	0
XP_005175327.1	known	Metazoa	1	1	9	0	5	17	3	5	2	5	11	3	0
XP_005190811.1	known	Metazoa	1	1	9	0	5	13	3	2	7	3	9	3	0
XP_005178901.1	known	Insecta	1	1	9	1	5	15	2	0	0	0	0	0	0
XP_005190622.1	known	Opisthokont	1	1	9	0	5	17	3	5	9	4	11	4	4
XP_005187649.1	known	Metazoa	1	1	9	1	5	16	2	4	9	5	11	4	0
XP_005177015.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005181990.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	5	10	3	4
XP_005179673.1	known	Bilateria	1	1	9	0	5	16	1	2	0	0	1	0	0
XP_005184498.1	known	Opisthokont	1	1	9	1	5	17	3	5	8	5	11	3	1
XP_005183996.1	known	Opisthokont	1	1	9	0	4	17	1	1	5	1	10	2	3
XP_005183572.1	known	Opisthokont	1	1	9	1	5	17	3	2	6	4	11	3	2
XP_005183496.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	3	0
XP_005176162.1	known	Schizophora	1	1	5	0	0	0	0	0	0	0	0	0	0
XP_005177318.1	known	Schizophora	1	1	2	0	0	0	0	0	0	0	0	0	0
XP_005184115.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005179216.1	known	Insecta	1	1	9	0	3	16	2	0	0	0	0	0	0
XP_005174919.1	known	Metazoa	1	1	9	0	5	17	3	5	10	5	11	4	0
XP_005188020.1	known	Opisthokont	1	1	9	1	5	17	3	4	10	5	11	3	3
XP_005191260.1	known	Bilateria	1	1	9	0	0	2	0	0	1	0	1	0	0
XP_005176954.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005177215.1	known	Endopterygota	1	1	6	0	0	3	0	0	0	0	0	0	0
XP_005185660.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005180712.1	known	Insecta	1	0	1	0	0	0	1	0	0	0	0	0	0
XP_005180466.1	known	Bilateria	1	1	7	0	2	13	2	3	0	2	10	0	0
XP_005186944.1	known	Metazoa	1	1	9	0	5	17	3	5	10	5	10	2	0
XP_005176643.1	known	Bilateria	1	1	9	0	3	12	2	2	0	0	4	0	0
XP_005188908.1	known	Calyptratae	1	1	0	0	0	0	0	0	0	0	0	0	0
XP_005189825.1	known	Metazoa	1	1	9	0	2	16	2	3	0	1	7	2	0
XP_005180151.1	known	Insecta	1	1	9	1	2	13	1	0	0	0	0	0	0
XP_005177607.1	known	Opisthokont	1	1	8	1	4	16	3	5	10	5	10	4	3
XP_005175399.1	known	Bilateria	1	0	9	1	5	1	0	0	4	0	1	0	0
XP_005183291.1	known	Metazoa	1	1	9	0	5	17	3	5	10	5	10	4	0
XP_005186628.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005183977.1	known	Diptera	1	1	1	0	1	0	0	0	0	0	0	0	0
XP_005175157.1	known	Schizophora	1	1	5	0	0	0	0	0	0	0	0	0	0
XP_005182249.1	known	Schizophora	1	0	9	0	0	0	0	0	0	0	0	0	0
XP_005189679.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	10	3	4
XP_005187252.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005177625.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	10	3	4
XP_005189798.1	known	Bilateria	1	1	9	1	5	15	3	4	0	3	11	0	0
XP_005190777.1	known	Opisthokont	1	1	9	1	5	17	1	2	5	5	11	0	3
XP_005177323.1	known	Insecta	1	1	9	0	5	8	1	0	0	0	0	0	0
XP_005188789.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	3
XP_005175016.1	known	Insecta	1	1	1	1	2	5	1	0	0	0	0	0	0
XP_005187552.1	known	Bilateria	1	0	9	1	1	3	0	1	4	1	2	0	0
XP_005177789.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	4	11	4	3
XP_005175531.1	known	Opisthokont	1	1	9	0	5	16	3	4	10	5	11	3	2
XP_005179090.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005177547.1	known	Opisthokont	1	1	7	0	5	16	3	5	5	4	11	4	3
XP_005180262.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	5	11	4	4
XP_005176763.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005186996.1	known	Bilateria	1	1	9	0	5	16	2	4	3	3	11	0	0
XP_005175950.1	known	Insecta	1	1	9	0	4	4	1	0	0	0	0	0	0
XP_005174767.1	known	Opisthokont	1	0	9	0	5	15	2	0	0	0	0	0	1
XP_005181191.1	known	Diptera	1	1	9	0	1	0	0	0	0	0	0	0	0
XP_005185156.1	known	Metazoa	1	1	9	0	3	12	1	2	4	2	5	3	0
XP_005190935.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	11	4	4
XP_005182795.1	known	Opisthokont	1	1	9	0	5	17	3	3	0	3	11	3	1
XP_005187843.1	known	Metazoa	1	1	9	0	5	16	3	5	10	4	11	4	0
XP_005184156.1	known	Opisthokont	1	1	9	1	5	13	3	5	10	5	10	4	4
XP_005180341.1	known	Opisthokont	1	1	9	0	5	14	3	4	9	5	9	3	4
XP_005175212.1	known	Metazoa	1	1	9	1	5	17	3	2	8	3	10	3	0
XP_005184940.1	known	Diptera	1	1	6	0	5	0	0	0	0	0	0	0	0
XP_005183150.1	known	Opisthokont	1	1	9	1	5	16	3	4	9	5	11	4	4
XP_005182497.1	known	Metazoa	1	1	9	0	5	11	2	4	6	0	3	1	0
XP_005180963.1	known	Arthropoda	1	1	9	1	5	13	2	1	0	0	0	0	0
XP_005189493.1	known	Metazoa	1	1	9	1	5	15	2	3	0	2	11	3	0
XP_005181390.1	known	Schizophora	1	1	5	0	0	0	0	0	0	0	0	0	0
XP_005186146.1	known	Metazoa	1	1	9	1	5	13	3	4	5	4	11	4	0
XP_005179917.1	known	Metazoa	1	1	9	1	5	17	2	1	2	3	1	2	0
XP_005185659.1	known	Insecta	1	1	9	1	5	17	3	0	0	0	0	0	0
XP_005177348.1	known	Metazoa	1	0	9	0	3	6	2	1	0	3	1	1	0
XP_005182436.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005179677.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	4	0
XP_005176221.1	known	Metazoa	1	1	9	1	4	10	3	0	5	3	7	2	0
XP_005185940.1	known	Opisthokont	1	1	9	0	4	13	1	3	9	5	10	3	2
XP_005191819.1	known	Opisthokont	1	1	1	1	5	14	3	3	2	3	9	3	2
XP_005183947.1	known	Opisthokont	1	1	8	1	5	17	3	5	10	5	10	4	4
XP_005177280.1	known	Metazoa	1	1	9	1	5	17	3	5	10	4	3	2	0
XP_005179498.1	known	Insecta	1	1	9	0	5	16	2	0	0	0	0	0	0
XP_005188411.1	known	Opisthokont	1	1	8	0	5	17	3	5	10	5	11	4	4
XP_005185253.1	known	Metazoa	1	1	9	0	5	12	3	3	6	4	11	4	0
XP_005178871.1	known	Ecdysozoa	1	1	8	0	0	0	0	0	1	0	0	0	0
XP_005179884.1	known	Schizophora	1	1	4	0	0	0	0	0	0	0	0	0	0
XP_005179714.1	known	Endopterygota	1	1	9	0	4	3	0	0	0	0	0	0	0
XP_005189304.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005192044.1	known	Metazoa	1	1	9	1	5	14	2	2	0	4	10	4	0
XP_005174965.1	known	Metazoa	1	1	9	0	5	17	3	5	9	3	11	4	0
XP_005183514.1	known	Arthropoda	1	1	8	0	5	17	3	2	0	0	0	0	0
XP_005180163.1	known	Metazoa	1	1	9	1	5	17	3	5	1	4	11	3	0
XP_005189841.1	known	Opisthokont	1	0	3	0	5	16	3	5	5	3	10	4	3
XP_005188979.1	known	Opisthokont	1	1	9	1	5	15	3	5	10	5	11	4	2
XP_005175329.1	known	Schizophora	1	1	7	0	0	0	0	0	0	0	0	0	0
XP_005188125.1	known	Opisthokont	1	1	9	0	5	15	2	5	10	5	9	2	3
XP_005180803.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	4	0
XP_005190197.1	known	Metazoa	1	1	9	1	5	17	3	5	10	2	10	2	0
XP_005186991.1	known	Metazoa	1	1	9	1	5	15	0	0	0	2	9	3	0
XP_005189710.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	10	4	4
XP_005182250.1	known	Endopterygota	1	0	8	0	0	1	0	0	0	0	0	0	0
XP_005191168.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005177204.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	5	11	4	1
XP_005182262.1	known	Metazoa	1	1	8	0	5	14	3	4	10	1	11	1	0
XP_005191469.1	known	Schizophora	1	1	6	0	0	0	0	0	0	0	0	0	0
XP_005187799.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	1
XP_005184826.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005189734.1	known	Arthropoda	1	1	9	1	5	16	3	3	0	0	0	0	0
XP_005189051.1	known	Opisthokont	1	1	9	0	5	16	3	5	9	5	11	3	4
XP_005187414.1	known	Opisthokont	1	1	9	1	5	17	3	5	0	5	11	2	3
XP_005180316.1	known	Bilateria	1	1	0	0	0	14	1	0	0	1	1	0	0
XP_005187959.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005183357.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	11	3	4
XP_005189173.1	known	Opisthokont	1	1	9	0	4	17	3	5	9	5	11	4	4
XP_005186824.1	known	Schizophora	1	0	5	0	0	0	0	0	0	0	0	0	0
XP_005184936.1	known	Opisthokont	1	1	9	1	4	17	3	5	10	5	11	4	4
XP_005191015.1	known	Schizophora	1	1	2	0	0	0	0	0	0	0	0	0	0
XP_005190134.1	known	Insecta	1	1	9	1	4	2	1	0	0	0	0	0	0
XP_005178885.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	11	4	4
XP_005179429.1	known	Endopterygota	1	1	7	0	3	1	0	0	0	0	0	0	0
XP_005183270.1	known	Cyclorrhapha	1	0	8	1	0	0	0	0	0	0	0	0	0
XP_005180409.1	known	Metazoa	1	1	9	0	5	17	2	3	4	4	10	4	0
XP_005191436.1	known	Protostomia	1	1	9	0	5	17	3	5	6	4	0	0	0
XP_005181051.1	known	Opisthokont	1	0	9	0	5	16	3	4	10	5	11	3	4
XP_005186129.1	known	Opisthokont	1	1	9	0	4	17	1	4	2	3	10	3	1
XP_005192085.1	known	Bilateria	1	1	8	1	5	8	1	0	2	0	1	0	0
XP_005183366.1	known	Insecta	1	1	1	0	1	2	1	0	0	0	0	0	0
XP_005180939.1	known	Metazoa	1	1	9	1	5	17	2	5	2	4	11	3	0
XP_005182916.1	known	Metazoa	1	1	9	0	5	17	3	5	9	5	11	4	0
XP_005189631.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005184293.1	known	Bilateria	1	1	9	0	4	15	2	0	0	0	1	0	0
XP_005175997.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005185038.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005185893.1	known	Opisthokont	1	1	9	1	5	17	3	4	10	5	10	4	4
XP_005190165.1	known	Insecta	1	1	9	1	5	15	3	0	0	0	0	0	0
XP_005189194.1	known	Diptera	1	1	9	0	3	0	0	0	0	0	0	0	0
XP_005183916.1	known	Opisthokont	1	1	9	0	5	16	2	5	5	4	11	3	4
XP_005185284.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	5	10	4	4
XP_005177632.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	1
XP_005180651.1	known	Bilateria	1	1	9	1	3	11	2	1	0	0	2	0	0
XP_005186257.1	known	Metazoa	1	1	9	1	5	17	3	5	9	5	11	4	0
XP_005175319.1	known	Ecdysozoa	1	1	8	0	1	2	0	0	1	0	0	0	0
XP_005182421.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005179563.1	known	Arthropoda	1	1	9	1	5	17	2	5	0	0	0	0	0
XP_005186671.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	2	0
XP_005187002.1	known	Bilateria	1	1	9	0	0	6	1	0	0	3	2	0	0
XP_005185368.1	known	Metazoa	1	1	9	1	4	17	3	5	0	4	11	1	0
XP_005176091.1	known	Opisthokont	1	1	9	1	5	15	3	5	10	5	11	4	4
XP_005178658.1	known	Metazoa	1	1	9	0	5	16	3	3	3	2	9	3	0
XP_005182115.1	known	Metazoa	1	1	9	0	5	13	2	5	10	5	11	2	0
XP_005183046.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005176552.1	known	Insecta	1	1	8	0	5	8	1	0	0	0	0	0	0
XP_005191643.1	known	Endopterygota	1	1	9	0	5	1	0	0	0	0	0	0	0
XP_005190000.1	known	Metazoa	1	1	9	1	5	17	3	5	9	4	11	2	0
XP_005187404.1	known	Arthropoda	1	1	9	1	5	17	3	4	0	0	0	0	0
XP_005178292.1	known	Metazoa	1	1	8	0	5	10	3	5	10	4	11	4	0
XP_005186834.1	known	Metazoa	1	1	9	1	5	16	3	5	10	5	11	4	0
XP_005190444.1	known	Endopterygota	1	1	9	1	3	4	0	0	0	0	0	0	0
XP_005178860.1	known	Opisthokont	1	1	9	1	5	17	3	5	8	5	11	3	1
XP_005177673.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	3	0
XP_005177132.1	known	Metazoa	1	1	9	1	5	9	2	3	1	4	9	3	0
XP_005192050.1	known	Opisthokont	1	1	9	1	5	16	3	5	9	5	11	4	3
XP_005186879.1	known	Endopterygota	1	0	1	0	0	1	0	0	0	0	0	0	0
XP_005182859.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	10	3	4
XP_005184793.1	known	Opisthokont	1	1	9	0	5	5	3	4	9	4	11	3	3
XP_005183768.1	known	Opisthokont	1	1	9	1	4	17	3	4	7	4	11	3	4
XP_005185736.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	3	0
XP_005177656.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005186722.1	known	Bilateria	1	1	9	0	4	17	3	4	9	2	10	0	0
XP_005188043.1	known	Schizophora	1	1	8	0	0	0	0	0	0	0	0	0	0
XP_005185728.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	5	10	4	3
XP_005183554.1	known	Insecta	1	0	5	0	0	1	1	0	0	0	0	0	0
XP_005178762.1	known	Opisthokont	1	1	9	0	5	17	3	5	10	4	11	3	2
XP_005179280.1	known	Ecdysozoa	1	1	4	0	0	0	0	0	1	0	0	0	0
XP_005181494.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005191788.1	known	Opisthokont	1	1	9	1	5	17	3	5	5	5	11	4	1
XP_005180523.1	known	Metazoa	1	1	9	1	5	17	3	2	8	3	10	2	0
XP_005191723.1	known	Metazoa	1	1	9	1	5	15	3	5	6	5	11	4	0
XP_005185146.1	known	Metazoa	1	1	9	1	5	16	2	5	9	5	11	2	0
XP_005184688.1	known	Metazoa	1	1	9	1	5	14	3	3	10	4	8	4	0
XP_005191129.1	known	Schizophora	1	0	1	0	0	0	0	0	0	0	0	0	0
XP_005177947.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005177474.1	known	Arthropoda	1	1	9	0	5	13	3	5	0	0	0	0	0
XP_005175547.1	known	Diptera	1	1	9	0	1	0	0	0	0	0	0	0	0
XP_005174775.1	known	Bilateria	1	1	9	0	1	6	1	0	1	1	10	0	0
XP_005177002.1	known	Opisthokont	1	1	9	0	5	16	3	2	3	4	11	4	4
XP_005182884.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005179495.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	5	11	4	1
XP_005192053.1	known	Diptera	1	1	7	0	2	0	0	0	0	0	0	0	0
XP_005190980.1	known	Schizophora	1	1	8	0	0	0	0	0	0	0	0	0	0
XP_005176331.1	known	Metazoa	1	1	9	0	4	4	2	2	8	0	0	1	0
XP_005176064.1	known	Diptera	1	1	5	0	3	0	0	0	0	0	0	0	0
XP_005190999.1	known	Metazoa	1	1	9	0	2	0	0	0	0	2	1	2	0
XP_005179394.1	known	Metazoa	1	1	9	0	4	13	2	4	7	3	10	3	0
XP_005179621.1	known	Metazoa	1	0	9	1	5	16	3	5	9	5	11	4	0
XP_005178629.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005191160.1	known	Metazoa	1	1	9	1	5	17	3	5	9	5	11	4	0
XP_005190386.1	known	Metazoa	1	1	9	1	5	15	3	2	0	3	8	1	0
XP_005175927.1	known	Opisthokont	1	1	9	0	5	16	3	5	10	5	11	4	4
XP_005175900.1	known	Protostomia	1	1	8	0	4	5	0	0	0	1	0	0	0
XP_005175439.1	known	Bilateria	1	1	9	0	5	16	1	2	1	0	9	0	0
XP_005175235.1	known	Metazoa	1	1	9	0	5	14	3	4	1	3	11	2	0
XP_005175881.1	known	Opisthokont	1	1	9	1	5	15	3	4	10	5	11	4	4
XP_005179398.1	known	Opisthokont	1	1	9	0	4	15	2	4	8	4	10	3	2
XP_005188571.1	known	Metazoa	1	1	9	0	5	17	3	3	0	3	11	2	0
XP_005176538.1	known	Opisthokont	1	1	9	0	5	16	3	4	4	5	11	4	2
XP_005189534.1	known	Metazoa	1	1	9	0	5	16	2	2	0	2	7	2	0
XP_005177493.1	known	Bilateria	1	1	8	0	2	6	0	1	0	0	3	0	0
XP_005182649.1	known	Arthropoda	1	1	9	1	2	7	1	1	0	0	0	0	0
XP_005175923.1	known	Metazoa	1	0	6	0	3	5	3	1	1	3	4	3	0
XP_005191195.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	1
XP_005191632.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005184670.1	known	Opisthokont	1	1	9	1	5	15	3	4	8	4	11	4	3
XP_005175133.1	known	Diptera	1	1	5	0	3	0	0	0	0	0	0	0	0
XP_005176548.1	known	Metazoa	1	1	9	0	5	16	3	5	10	5	11	4	0
XP_005176005.1	known	Metazoa	1	1	9	1	5	17	2	5	8	3	8	3	0
XP_005175708.1	known	Opisthokont	1	1	9	1	5	15	3	5	10	5	11	4	4
XP_005179181.1	known	Metazoa	1	1	9	1	5	17	3	5	9	5	11	2	0
XP_005185571.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	3	2
XP_005191660.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	4	11	4	3
XP_005182393.1	known	Metazoa	1	1	9	0	4	16	2	5	8	1	11	2	0
XP_005186792.1	known	Opisthokont	1	1	9	0	4	14	3	5	10	5	11	4	1
XP_005177285.1	known	Opisthokont	1	1	9	1	4	16	2	4	6	3	10	3	2
XP_005189512.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005184610.1	known	Insecta	1	1	9	1	3	1	1	0	0	0	0	0	0
XP_005191105.1	known	Diptera	1	1	9	0	1	0	0	0	0	0	0	0	0
XP_005190961.1	known	Metazoa	1	1	9	1	5	17	3	5	10	4	11	3	0
XP_005177017.1	known	Bilateria	1	1	9	0	5	3	3	0	0	0	1	0	0
XP_005188654.1	known	Metazoa	1	1	9	1	5	17	3	1	0	4	11	2	0
XP_005177728.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005190051.1	known	Metazoa	1	0	3	1	2	7	2	0	4	0	1	2	0
XP_005181662.1	known	Endopterygota	1	1	6	1	2	7	0	0	0	0	0	0	0
XP_005179449.1	known	Metazoa	1	1	9	1	5	17	3	5	10	4	11	4	0
XP_005187147.1	known	Opisthokont	1	1	9	0	5	17	3	5	10	2	11	2	4
XP_005186423.1	known	Metazoa	1	1	9	1	5	17	3	4	10	4	10	4	0
XP_005177494.1	known	Bilateria	1	1	8	0	5	6	0	0	0	2	2	0	0
XP_005189656.1	known	Arthropoda	1	1	8	1	3	3	0	1	0	0	0	0	0
XP_005189783.1	known	Opisthokont	1	1	8	1	5	16	3	3	6	4	6	3	3
XP_005183786.1	known	Metazoa	1	0	7	0	5	17	3	0	4	2	4	2	0
XP_005187991.1	known	Opisthokont	1	1	9	0	0	13	3	2	2	4	11	4	1
XP_005191110.1	known	Diptera	1	1	9	0	3	0	0	0	0	0	0	0	0
XP_005190461.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005181074.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005183547.1	known	Metazoa	1	1	9	0	5	15	3	5	10	5	11	4	0
XP_005186409.1	known	Opisthokont	1	1	9	0	4	1	0	2	3	3	5	1	1
XP_005180516.1	known	Metazoa	1	1	9	1	5	17	3	5	9	3	0	2	0
XP_005187012.1	known	Endopterygota	1	1	9	0	5	2	0	0	0	0	0	0	0
XP_005176263.1	known	Diptera	1	0	2	1	4	0	0	0	0	0	0	0	0
XP_005184257.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	3
XP_005182786.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	5	11	4	4
XP_005175125.1	known	Opisthokont	1	1	9	1	5	17	3	5	9	5	11	4	3
XP_005191646.1	known	Insecta	1	0	9	1	4	1	1	0	0	0	0	0	0
XP_005190731.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	5	11	4	4
XP_005186388.1	known	Metazoa	1	1	9	0	5	17	3	5	10	5	11	4	0
XP_005186820.1	known	Endopterygota	1	1	9	0	5	3	0	0	0	0	0	0	0
XP_005183105.1	known	Metazoa	1	1	9	0	5	15	3	5	10	5	11	3	0
XP_005182268.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	3	0
XP_005184198.1	known	Endopterygota	1	0	0	0	1	1	0	0	0	0	0	0	0
XP_005187968.1	known	Arthropoda	1	1	9	1	5	4	3	1	0	0	0	0	0
XP_005180535.1	known	Schizophora	1	1	9	0	0	0	0	0	0	0	0	0	0
XP_005190649.1	known	Opisthokont	1	1	9	0	5	17	3	5	10	5	11	4	4
XP_005176559.1	known	Metazoa	1	1	9	0	5	17	3	5	9	3	11	3	0
XP_005176149.1	known	Ecdysozoa	1	1	4	0	1	2	1	1	3	0	0	0	0
XP_005175501.1	known	Opisthokont	1	1	9	1	5	16	2	5	10	5	11	4	4
XP_005180261.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	2
XP_005181335.1	known	Opisthokont	1	1	9	0	5	17	3	3	9	5	11	4	4
XP_005177975.1	known	Calyptratae	1	1	0	0	0	0	0	0	0	0	0	0	0
XP_005174827.1	known	Opisthokont	1	1	9	1	5	16	3	5	10	5	11	4	4
XP_005176445.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	10	3	3
XP_005182404.1	known	Metazoa	1	1	9	0	4	16	2	5	8	1	11	2	0
XP_005184061.1	known	Opisthokont	1	1	9	0	5	17	1	4	10	5	11	3	4
XP_005181196.1	known	Metazoa	1	0	9	1	5	12	1	3	3	1	0	1	0
